Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Mass	A	0109	Tahspek	B5468BA-A	 	   Pa Pi Ph (NIL)	A	613	ImDc	G0 V	2	(E7B+4)	[AA7C]	BcDe	7	4312
1201	Mass	A	0109	Tahspek	D54656C-6	 	   Ag Ni (NIL)	B	413	ImDc	G0 V	-2	(A44+1)	[8366]	BC	7	160
1323	Mass	A	0109	Tahspek	D546000-6	 	    Di (NIL)		013	Wild	G0 V	-3	(A00-5)	[0000]	B	7	-50
1508	Mass	A	0109	Tahspek	D546000-6	 	    Di (NIL)		013	Wild	G0 V	-3	(A00-3)	[0000]	B	7	-30
1900	Mass	A	0109	Tahspek	D546000-6	 	    Di (NIL)		013	Wild	G0 V	-3	(A00-1)	[0000]	B	7	-10

1105	Mass	A	0110	Mond	B737794-A	 	     (NIL)		721	ImDc	G4 V	2	(C6B+1)	[5938]	B	8	792
1201	Mass	A	0110	Mond	X737000-A	 	    Di (NIL)		021	ImDc	G4 V	-1	(C00-5)	[0000]	B	8	-60
1323	Mass	A	0110	Mond	X737000-A	 	    Di (NIL)		021	Wild	G4 V	-1	(C00-1)	[0000]	B	8	-12
1508	Mass	A	0110	Mond	X737000-A	 	    Di (NIL)		021	Wild	G4 V	-1	(C00-3)	[0000]	B	8	-36
1900	Mass	A	0110	Mond	X737000-A	 	    Di (NIL)		021	Wild	G4 V	-1	(C00-1)	[0000]	B	8	-12

1105	Mass	E	0112	Arilla	E585448-6	 	   Ni Pa 		803	ImDc	M0 V M0 V	-3	(631-3)	[4156]	Bc	12	-54
1201	Mass	E	0112	Arilla	X585487-3	 	   Ni Pa 		503	ImDc	M0 V M0 V	-3	(630-2)	[2124]	Bc	12	-36
1323	Mass	E	0112	Arilla	X585400-1	 	   Ni Pa 		203	Wild	M0 V M0 V	-3	(631+2)	[1141]	Bc	12	36
1508	Mass	E	0112	Arilla	X585476-1	 	   Ni Pa 		303	Wild	M0 V M0 V	-3	(630-1)	[6141]	Bc	12	-18
1900	Mass	E	0112	Arilla	X585424-2	 	   Ni Pa 		403	Wild	M0 V M0 V	-3	(631-2)	[1191]	Bc	12	-36

1105	Mass	E	0113	Enid	B676958-D	 	   Hi In (NIL)		801	ImDc	M0 V	4	(C8G+4)	[9D5D]	BEf	13	6144
1201	Mass	E	0113	Enid	C676200-6	 	    Lo (NIL)		501	ImDc	M0 V	-2	(B10+1)	[2188]	B	13	11
1323	Mass	E	0113	Enid	D676000-6	 	    Di (NIL)		001	Wild	M0 V	-3	(B00-2)	[0000]	B	13	-22
