Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mend	A	0107	Dakinkhig	E568588-7	 	      Ag Pr Ni 		204	NaVa	G0 V M3 V	-2	(744+3)	[9358]	BcC	8	336
Mend	A	0110	Aminkaa	X544135-5	 	     Lo 		933	NaHu	M2 V M3 V	-3	(400+1)	[1156]	B	13	4
Mend	E	0111	Ilarba	X868755-0	 	     rg4  Ag Ri (NIL)	B	202	NaHu	F5 V M9 V	0	(965-1)	[B761]	BC	8	-270
Mend	E	0113	Fourroek	X646100-4	 	    Da Huma2  Lo 		803	NaVa	F7 V	-3	(400+1)	[1161]	B	11	4
Mend	I	0121	Gukham	E785452-7	 	    Chir0 Huma3  Ga Ni Pa 		403	NaVa	F4 V	-3	(630+2)	[3183]	Bc	13	36
Mend	I	0122	Kengighon	X300000-9	 	    Pz Huma2  Di Na Pi Va 		021	NaVa	A1 V K7 V	-2	(C00-1)	[0000]	BD	10	-12
Mend	I	0125	Egva Ors	X66A552-3	 	    Huma1 O:0221  Ni Pr Wa 	B	204	NaVa	M3 V	-3	(741+1)	[5282]	Bc	13	28
Mend	I	0130	Aeghzath	X579410-4	 	     Ni 		203	VAnP	F6 V	-3	(633+1)	[1137]	B	11	54
Mend	M	0131	Okheruers	E540874-7	 	      De He Ph Pi Po 		525	VAnP	F5 V M9 V	-2	(876+3)	[566A]	BDe	12	1008
Mend	M	0136	Ikeshiige	X544000-0	 	     Ba 		012	VAnP	F8 V	-3	(200+1)	[0000]	B	13	2
Mend	M	0138	Khadumar	C565402-5	 	      Ni Pa 	B	621	VAnP	G1 V	-2	(731+2)	[2225]	Bc	11	42
Mend	A	0201	Lakariir	X520000-A	 	      De He Di Po 		003	3EoG	M0 V M0 V M1 V	-1	(700+1)	[0000]	B	15	7
Mend	A	0202	Dakash	E66A510-6	 	     Ni Pr Wa 		404	3EoG	K3 V	-3	(740+1)	[6286]	Bc	16	28
Mend	A	0207	Eraashesh	X310000-9	 	     Di 		000	NaHu	M1 V M9 V	-2	(700-3)	[0000]	B	13	-21
Mend	A	0210	Minirem	X569000-0	 	     Ba 		003	NaHu	F4 V	-3	(200+2)	[0000]	B	14	4
Mend	E	0212	Tahigon	X7BA000-9	 	    Huma1  Di Fl 		003	NaVa	M6 III	-2	(800+1)	[0000]	B	13	8
Mend	E	0218	Koeghz	X857222-1	 	    Da Huma2  Ga Lo 	B	103	NaVa	F3 V M8 V	-3	(410+1)	[1144]	B	12	4
Mend	I	0221	Ougzto	X59A377-3	 	     Pz Huma4  Lo Wa (NIL)		214	NaVa	F0 V	-3	(A20+1)	[1181]	B	11	20
Mend	I	0223	Un Aekho	X100000-B	 	    Huma2  Di Va 		024	NaVa	G3 V M1 V	-1	(D00-1)	[0000]	B	12	-13
Mend	I	0227	Osaelon	X7B8000-8	 	     Di Fl 		010	NaVa	K5 V	-3	(700+3)	[0000]	B	7	21
Mend	I	0229	Faethaeng	X537000-6	 	     Di 		022	VAnP	G8 V M4 V	-3	(500+3)	[0000]	B	10	15
Mend	M	0234	Dakhumar	X683202-4	 	     Lo 	B	103	VAnP	F9 V M1 V	-3	(410+1)	[3118]	B	14	4
Mend	M	0238	Rukar	E545751-6	 	     O:0340  Ag Pi (NIL)		303	VAnP	K6 V	-1	(966+4)	[5662]	BCD	8	1296
Mend	M	0240	Irukuzi	X57A225-3	 	     Lo Wa 	B	102	VAnP	M1 V M7 V	-3	(410+3)	[1123]	B	12	12
Mend	A	0305	Kinuurur	X8C5000-9	 	     Di Fl 		024	NaHu	M2 V M7 V	-2	(C00+2)	[0000]	B	19	24
Mend	A	0308	Idiler	D663211-5	 	    rg4  Lo 		514	NaHu	M0 V	-3	(310+4)	[2141]	B	15	12
Mend	A	0309	Geshamu	X575000-7	 	    rg2  Di 		022	NaHu	F0 V	-3	(300+2)	[0000]	B	15	6
Mend	E	0314	Shimaash	E56A212-7	 	    Pz  Lo Wa (NIL)		200	CoBa	F8 V	-3	(910+3)	[6167]	B	5	27
Mend	E	0316	Fisch	X778769-4	 	      Ag Pi (NIL)	B	304	CoBa	F2 V M5 V	-1	(966+3)	[36A5]	BCD	12	972
Mend	E	0317	IRIGER	X557659-6	 	    Ag Ni (NIL)		200	CoBa	M2 V	-2	(B50-3)	[3459]	BC	11	-165
Mend	E	0319	UMAR	X310000-9	 	      Di Na In 		004	CoBa	M3 V	-1	(F00+1)	[0000]	BE	13	15
Mend	E	0320	Siirash	X310000-A	 	    rg5 O:0319  Di 		004	NaHu	F9 V	-1	(800+1)	[0000]	B	13	8
Mend	I	0325	Gvazoekh	X658748-1	 	    Pz  Ag (NIL)	B	603	NaVa	F7 V	-1	(964+1)	[A673]	BC	9	216
Mend	I	0326	Muzalag	E562643-6	 	    O:0726  Ni Ri 		205	Sark	F9 V M9 V	-2	(853+1)	[B443]	BC	11	120
Mend	I	0328	Aenggho	X69A96D-6	 	    Hi In Wa 	B	803	Sark	M0 V	0	(888-2)	[7948]	BE	8	-1024
Mend	M	0331	Aamid	E865400-3	 	     Ga Ni Pa 		420	VAnP	F0 V	-3	(633-3)	[5151]	Bc	5	-162
Mend	M	0332	Odzokhs	X543000-7	 	     Di Po 		022	VAnP	F3 V	-3	(300+1)	[0000]	B	11	3
Mend	M	0335	Guzagim	X527000-C	 	    O:0433  Di 		023	VAnP	F2 IV M1 V	-1	(D00+1)	[0000]	B	11	13
Mend	M	0337	Diamin	X898441-1	 	     Ni Pa 	B	520	VAnP	F0 V	-3	(732+3)	[5143]	Bc	10	126
Mend	M	0339	Gvirrgh	X310000-A	 	     Di 		024	VAnP	A9 V	-1	(D00-1)	[0000]	B	16	-13
Mend	M	0340	Suduruu	X310000-9	 	     Di Na Pi 		000	VAnP	M0 V M8 V	-2	(900+4)	[0000]	BD	9	36
Mend	A	0402	AMAMLA	X434000-9	 	     Di (NIL)		024	Zuug	F0 V	-2	(H00-2)	[0000]	B	12	-34
Mend	A	0403	Shaunoki	X8CA000-B	 	     Di Fl 		013	Zuug	M2 V	-1	(C00+1)	[0000]	B	12	12
Mend	A	0408	Uerradz	X887153-0	 	    Da Huma5  Ga Lo 	B	405	NaVa	M0 V	-3	(500+4)	[2191]	B	11	20
Mend	E	0411	Ukhar	X560658-6	 	    Da  De Ni Ri 		204	CoBa	F2 V	-2	(851-2)	[9445]	BC	12	-80
Mend	E	0419	Arrghung	X99A653-5	 	    Da Huma2  Ni Wa 	B	224	NaVa	K2 V	-3	(853+2)	[6365]	B	16	240
Mend	I	0421	Oukael	X5A6000-A	 	     Di Fl 		003	Sark	A1 V M9 V	-1	(800-3)	[0000]	B	14	-24
Mend	I	0426	Vungoerrg	X99A6BB-7	 	     Ni Wa 	B	510	Sark	F9 V M8 V	-3	(850+1)	[635C]	B	8	40
Mend	M	0433	Neniis	X89A303-3	 	       Lo Wa (NIL)	B	300	VAnP	F5 V	-3	(A20+1)	[4152]	B	6	20
Mend	M	0434	Kirep	X000000-9	 	      As Va Di 		011	VAnP	M1 V	-2	(700+1)	[0000]	B	13	7
Mend	M	0436	Ugarsoer	X000000-B	 	      As Va Di 		024	VAnP	G2 V	-1	(A00+3)	[0000]	B	10	30
Mend	M	0438	Upirdikim	D555420-4	 	     Ni Pa 	B	404	VAnP	K3 V	-3	(630-1)	[5152]	Bc	10	-18
Mend	M	0439	Sasuna	E673125-4	 	     Lo 		504	VAnP	F1 V M7 V	-3	(400+1)	[4166]	B	13	4
Mend	M	0440	LLOURSA	X421000-7	 	       Di He Na In Po (NIL)		023	VAnP	G6 V	-2	(B00+1)	[0000]	BE	14	11
Mend	A	0502	Dukasaa	X300000-9	 	     Di Va 		000	Zuug	M3 V	-2	(700-3)	[0000]	B	8	-21
Mend	A	0505	Arurar	X79A123-3	 	    Fo  Lo Wa 		903	Zuug	G7 V M0 V	-3	(600-4)	[1165]	B	16	-24
Mend	A	0508	Eshum	E58A687-7	 	     Ni Ri Wa 		811	Zuug	F8 V	-2	(853+2)	[544A]	BC	12	240
Mend	A	0509	Gogokae	X587545-1	 	     Da  Ag Pr Ni 		204	NaVa	F9 V	-2	(741+5)	[8311]	BcC	10	140
Mend	A	0510	INURZIR	X77776C-3	 	      Ag (NIL)	B	100	CoBa	F2 V M8 V	-1	(C66+3)	[7641]	BC	5	1296
Mend	E	0512	Giidiluu	X100000-B	 	     Di Va 		004	CoBa	F3 V	-1	(A00+2)	[0000]	B	11	20
Mend	E	0514	Bakaum	X794768-6	 	       Ag Pi (NIL)		205	CoBa	F4 V M8 V	-1	(963+1)	[8648]	BCD	14	162
Mend	E	0515	Arkadish	X000000-D	 	      As Va Di Na 		022	CoBa	M0 V	-1	(C00+4)	[0000]	B	9	48
Mend	E	0516	Eshla	C67A576-5	 	     Ni Wa 	B	222	CoBa	F9 V	-2	(740+1)	[1334]	B	10	28
Mend	E	0518	Asduga	X200000-9	 	     Di Na Pi Va 		000	CoBa	F8 V	-2	(900-4)	[0000]	BD	9	-36
Mend	E	0519	Luugiika	X568453-4	 	    rg2  Ni Pa 		405	NaHu	M0 V	-3	(630+5)	[6166]	Bc	15	90
Mend	I	0521	ASARKI	X7A4000-A	 	    Pz  Di Fl In (ENIL)		000	Sark	K6 V	0	(B00+1)	[0000]	BE	13	11
Mend	I	0522	Souzu	X555135-4	 	      Lo 	B	601	Sark	K2 V	-3	(600+3)	[1144]	B	10	18
Mend	I	0523	Ozuen Arr	C588442-7	 	      Ni Pa 	B	622	Sark	F1 V	-2	(730+3)	[2255]	Bc	13	63
Mend	M	0531	Anked	D562845-6	 	   Huma5 O:0331  Ph Ri (NIL)	B	124	NaVa	G2 V	-1	(978+1)	[A75B]	BCe	13	504
Mend	M	0538	Kuginsar	X547000-0	 	     Ba 		012	VAnP	F2 V	-3	(200+5)	[0000]	B	11	10
Mend	A	0604	Nushuni	X697278-3	 	     Lo 	B	124	Zuug	K1 V M3 V	-3	(510-2)	[2152]	B	16	-10
Mend	A	0606	USUUR	X420000-C	 	        De He Di Na In Po (NIL)		025	Zuug	F6 V M9 V	0	(K00+1)	[0000]	BE	11	19
Mend	A	0609	Kudiki	X436000-8	 	    O:0510  Di 		000	CoBa	G3 V	-3	(800+1)	[0000]	B	12	8
Mend	E	0611	GUGGAKU	X545745-6	 	      Ag Pi (NIL)	B	203	CoBa	K0 V M0 V	-1	(B66-4)	[8674]	BCD	11	-1584
Mend	E	0614	MARDIN	X510000-9	 	      Di Na In 		011	CoBa	F7 V	-1	(D00-1)	[0000]	BE	6	-13
Mend	I	0621	Uedhfe	E654136-5	 	     Lo 		903	Sark	F9 V	-3	(500-1)	[3197]	B	15	-5
Mend	I	0624	Durshad	X432000-6	 	     O:0726  Di Na Px Po 		023	Sark	F5 V	-3	(800+1)	[0000]	B	15	8
Mend	I	0628	Ounoeth	X67A000-6	 	     Di Pi Wa (NIL)		022	Sark	F2 V M7 V	-3	(A00-4)	[0000]	BD	14	-40
Mend	M	0632	Oruedh	X534000-8	 	   Huma2  Di Px 		001	NaVa	M1 V	-3	(600-2)	[0000]	B	7	-12
Mend	M	0633	Iragdu	X434000-7	 	     Di 		002	NaVa	M1 V	-3	(500+2)	[0000]	B	9	10
Mend	M	0638	Zaegaekhs	X8C5000-A	 	     Di Fl 		004	NaVa	A8 IV M8 V	-1	(900+1)	[0000]	B	11	9
Mend	M	0639	ADDARA	X644234-7	 	     rg3  Lo (NIL)		304	CsIm	F9 V M5 V	-3	(B10-1)	[1155]	B	12	-11
Mend	A	0702	Ritchie	E587674-4	 	     Da Chir1  Ag Ri Ni 	B	203	Zuug	F9 V	-1	(850+1)	[7582]	BC	15	40
Mend	A	0703	Mumisli	C88A657-8	 	     O:0606  Ni Ri Wa 		200	Zuug	F4 V	-1	(851+3)	[456B]	BC	11	120
Mend	A	0706	Athikamau	D57576D-6	 	     Pz  Ag Pi (NIL)		403	Zuug	K1 V	-1	(964+2)	[A651]	BCD	10	432
Mend	E	0716	Ishziig	E688730-5	 	     Pz rg3  Ag Ri (NIL)	B	622	NaHu	F7 V M2 V	0	(96A-2)	[A73A]	BC	10	-1080
Mend	E	0718	Lerigem	X562120-1	 	    Da  Lo 		902	NaVa	F1 V	-3	(500-1)	[1181]	B	6	-5
Mend	E	0720	Amamkhi	XAB6000-8	 	     Di Fl 		023	NaHu	G0 V	-3	(B00+1)	[0000]	B	13	11
Mend	I	0724	Gupiggi	E547102-4	 	     Lo 		700	Sark	G8 V M9 V	-3	(500+3)	[1174]	B	10	15
Mend	I	0725	Agugurkir	E995120-6	 	      Lo 		304	Sark	F7 V	-3	(600+4)	[5147]	B	12	24
Mend	I	0726	SARKAN	X559000-0	 	     Pz  Ba (NIL)		004	Sark	F2 V	-3	(C00+1)	[0000]	B	12	12
Mend	I	0729	Ministee	C576220-9	 	     Lo 		210	Sark	G4 V M9 V	-1	(610-3)	[612A]	B	7	-18
Mend	M	0731	Bruno	DA9978B-5	 	     Pi (NIL)	B	323	NaHu	F5 V M5 V	-2	(964+1)	[4546]	BD	15	216
Mend	M	0732	Vatha	X520000-C	 	      De He Di Po 		022	NaVa	K0 V M2 V	-1	(900+3)	[0000]	B	12	27
Mend	M	0733	Kiduuder	E655441-5	 	    rg3  Ga Ni Pa 		602	NaHu	F3 V	-3	(730-3)	[5171]	Bc	10	-63
Mend	M	0737	Ashuku	X8CA000-9	 	     Di Fl 		002	NaHu	F2 V	-2	(600-3)	[0000]	B	8	-18
Mend	M	0739	Zo Ours	D562388-5	 	    Da  Lo 		910	NaVa	G1 V	-3	(520+1)	[3164]	B	11	10
Mend	A	0802	Shudarlu	X420000-8	 	       De He Di Na Pi Po (NIL)		002	Zuug	M3 V	-3	(B00-4)	[0000]	BD	11	-44
Mend	A	0805	Amirde	D58A400-3	 	      Ni Wa 		604	Zuug	K5 V M0 V	-3	(730+1)	[31A6]	B	12	21
Mend	A	0806	NIIRSE	X687977-4	 	     Ga Hi Pr (NIL)	B	101	Zuug	F1 V	-1	(B84+1)	[B881]	BcE	6	352
Mend	A	0808	Gabor	D542649-7	 	     He Ni Po 		203	NaVa	F5 V	-3	(852-4)	[5333]	B	13	-320
Mend	E	0811	Imakhu	X100000-9	 	    Pz  Di Na Pi Va 		003	CoBa	M3 V M5 V	-2	(C00+1)	[0000]	BD	12	12
Mend	E	0812	Stone	X200000-9	 	     Di Na Va 		020	CoBa	M2 V	-2	(A00-2)	[0000]	B	10	-20
Mend	E	0814	Iirish	X547000-4	 	     Di 		004	NaVa	F7 V	-3	(300-1)	[0000]	B	9	-3
Mend	E	0815	Uuram	X547000-0	 	    An Da  Ba 		011	NaVa	F1 V M5 V	-3	(200+1)	[0000]	B	7	2
Mend	I	0826	Meshuga	X7B7000-A	 	    Di Fl (ENIL)		005	Sark	M0 V M6 V	-1	(E00+1)	[0000]	B	11	14
Mend	M	0833	Okhrougz	X9D8000-7	 	    Pz Huma4  Di (NIL)		003	NaVa	F3 V M6 V	-3	(A00+1)	[0000]	B	12	10
Mend	M	0839	Sargas	X424000-7	 	     Di 		004	NaVa	F0 Ib M7 V	-3	(300+1)	[0000]	B	10	3
Mend	M	0840	DUDZAZ	E89A652-8	 	     Huma3  Ni Wa (NIL)	B	203	NaVa	M2 V	-3	(E51+1)	[6359]	B	11	70
Mend	B	0903	Lashesaan	EA66774-3	 	      Ag Ri (NIL)	B	405	Zuug	F5 V	0	(964-2)	[2734]	BC	11	-432
Mend	B	0908	Akhishur	X510000-9	 	    O:1108  Di 		004	NaHu	M1 V	-2	(900+4)	[0000]	B	15	36
Mend	B	0909	Shigu	X575257-4	 	     Lo 		423	NaHu	F4 V	-3	(410-4)	[6132]	B	14	-16
Mend	F	0911	Gilur	E776400-6	 	    rg2  Ni Pa 		304	NaHu	G7 V M7 V	-3	(632+2)	[2169]	Bc	16	72
Mend	F	0913	Udubi	E565779-5	 	     Pz rg1  Ag Ri (NIL)		303	NaHu	F9 V	0	(968-2)	[674A]	BC	8	-864
Mend	F	0914	Arkim	E564659-3	 	     rg2  Ag Ri Ni 	B	702	NaHu	F0 V M2 V	-1	(851-2)	[6583]	BC	10	-80
Mend	F	0917	Shurkar	E599121-6	 	    rg2  Lo 		204	NaHu	G9 V	-3	(400-1)	[4179]	B	12	-4
Mend	F	0919	Ugirunnir	X9D8000-8	 	     Di (NIL)		004	NaVa	F7 III M3 V	-3	(D00+2)	[0000]	B	12	26
Mend	F	0920	Oukh Ull	E857400-7	 	    Da rg5  Ga Ni Pa 		621	NaVa	F4 V	-3	(733-3)	[6177]	Bc	12	-189
Mend	J	0923	Ukhgvang	C697377-7	 	     rg2  Lo 		822	Sark	F5 V M7 V	-2	(620+1)	[2155]	B	13	12
Mend	J	0928	Uengogh	D658120-7	 	    rg1  Lo 		325	Sark	F7 V	-3	(400+3)	[2162]	B	15	12
Mend	J	0930	Mandala	E754875-1	 	    Pz rg5  Pa Ph (NIL)	B	213	Sark	K2 V	-2	(A78+1)	[C651]	Bce	12	560
Mend	N	0932	Rikhtan	X625000-8	 	    Da Huma1  Di 		004	NaVa	M3 V	-3	(B00-3)	[0000]	B	10	-33
Mend	N	0933	UKSOL	DA96865-3	 	    Pz Huma2  Pa Pi Ph (NIL)	B	403	NaVa	M1 V	-2	(B72-4)	[A638]	BcDe	14	-616
Mend	N	0938	Ughzneng	X833000-B	 	    Da Huma4  Di Px Po 		003	NaVa	M0 V	-1	(A00-1)	[0000]	B	10	-10
Mend	N	0939	Llaegho	E642200-5	 	     He Lo Po 		824	NaVa	F0 V	-3	(610+5)	[1165]	B	16	30
Mend	B	1005	Padan	E553494-2	 	     Ni Po 	B	311	NaVa	F6 V M2 V	-3	(630-2)	[4112]	B	13	-36
Mend	B	1008	Ikheku	E55627B-2	 	     Lo 		302	NaHu	F6 V	-3	(510+1)	[4161]	B	6	5
Mend	F	1011	Vasstyatho	X420000-8	 	       De He Di Na Po 		003	NaDr	M3 V	-3	(B00+1)	[0000]	B	11	11
Mend	F	1012	Nipitoga	X774403-3	 	    Huma1  Ni Pa 	B	204	NaVa	F5 V M2 V	-3	(630-5)	[1133]	Bc	12	-90
Mend	J	1024	Ghaze	X430000-A	 	     rg6  De Di Na Po 		022	JuPr	G7 V	-1	(C00-2)	[0000]	B	11	-24
Mend	J	1029	Uegvou	X434000-6	 	    Da Huma1  Di 		004	NaVa	F4 V M9 V	-3	(800-1)	[0000]	B	7	-8
Mend	N	1035	Llan Ag	X641000-5	 	      Di He Pi Po (NIL)		001	NaVa	F0 V	-3	(A00-1)	[0000]	BD	10	-10
Mend	N	1038	Ueksae	X8A8000-8	 	     Di Fl 		002	NaVa	M2 V	-3	(600-1)	[0000]	B	14	-6
Mend	N	1040	Midir	X421000-A	 	     rg2  Di He Na Pi Po (NIL)		001	JuPr	M0 II	-1	(A00-2)	[0000]	BD	8	-20
Mend	B	1103	Akabasca	E786141-7	 	     Ga Lo 		900	NaHu	F6 V	-3	(300+1)	[4129]	B	7	3
Mend	B	1105	Ankaa	XA8A136-1	 	     Lo Oc 	B	802	NaHu	F4 V	-3	(500+3)	[1111]	B	12	15
Mend	B	1108	Irsisha	X200000-A	 	     Di Na Va 		003	NaHu	M2 V	-1	(B00-1)	[0000]	B	12	-11
Mend	F	1113	Ingushiim	X725000-7	 	    rg6  Di 		002	NaHu	M0 V	-3	(600-2)	[0000]	B	8	-12
Mend	F	1116	Kigabala	X200000-8	 	    rg4 O:1316  Di Va 		002	NaHu	G7 V	-3	(700+1)	[0000]	B	9	7
Mend	F	1118	Shawto	X550279-5	 	     De Lo Po 		312	NaHu	F9 V	-3	(410-2)	[1165]	B	13	-8
Mend	F	1119	Spectacle	X548489-6	 	    rg5  Ni Pa 		225	JuPr	F0 V M6 V M4 V	-3	(433+1)	[9144]	Bc	17	36
Mend	J	1122	Nimragi	X754567-4	 	    rg4  Ag Ni 		202	JuPr	G1 V	-2	(442+1)	[4334]	BC	12	32
Mend	J	1124	Ueridh	X422000-9	 	     rg4 O:1024  Di He Na Pi Po (NIL)		003	JuPr	M0 V M2 V	-2	(C00-3)	[0000]	BD	16	-36
Mend	J	1126	Kferrun	X568000-0	 	    Da  Ba 		004	JuPr	F6 V	-3	(200-1)	[0000]	B	11	-2
Mend	J	1127	Shikhimad	X200000-9	 	    rg2  Di Va 		024	JuPr	K0 V M7 V	-2	(A00+1)	[0000]	B	11	10
Mend	N	1139	OEGHULL	X688145-3	 	    Pz Chir1 rg4  Lo (NIL)		211	JuPr	F4 V M6 V	-3	(A00+1)	[6128]	B	7	10
Mend	N	1140	TARR	X735000-9	 	    rg6  Di (NIL)		022	JuPr	M1 V M5 V	-2	(F00+1)	[0000]	B	13	15
Mend	B	1202	Aashan	E7676AE-5	 	      Ag Ri Ga Ni 		203	NaHu	M0 V	-1	(850+1)	[55A1]	BC	8	40
Mend	B	1208	Kakuka	D444997-5	 	    O:1108  Hi In (NIL)	B	924	NaHu	M1 V	0	(98A-2)	[7979]	BE	13	-1440
Mend	F	1211	Kakimir	XADA000-A	 	     Di Oc 		003	NaVa	K5 V M8 V M1 V	-1	(A00-1)	[0000]	B	10	-10
Mend	F	1218	Vuwobawu	XAB9000-9	 	    Da rg4  Di Fl 		034	JuPr	F5 V M5 V	-2	(F00+1)	[0000]	B	12	15
Mend	F	1220	Kiilishar	X100000-C	 	    Da rg1  Di Va 		022	JuPr	M1 V	-1	(600+1)	[0000]	B	13	6
Mend	J	1221	Mamii	X100000-D	 	    rg3  Di Va 		000	JuPr	M2 V	-1	(400-3)	[0000]	B	8	-12
Mend	J	1224	Ornament	C77377A-8	 	    rg3  Pi (NIL)		205	JuPr	K6 V M0 V M5 V	-1	(968-2)	[7646]	BD	15	-864
Mend	J	1226	Egvarrgh	XAD7000-D	 	    rg4  Di 		002	JuPr	G4 III M1 V	-1	(800+1)	[0000]	B	10	8
Mend	N	1231	Eghzaz	X000000-A	 	     rg5  As Va Di Na 		024	NaHu	M1 V	-1	(E00-2)	[0000]	B	19	-28
Mend	N	1237	Oularso	X433000-D	 	    rg1  Di Po 		002	JuPr	M1 V	-1	(400-3)	[0000]	B	9	-12
Mend	N	1238	Bixpuls	C578774-7	 	     Droy1 RsA  Ag Pi (NIL)	B	304	JuPr	F7 V M4 V	0	(964-2)	[777B]	BCD	11	-432
Mend	B	1302	Lagapemda	E66A9BC-6	 	    Hi Pr Wa (NIL)	B	601	NaHu	G9 V	-1	(885-1)	[8875]	BcE	7	-320
Mend	B	1303	Kanoochee	X425000-9	 	     Di 		025	NaHu	G6 V M5 V	-2	(A00-4)	[0000]	B	11	-40
Mend	B	1306	Nashaa	X574179-6	 	      Lo 		903	NaHu	F4 V	-3	(900+1)	[2143]	B	11	9
Mend	B	1310	Megilla	X437000-0	 	     Ba 		000	NaHu	K3 V	-3	(200+1)	[0000]	B	6	2
Mend	F	1313	Michonee	D583444-4	 	      Ni 	B	603	NaHu	F9 V	-3	(730+3)	[4121]	B	10	63
Mend	F	1315	Irisi	X530000-D	 	    rg4 O:1316  De Di Po 		003	JMen	F7 V	-1	(800-3)	[0000]	B	14	-24
Mend	F	1316	KUPID	X99A210-9	 	     rg1  Lo Wa (NIL)		922	JMen	F9 V	-2	(F10+2)	[1169]	B	13	30
Mend	F	1317	Umasur	D888443-6	 	    rg3  Ni Pa 	B	334	JMen	G0 V M7 V	-3	(732+3)	[1158]	Bc	15	126
Mend	F	1320	Niimdalu	X000000-8	 	     rg6  As Va Di 		010	JuPr	M0 V M3 V	-3	(400+1)	[0000]	B	11	4
Mend	J	1321	Dekhii	X57A879-4	 	    Pz rg7  Ph Pi Wa (NIL)	B	903	JuPr	F3 V	-2	(779+1)	[7665]	BDe	7	441
Mend	J	1324	Masiira	X69A422-2	 	    Da rg3  Ni Wa 		521	JuPr	F0 V	-3	(530+1)	[2153]	B	13	15
Mend	J	1327	Gzokaegh	B566454-5	 	    rg6  Ni Pa 		500	JuPr	F3 V	-1	(631+3)	[53A6]	Bc	7	54
Mend	J	1329	LUMDA	X400000-D	 	      rg4  Di Na In Va 		004	JLum	F9 V M0 V	0	(F00+1)	[0000]	BE	12	15
Mend	N	1335	Vouthoeng	C6547CD-8	 	    rg1 O:1634  Ag (NIL)		223	JPSt	G6 V	0	(862-2)	[9768]	BC	10	-192
Mend	N	1336	Angull	X410000-9	 	    rg7  Di 		025	JPSt	M2 V	-2	(A00+2)	[0000]	B	17	20
Mend	N	1337	Holy Jyestha	X200000-D	 	    rg3  Di Va 		000	JPSt	G4 V	-1	(700+1)	[0000]	B	8	7
Mend	N	1338	KIPLI	D575997-6	 	    rg2  Hi In (NIL)	B	404	JPSt	F3 V M2 V	0	(B86+1)	[A964]	BE	10	528
Mend	N	1340	Ezu Ukfae	E678540-7	 	    Da rg3  Ag Ni 		504	JuPr	K2 V M8 V	-2	(340+3)	[4366]	BC	14	36
Mend	B	1404	Dingus	X543724-5	 	      Po (NIL)	B	120	NaHu	F9 V M2 V	-2	(962+4)	[7567]	B	10	432
Mend	B	1407	Adirgaa	X300000-8	 	     Di Va 		002	NaHu	M0 V M1 V	-3	(600-1)	[0000]	B	6	-6
Mend	B	1409	Endicott	X748611-4	 	     Ag Ni 	B	324	NaHu	M0 V M7 V M3 V	-2	(854+2)	[8415]	BC	11	320
Mend	F	1411	Amaazu	X7CA000-9	 	     Di Fl 		002	NaHu	K4 V	-2	(500+2)	[0000]	B	13	10
Mend	F	1417	Giinurmuu	X200000-C	 	    rg7  Di Va 		003	JMen	M2 V M6 V	-1	(900+1)	[0000]	B	14	9
Mend	J	1430	Shishgish	X426000-B	 	    rg5  Di Pi (NIL)		013	JLum	F1 V M0 V	-1	(E00+2)	[0000]	BD	11	28
Mend	N	1431	Khishishu	E763656-5	 	    rg2  Ni Ri 	B	504	JLum	F9 V	-2	(750+3)	[9474]	BC	11	105
Mend	N	1435	Duksham	X673776-5	 	    rg2  Pi (NIL)	B	423	JPSt	M1 V M4 V	-2	(965+3)	[7556]	BD	12	810
Mend	N	1436	IMSAGGA	X420000-A	 	       Pz rg4  De He Di Na In Po (NIL)		023	JPSt	F3 V	0	(G00+4)	[0000]	BE	12	64
