Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Mend	A	0107	Dakinkhig	C568502-8	 	   Ag Pr Ni 		204	NaVa	G0 V M3 V	-1	(B43-5)	[1414]	BcC	8	-660
1201	Mend	A	0107	Dakinkhig	D568556-6	 	   Ag Pr Ni 	B	204	NaVa	G0 V M3 V	-2	(744-2)	[7341]	BcC	8	-224
1199	Mend	A	0107	Dakinkhig	D568545-3	 	   Ag Pr Ni 		104	Wild	G0 V M3 V	-2	(740+1)	[9317]	BcC	8	28
1508	Mend	A	0107	Dakinkhig	D568578-4	 	   Ag Pr Ni 		104	Wild	G0 V M3 V	-2	(740+5)	[3372]	BcC	8	140
1900	Mend	A	0107	Dakinkhig	D568476-5	 	   Ni Pa 		904	Wild	G0 V M3 V	-3	(730+1)	[9141]	Bc	8	21

1105	Mend	A	0110	Aminkaa	E544247-6	 	    Lo 		733	NaHu	M2 V M3 V	-3	(410-3)	[2156]	B	13	-12
1201	Mend	A	0110	Aminkaa	X544122-5	 	    Lo 		333	NaHu	M2 V M3 V	-3	(400+2)	[1147]	B	13	8
1199	Mend	A	0110	Aminkaa	X544000-5	 	    Di 		033	Wild	M2 V M3 V	-3	(400+4)	[0000]	B	13	16
1508	Mend	A	0110	Aminkaa	X544000-5	 	    Di 		033	Wild	M2 V M3 V	-3	(400+2)	[0000]	B	13	8
1900	Mend	A	0110	Aminkaa	X544000-5	 	    Di 		033	Wild	M2 V M3 V	-3	(400+1)	[0000]	B	13	4

1105	Mend	E	0111	Ilarba	D868747-1	 	    Ag Ri (NIL)		102	NaHu	F5 V M9 V	0	(965+1)	[7751]	BC	8	270
1201	Mend	E	0111	Ilarba	E8687B9-0	 	    Ag Ri (NIL)	B	202	NaHu	F5 V M9 V	0	(964+5)	[A751]	BC	8	1080
1199	Mend	E	0111	Ilarba	E868773-0	 	    Ag Ri (NIL)		102	Wild	F5 V M9 V	0	(966-1)	[C794]	BC	8	-324
1508	Mend	E	0111	Ilarba	E868651-1	 	   Ag Ri Ni (NIL)		902	Wild	F5 V M9 V	-1	(951+2)	[A511]	BC	8	90
1900	Mend	E	0111	Ilarba	E86879D-1	 	    Ag Ri (NIL)		102	Wild	F5 V M9 V	0	(968+1)	[5782]	BC	8	432

1105	Mend	E	0113	Fourroek	E646254-5	 	    Lo 	A	703	NaVa	F7 V	-3	(410-5)	[1133]	B	11	-20
1201	Mend	E	0113	Fourroek	X646210-3	 	    Lo 		303	NaVa	F7 V	-3	(410+4)	[2135]	B	11	16
1199	Mend	E	0113	Fourroek	X646000-3	 	    Di 		003	Wild	F7 V	-3	(400+5)	[0000]	B	11	20
1508	Mend	E	0113	Fourroek	X646000-3	 	    Di 		003	Wild	F7 V	-3	(400+1)	[0000]	B	11	4
1900	Mend	E	0113	Fourroek	X646000-3	 	    Di 		003	Wild	F7 V	-3	(400+1)	[0000]	B	11	4

1105	Mend	I	0121	Gukham	C785412-8	 	  Ga Ni Pa 		703	NaVa	F4 V	-2	(931-5)	[1214]	Bc	13	-135
1201	Mend	I	0121	Gukham	E785410-7	 	  Ga Ni Pa 		403	NaVa	F4 V	-3	(631-1)	[517B]	Bc	13	-18
1199	Mend	I	0121	Gukham	E785452-5	 	  Ga Ni Pa 		203	Wild	F4 V	-3	(630-4)	[7177]	Bc	13	-72
1508	Mend	I	0121	Gukham	E785455-6	 	  Ga Ni Pa 		203	Wild	F4 V	-3	(630+1)	[2196]	Bc	13	18
1900	Mend	I	0121	Gukham	E785412-6	 	  Ga Ni Pa 		103	Wild	F4 V	-3	(630+3)	[3146]	Bc	13	54

