Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Mesh	E	0115	Gvikse	D797000-7	 	    Di 		023	Wild	F1 V M9 V	-3	(800+2)	[0000]	B	14	16
Mesh	E	0116	Khalokh	D55657B-4	 	   Ag Ni 		113	Wild	F3 V M5 V	-2	(740+2)	[3346]	BC	12	56
Mesh	E	0120	Ungoe	X79A000-9	 	   Di Wa (NIL)		004	Wild	F0 V M6 V M6 V	-2	(D00-4)	[0000]	B	11	-52
Mesh	I	0123	Zolag	X000000-E	 	   As Va Di 		020	Wild	F4 V	-1	(E00+4)	[0000]	B	10	56
Mesh	I	0124	Ourskhaeth	E686000-4	 	   Di Ga 		000	Wild	F1 V	-3	(300+1)	[0000]	B	8	3
Mesh	I	0128	Agolrok	X540000-4	 	  De He Di Po (NIL)		002	Wild	F9 V	-3	(B00+3)	[0000]	B	9	33
Mesh	I	0129	Ung Aesa	X6A5000-8	 	   Di Fl 		022	Wild	M6 II	-3	(900-1)	[0000]	B	13	-9
Mesh	M	0134	Dakak	E9889A9-3	 	   Hi Pr (NIL)		200	Wild	F8 V M6 V	-1	(B85+1)	[B821]	BcE	7	440
Mesh	A	0210	Ragdo	E686897-2	 	  Ga Pa Ri Ph (NIL)		804	Wild	F6 V	-1	(B71+1)	[6742]	BcCe	11	77
Mesh	I	0223	Dzelsoull	D88A686-7	 	  Ni Ri Wa (NIL)		620	Wild	F5 V	-2	(950+2)	[9427]	BC	9	90
Mesh	I	0225	Galigun	X423000-7	 	   Di Po (NIL)		024	Wild	G0 V	-3	(B00-2)	[0000]	B	13	-22
Mesh	I	0226	Aegartuer	E666433-2	 	  Ga Ni Pa 		223	Wild	F3 V	-3	(632+1)	[3141]	Bc	16	36
Mesh	I	0229	Cadutah	X8A7000-8	 	   Di Fl 		002	Wild	M3 V	-3	(A00-2)	[0000]	B	14	-20
Mesh	M	0236	Kalih	X530000-7	 	  De Di Po 		003	Wild	M1 II D	-3	(800+4)	[0000]	B	12	32
Mesh	M	0237	Ueksuerrg	X436000-8	 	    Di 		002	Wild	K2 III	-3	(600-3)	[0000]	B	11	-18
Mesh	A	0310	Aengdan	X624000-7	 	    Di 		021	Wild	M2 V	-3	(500+4)	[0000]	B	9	20
Mesh	E	0312	Lavras	D875000-7	 	    Di (NIL)		013	Wild	F7 V M0 V	-3	(900+1)	[0000]	B	17	9
Mesh	E	0313	Odessa	X310000-A	 	    Di 		004	Wild	M0 V M1 V	-1	(F00-1)	[0000]	B	14	-15
Mesh	E	0314	Urulaekhs	X430000-0	 	  Ba De Po 		003	Wild	M2 V	-3	(200+2)	[0000]	B	10	4
Mesh	E	0316	Khongaegh	X579000-0	 	    Ba 		024	Wild	M2 V M3 V	-3	(200-1)	[0000]	B	14	-2
Mesh	E	0317	Addar	X520000-B	 	 Cp De He Di Po 		021	Wild	F3 II M0 V	-1	(A00-1)	[0000]	BF	13	-10
Mesh	I	0321	Ovoe	X300000-0	 	   Ba Va 		002	Wild	G8 V	-3	(200-4)	[0000]	B	5	-8
Mesh	I	0324	Uetsae	X987430-2	 	   Ni Pa 		101	Wild	F1 V M1 V M5 V	-3	(632-1)	[8172]	Bc	9	-36
Mesh	M	0332	Faerr Or	X420000-8	 	  De He Di Po 		003	Wild	K4 V	-3	(A00+1)	[0000]	B	8	10
Mesh	M	0333	Lakzorr	X644000-6	 	    Di 		003	Wild	F0 V	-3	(600+4)	[0000]	B	10	24
Mesh	M	0336	Tukogan	X510000-9	 	    Di 		004	Wild	F2 V	-2	(F00+1)	[0000]	B	8	15
Mesh	M	0340	Onlek	X533000-7	 	   Di Po 		002	Wild	M1 V	-3	(600+1)	[0000]	B	11	6
Mesh	A	0409	Razfa	X300000-E	 	  Cp Di Va 		003	Wild	G2 V	-1	(F00-5)	[0000]	BF	8	-75
Mesh	A	0410	Gzurrgho	XAE9000-7	 	    Di (NIL)		002	Wild	G8 V M9 V	-3	(900+3)	[0000]	B	6	27
Mesh	E	0412	Guegnaek	D574000-3	 	    Di 		004	Wild	F6 V	-3	(600+1)	[0000]	B	16	6
Mesh	E	0416	Arrgh Sue	X430000-9	 	  De Di Po 		002	Wild	F9 V	-2	(700-3)	[0000]	B	13	-21
Mesh	I	0421	Al Ezen	X78A640-1	 	  Ni Ri Wa 		304	Wild	F6 V	-2	(853+1)	[6444]	BC	12	120
Mesh	I	0422	Kherskfon	X633000-6	 	   Di Po 		024	Wild	M1 V	-3	(400-3)	[0000]	B	18	-12
Mesh	I	0424	Oukso	X752000-0	 	   Ba Po 		024	Wild	F3 V M0 V	-3	(200-2)	[0000]	B	17	-4
Mesh	I	0425	Death's Sin	X423000-0	 	   Ba Po 		004	Wild	M1 V M5 V	-3	(200-3)	[0000]	B	12	-6
Mesh	M	0433	Ozsueku	X520000-7	 	  De He Di Po 		012	Wild	M2 V	-3	(600+2)	[0000]	B	13	12
Mesh	M	0434	Tsursazaer	X654000-4	 	    Di 		004	Wild	K9 V	-3	(600+1)	[0000]	B	14	6
Mesh	M	0436	Dilok	X420000-9	 	  De He Di Po (NIL)		024	Wild	F9 V	-2	(H00+1)	[0000]	B	16	17
Mesh	A	0506	Thougzaerrg	X8D5000-5	 	    Di 		002	Wild	K5 V	-3	(400+1)	[0000]	B	8	4
Mesh	A	0508	Llegza	E646640-3	 	   Ag Ni (NIL)		821	Wild	F7 V	-2	(950-2)	[5437]	BC	11	-90
Mesh	E	0511	Engkfaslo	X767000-5	 	   Di Ga 		024	Wild	F9 V	-3	(500+4)	[0000]	B	10	20
Mesh	E	0513	Dzingogz	D56A772-7	 	   Ri Wa (NIL)		202	Wild	F7 V	-1	(963+4)	[8696]	BC	5	648
Mesh	E	0519	Wallace	D76899C-7	 	   Hi Pr (NIL)		134	Wild	F1 V M1 V	-1	(B83+5)	[8849]	BcE	18	1320
Mesh	E	0520	Uthogh	X534000-6	 	    Di 		035	Wild	M0 V	-3	(600-2)	[0000]	B	15	-12
Mesh	I	0524	Akhan	X888000-5	 	    Di 		011	Wild	G9 V	-3	(400-4)	[0000]	B	13	-16
Mesh	M	0531	Allal	X434000-A	 	    Di 		023	Wild	M1 V	-1	(B00-2)	[0000]	B	17	-22
Mesh	M	0536	Otskur	X674000-5	 	    Di 		023	Wild	G5 V	-3	(700+1)	[0000]	B	15	7
Mesh	M	0539	Ishlidiimdu	D550427-5	 	  De Ni Po 		423	Wild	G5 V	-3	(730+3)	[1155]	B	16	63
