Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Mesh	E	0115	Gvikse	B797666-7	 	   Ag Ni 		823	VOpp	F1 V M9 V	0	(854-1)	[5646]	BC	14	-160
1201	Mesh	E	0115	Gvikse	D797676-7	 	   Ag Ni 		923	VOpp	F1 V M9 V	-2	(852-2)	[545A]	BC	14	-160
1199	Mesh	E	0115	Gvikse	D797000-7	 	    Di 		023	Wild	F1 V M9 V	-3	(800-1)	[0000]	B	14	-8
1508	Mesh	E	0115	Gvikse	D797000-7	 	    Di 		023	Wild	F1 V M9 V	-3	(800-3)	[0000]	B	14	-24
1900	Mesh	E	0115	Gvikse	D797000-7	 	    Di 		023	Wild	F1 V M9 V	-3	(800+2)	[0000]	B	14	16

1105	Mesh	E	0116	Khalokh	C556500-7	 	   Ag Ni 		413	VOpp	F3 V M5 V	-1	(743-5)	[1412]	BC	12	-420
1201	Mesh	E	0116	Khalokh	D556579-5	 	   Ag Ni 		313	VOpp	F3 V M5 V	-2	(741+5)	[2328]	BC	12	140
1199	Mesh	E	0116	Khalokh	D556520-2	 	   Ag Ni 		113	Wild	F3 V M5 V	-2	(743+1)	[4334]	BC	12	84
1508	Mesh	E	0116	Khalokh	D556532-3	 	   Ag Ni 		213	Wild	F3 V M5 V	-2	(740-1)	[6331]	BC	12	-28
1900	Mesh	E	0116	Khalokh	D55657B-4	 	   Ag Ni 		113	Wild	F3 V M5 V	-2	(740+2)	[3346]	BC	12	56

1105	Mesh	E	0120	Ungoe	C79A747-9	 	   Pi Wa (NIL)		904	V17D	F0 V M6 V M6 V	0	(D69+1)	[7759]	BD	11	702
1201	Mesh	E	0120	Ungoe	X79A000-9	 	  Di Pi Wa (NIL)		004	V17D	F0 V M6 V M6 V	-2	(D00-2)	[0000]	BD	11	-26
1199	Mesh	E	0120	Ungoe	X79A000-9	 	  Di Pi Wa (NIL)		004	Wild	F0 V M6 V M6 V	-2	(D00-2)	[0000]	BD	11	-26
1508	Mesh	E	0120	Ungoe	X79A000-9	 	   Di Wa (NIL)		004	Wild	F0 V M6 V M6 V	-2	(D00-4)	[0000]	B	11	-52
1900	Mesh	E	0120	Ungoe	X79A000-9	 	   Di Wa (NIL)		004	Wild	F0 V M6 V M6 V	-2	(D00-4)	[0000]	B	11	-52

1105	Mesh	I	0123	Zolag	C000A87-E	 	  As Va Hi Na In 		420	V17D	F4 V	3	(E9F+3)	[AD5E]	BE	10	5670
1201	Mesh	I	0123	Zolag	X000000-E	 	  As Va Di Na In 		020	V17D	F4 V	0	(E00-2)	[0000]	BE	10	-28
1199	Mesh	I	0123	Zolag	X000000-E	 	  As Va Di Na In 		020	Wild	F4 V	0	(E00+2)	[0000]	BE	10	28
1508	Mesh	I	0123	Zolag	X000000-E	 	   As Va Di 		020	Wild	F4 V	-1	(E00-1)	[0000]	B	10	-14
1900	Mesh	I	0123	Zolag	X000000-E	 	   As Va Di 		020	Wild	F4 V	-1	(E00+4)	[0000]	B	10	56

1105	Mesh	I	0124	Ourskhaeth	C686100-8	 	   Ga Lo 		900	V17D	F1 V	-2	(300-5)	[1113]	B	8	-15
1201	Mesh	I	0124	Ourskhaeth	E686310-4	 	   Ga Lo 	B	200	V17D	F1 V	-3	(320+2)	[4173]	B	8	12
1199	Mesh	I	0124	Ourskhaeth	E686000-4	 	   Di Ga 		000	Wild	F1 V	-3	(300+3)	[0000]	B	8	9
1508	Mesh	I	0124	Ourskhaeth	E686000-4	 	   Di Ga 		000	Wild	F1 V	-3	(300-3)	[0000]	B	8	-9
1900	Mesh	I	0124	Ourskhaeth	E686000-4	 	   Di Ga 		000	Wild	F1 V	-3	(300+1)	[0000]	B	8	3

1105	Mesh	I	0128	Agolrok	C5409B9-A	 	  De He Hi In Po (NIL)	A	902	V17D	F9 V	3	(D8D+4)	[AC6B]	BE	9	5408
1201	Mesh	I	0128	Agolrok	X540568-4	 	  De He Ni Po (NIL)	B	502	V17D	F9 V	-3	(B42-5)	[4255]	B	9	-440
1199	Mesh	I	0128	Agolrok	X540000-4	 	  De He Di Po (NIL)		002	Wild	F9 V	-3	(B00+2)	[0000]	B	9	22
1508	Mesh	I	0128	Agolrok	X540000-4	 	  De He Di Po (NIL)		002	Wild	F9 V	-3	(B00+4)	[0000]	B	9	44
1900	Mesh	I	0128	Agolrok	X540000-4	 	  De He Di Po (NIL)		002	Wild	F9 V	-3	(B00+3)	[0000]	B	9	33

1105	Mesh	I	0129	Ung Aesa	B6A5351-8	 	   Fl Lo 		722	V17D	M6 II	-1	(920-5)	[1214]	B	13	-90
1201	Mesh	I	0129	Ung Aesa	X6A5000-8	 	   Di Fl 		022	V17D	M6 II	-3	(900-5)	[0000]	B	13	-45
1199	Mesh	I	0129	Ung Aesa	X6A5000-8	 	   Di Fl 		022	Wild	M6 II	-3	(900+1)	[0000]	B	13	9
1508	Mesh	I	0129	Ung Aesa	X6A5000-8	 	   Di Fl 		022	Wild	M6 II	-3	(900-3)	[0000]	B	13	-27
1900	Mesh	I	0129	Ung Aesa	X6A5000-8	 	   Di Fl 		022	Wild	M6 II	-3	(900-1)	[0000]	B	13	-9

1105	Mesh	M	0134	Dakak	C9889CE-5	 	   Hi Pr (NIL)	A	600	V17D	F8 V M6 V	0	(B88+4)	[D999]	BcE	7	2816
1201	Mesh	M	0134	Dakak	E988977-5	 	   Hi Pr (NIL)	B	700	V17D	F8 V M6 V	-1	(B86+3)	[8835]	BcE	7	1584
1199	Mesh	M	0134	Dakak	E988953-2	 	   Hi Pr (NIL)		300	Wild	F8 V M6 V	-1	(B85+1)	[8811]	BcE	7	440
1508	Mesh	M	0134	Dakak	E988977-2	 	   Hi Pr (NIL)		300	Wild	F8 V M6 V	-1	(B89+1)	[9872]	BcE	7	792
1900	Mesh	M	0134	Dakak	E9889A9-3	 	   Hi Pr (NIL)		200	Wild	F8 V M6 V	-1	(B85+1)	[B821]	BcE	7	440

1105	Mesh	A	0210	Ragdo	C6869BA-6	 	  Ga Hi Pr (NIL)	A	104	VOpp	F6 V	0	(B88+2)	[B978]	BcE	11	1408
1201	Mesh	A	0210	Ragdo	E686940-5	 	  Ga Hi Pr (NIL)	B	204	VOpp	F6 V	-1	(B82-2)	[8861]	BcE	11	-352
1199	Mesh	A	0210	Ragdo	E6869AC-2	 	  Ga Hi Pr (NIL)		104	Wild	F6 V	-1	(B83+3)	[5865]	BcE	11	792
1508	Mesh	A	0210	Ragdo	E686874-1	 	  Ga Pa Ri Ph (NIL)		904	Wild	F6 V	-1	(B74-2)	[9761]	BcCe	11	-616
1900	Mesh	A	0210	Ragdo	E686897-2	 	  Ga Pa Ri Ph (NIL)		804	Wild	F6 V	-1	(B71+1)	[6742]	BcCe	11	77

1105	Mesh	I	0223	Dzelsoull	C88A79B-9	 	   Ri Wa (NIL)	A	120	V17D	F5 V	1	(B6A+3)	[987B]	BC	9	1980
1201	Mesh	I	0223	Dzelsoull	D88A76A-4	 	   Ri Wa (NIL)	B	120	V17D	F5 V	-1	(966-2)	[6613]	BC	9	-648
1199	Mesh	I	0223	Dzelsoull	D88A673-5	 	  Ni Ri Wa (NIL)		520	Wild	F5 V	-2	(951-1)	[7467]	BC	9	-45
1508	Mesh	I	0223	Dzelsoull	D88A678-6	 	  Ni Ri Wa (NIL)		620	Wild	F5 V	-2	(954+3)	[3464]	BC	9	540
1900	Mesh	I	0223	Dzelsoull	D88A686-7	 	  Ni Ri Wa (NIL)		620	Wild	F5 V	-2	(950+2)	[9427]	BC	9	90

1105	Mesh	I	0225	Galigun	E423977-7	 	   Hi Na In Po (NIL)		124	V17D	G0 V	0	(B89+1)	[9957]	BE	13	792
1201	Mesh	I	0225	Galigun	X423000-7	 	   Di Na In Po (NIL)		024	V17D	G0 V	-2	(B00+2)	[0000]	BE	13	22
1199	Mesh	I	0225	Galigun	X423000-7	 	   Di Na In Po (NIL)		024	Wild	G0 V	-2	(B00-3)	[0000]	BE	13	-33
