Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ngat	A	0205	Llaerr Ghekhtsing	D459576-2	 	Ni 		522	Wild	K5 V M8 VI M7 VI	{ -3 }	(843-3)	[1241]	B	0	-288
Ngat	A	0209	Gvokllue Gvaengong	C456300-6	N 	Lo 		514	Wild	K4 V BD M1 V M3 VI	{ -2 }	(920-3)	[1166]	B	0	-54
Ngat	A	0302	Davukfueks	D331786-3	N 	Na Po 		314	Wild	M7 V	{ -2 }	(664+4)	[95A1]	B	0	576
Ngat	A	0401	Oroerr Gagh	B64A744-6	 	Ho Pi Wa 		404	Wild	K4 VI	{ 0 }	(266+2)	[3795]	BD	0	144
Ngat	A	0408	Zaksenrraers	C58747B-2	 	Co Lk Ni Pa 		512	Wild	M9 II	{ -2 }	(830-3)	[5241]	Bc	0	-72
Ngat	A	0504	Doghon Geng	A1107BE-9	N 	Ho Na Pi 		404	Wild	G6 V	{ 1 }	(E69-1)	[984D]	BD	0	-756
Ngat	A	0505	Khoron Guerigfoun	C000640-6	 	As Va Na Ni Sa 		303	Wild	G7 V	{ -2 }	(B52+1)	[548A]	B	0	110
Ngat	A	0606	Ksou Fuenggaers	B4748A7-8	N 	Pa Pi Ph 		110	Wild	F3 V	{ 0 }	(575+3)	[881B]	BcDe	0	525
Ngat	A	0707	Thaviae	E87A000-C	 	Di Wa 		003	Wild	G5 V K5 VI	{ -1 }	(A00+2)	[0000]	B	0	20
Ngat	A	0803	Gaenaen Thuradzoks	D97A000-A	 	Co Di Wa 		012	Wild	G7 V	{ -1 }	(D00+2)	[0000]	B	0	26
Ngat	A	0808	Dzufaer	E78A000-4	 	Di Wa 		000	Wild	G7 V	{ -3 }	(600+1)	[0000]	B	0	6
Ngat	B	0904	Zaerrgal Khogoeng	E697000-2	 	Di 		025	Wild	G4 III	{ -3 }	(800-1)	[0000]	B	0	-8
Ngat	B	1205	Guekuksthong	D324000-7	 	Di 		020	Wild	F5 V M1 VI K9 VI	{ -3 }	(A00-3)	[0000]	B	0	-30
Ngat	B	1306	Dzansersaz	C656589-4	 	Ag Ga Ho Lk Tr Ni 		103	Wild	M7 V	{ -1 }	(543+1)	[A472]	BC	0	60
Ngat	B	1409	Oeksurrg	A567752-8	N 	Ag Ri 		402	Wild	G2 IV	{ 2 }	(56A-3)	[795B]	BC	0	-900
Ngat	B	1508	Dzullougz	D363000-B	 	Co Di 		010	Wild	K7 V	{ -1 }	(900-5)	[0000]	B	0	-45
Ngat	B	1602	Keuenaek	E676000-A	T 	Co Tu Di 		023	Wild	K5 V M2 V	{ -1 }	(C00+1)	[0000]	B	0	12
Ngat	B	1610	Ughithog	E241000-D	 	Di Po 		010	Wild	F1 V F9 VI K4 VI	{ -1 }	(A00-2)	[0000]	B	0	-20
Ngat	C	1702	Dzakfedz	E775000-4	 	Di Lk 		004	Wild	A4 V	{ -3 }	(400+1)	[0000]	B	0	4
Ngat	C	1705	Rrouraekh	D411000-B	 	Di Ho Ic 		001	Wild	F9 V	{ -1 }	(900-2)	[0000]	B	0	-18
Ngat	C	1707	Zoggong Orseg	E412000-C	T 	Co Lk Di Ic 		004	Wild	M5 III BD BD	{ -1 }	(C00+2)	[0000]	B	0	24
Ngat	C	1708	Dzoukfeku	E643000-6	 	Di Po Sa 		024	Wild	F1 IV M0 VI	{ -3 }	(900-3)	[0000]	B	0	-27
Ngat	C	1709	Sarztalg Thue	E77A000-6	 	Di Pi Wa 		003	Wild	K2 V	{ -3 }	(400+4)	[0000]	BD	0	16
Ngat	C	1710	Ksaezerrg	CCEA974-A	 	Hi Oc 		320	Wild	F1 V	{ 2 }	(78E+2)	[AB56]	BE	0	1568
Ngat	C	1803	Vaghug Thueukaa	D5138B9-2	 	Co Ic Na Pi Ph 		324	Wild	G7 V	{ -2 }	(277-3)	[8682]	BDe	0	-294
Ngat	C	1806	Kfue Thuerrgak	X322000-8	 	Di He Po 		012	Wild	G5 IV G5 V M0 VI	{ -3 }	(E00+3)	[0000]	B	0	42
Ngat	C	1807	Raiuue	E401572-3	 	Ho Lk Ic Va Ni 		203	Wild	K0 V	{ -3 }	(543-3)	[6248]	B	0	-180
Ngat	C	1809	Dulursang	DC9A000-B	 	Di Oc 		011	Wild	K7 V	{ -1 }	(700-3)	[0000]	B	0	-21
Ngat	C	1810	Uenae	C431786-4	 	Ho Na Po 		321	Wild	M6 V	{ -1 }	(96B+1)	[6675]	B	0	594
Ngat	C	1901	Rokfaedholl Gorrg	E959532-1	 	Co Ni 		114	Wild	K3 V	{ -3 }	(440+4)	[3231]	B	0	64
Ngat	C	1903	Aekharrgh Faen	C331441-7	 	Ho Ni Po 		121	Wild	G9 V K5 VI D	{ -2 }	(230-3)	[2289]	B	0	-18
Ngat	C	1907	Faesa Khavae	C231888-5	 	Lk Na Po Ph 		112	Wild	G8 V	{ -1 }	(87A+1)	[9762]	Be	0	560
Ngat	C	1909	Gvouoe Gvarakh	C261632-5	N 	Ni Ri 		503	Wild	M2 V	{ -1 }	(655+4)	[4573]	BC	0	600
Ngat	C	2002	Gonun	X799000-B	 	Di 		003	Wild	K0 VI BD	{ -1 }	(A00-4)	[0000]	B	0	-40
Ngat	C	2010	Kaets Rrurson	D657000-2	 	Di Ga 		001	Wild	K4 V K0 VI	{ -3 }	(400+3)	[0000]	B	0	12
Ngat	C	2102	Kariuen Saethsu	A684755-8	 	Ag Ri 		301	Wild	G8 V	{ 2 }	(766-4)	[595A]	BC	0	-1008
Ngat	C	2104	Gzaekhu	D120000-8	 	De Di Lk Po 		012	Wild	G4 V	{ -3 }	(B00+4)	[0000]	B	0	44
Ngat	C	2105	Kvegogsir	E000000-A	 	As Va Co Di 		021	Wild	F3 V M3 VI	{ -1 }	(A00+1)	[0000]	B	0	10
Ngat	C	2106	Ksos	X75A000-E	 	Co Di Wa 		000	Wild	K6 V K7 VI K9 VI	{ -1 }	(B00-4)	[0000]	B	0	-44
Ngat	C	2108	Naksae Thue	X879000-7	T 	Di 		011	Wild	M6 III	{ -3 }	(900+3)	[0000]	B	0	27
Ngat	C	2110	Varrun Vuell Tallaeg	DAB5000-6	 	Di Fl Sa 		002	Wild	A1 II	{ -3 }	(A00+2)	[0000]	B	0	20
Ngat	C	2201	Ketsaetsirr	X440000-8	 	De He Di Po 		012	Wild	F4 V G9 VI G1 VI	{ -3 }	(C00-3)	[0000]	B	0	-36
Ngat	C	2202	Dhikgez Vungnir	E995000-6	 	Di 		021	Wild	K6 V M6 V	{ -3 }	(600-4)	[0000]	B	0	-24
Ngat	C	2205	Vuell Gaerr	E655000-8	T 	Di Ga Lk 		003	Wild	G2 V	{ -3 }	(700-2)	[0000]	B	0	-14
Ngat	C	2306	Tukillae Khsaz	B4548BC-5	 	Pa Ph 		103	Wild	M3 V BD BD	{ 0 }	(875+1)	[9831]	Bce	0	280
Ngat	C	2308	Sekhugzu Tsroukh Suvoukh	D495788-2	 	Ag Pi 		314	Wild	F1 V G4 VI M5 VI G0 VI	{ -1 }	(565-3)	[7655]	BCD	0	-450
Ngat	C	2404	Araegh	E7B1000-5	 	Di Fl He 		005	Wild	G2 III M7 V	{ -3 }	(800-4)	[0000]	B	0	-32
Ngat	C	2406	Tharogkakh	C8D2451-8	 	Ho Sa Ni 		311	Wild	G4 V	{ -2 }	(A31-4)	[3256]	B	0	-120
Ngat	C	2408	Tsoen Aerrkhoedz	B8B3874-4	N 	Fl Ph 		100	Wild	G7 III	{ 0 }	(677+2)	[C856]	Be	0	588
Ngat	C	2409	Arsalae	D346000-5	 	Co Cy Di 		002	Wild	G9 VI	{ -3 }	(900-2)	[0000]	B	0	-18
Ngat	D	2501	Sothae	D377754-3	 	Ag Pi 		111	Wild	G3 V	{ -1 }	(B6A-2)	[5637]	BCD	0	-1320
Ngat	D	2502	Sogekhs Thegkfadh	B2467A9-6	 	Ag Pi 		310	Wild	K9 V BD	{ 1 }	(C67+1)	[A896]	BCD	0	504
Ngat	D	2507	Gakogokhs	B000677-7	 	As Va Na Ni 		123	Wild	A8 IV	{ -1 }	(252-1)	[557A]	B	0	-20
Ngat	D	2608	Oudoegourz	A436877-C	N 	Ph 		200	Wild	F1 V G9 VI	{ 2 }	(77A-1)	[DA5B]	Be	0	-490
Ngat	D	2609	Gadzuergh	X545000-8	T 	Di 		011	Wild	K9 V	{ -3 }	(B00-3)	[0000]	B	0	-33
Ngat	D	2703	Ksoukhek Ghuerizoun	D533000-7	 	Di Po 		002	Wild	G3 IV	{ -3 }	(300-4)	[0000]	B	0	-12
Ngat	D	2709	Ghoungough	X898000-0	 	Ba 		004	Wild	A6 V A1 VI G3 VI	{ -3 }	(700+1)	[0000]	B	0	7
Ngat	D	2804	Razoe Kor Six	X975000-6	 	Di Pi 		003	Wild	F8 V	{ -3 }	(700+2)	[0000]	BD	0	14
Ngat	D	2807	Gnuggas	B0008A6-8	N 	As Va Na Pi Ph 		404	Wild	A8 V A1 VI G1 VI	{ 0 }	(C7A+2)	[5867]	BDe	0	1680
Ngat	D	2902	Uedzaegor	D130000-D	T 	De Di Ho Po 		013	Wild	K2 V	{ -1 }	(900+4)	[0000]	B	0	36
Ngat	D	2906	Logh Thaeg	X7C4000-9	T 	Di Fl 		000	Wild	G7 V	{ -2 }	(B00-5)	[0000]	B	0	-55
Ngat	D	2908	Saen Zokhs	D499000-9	 	Di Ho Lk 		004	Wild	A0 V	{ -2 }	(800+4)	[0000]	B	0	32
Ngat	D	2909	Ghaerk Saerr	C456422-5	N 	Ho Ni Pa 		304	Wild	G3 V	{ -2 }	(530-2)	[3264]	Bc	0	-30
Ngat	D	2910	Llarng Zagna	B21578B-6	 	Ic Pi 		101	Wild	K3 V M1 VI K0 VI M1 VI	{ 0 }	(A67+1)	[5754]	BD	0	420
Ngat	D	3102	Aenaouan Gougaouz	D226000-8	T 	Di 		003	Wild	G8 V	{ -3 }	(600+4)	[0000]	B	0	24
Ngat	D	3105	Goukigh Veng	D326000-8	 	Di Ho 		020	Wild	F6 V G7 VI	{ -3 }	(700+1)	[0000]	B	0	7
Ngat	D	3109	Aeosokakh	C547758-2	N 	Ag Pi Co 		303	Wild	G5 V G5 VI	{ 0 }	(669-1)	[9781]	BCD	0	-324
Ngat	D	3201	Gara	E646000-4	 	Di 		001	Wild	M8 V	{ -3 }	(800-3)	[0000]	B	0	-24
Ngat	D	3204	Zengadz Dzaerr	E786000-7	 	Di Ga Ho Tr Sa 		002	Wild	F8 IV	{ -3 }	(800+2)	[0000]	B	0	16
Ngat	D	3207	Furongasue	D89A000-5	 	Co Di Wa 		014	Wild	G6 V	{ -3 }	(A00+1)	[0000]	B	0	10
Ngat	D	3208	Uekvue Knugvon	E4879BC-7	 	Hi Pr 		232	Wild	F9 V M0 VI K6 VI	{ -1 }	(68B-2)	[7857]	BcE	0	-1056
Ngat	E	0115	Khoeue	D9A57BA-5	 	Fl 		300	Wild	F7 V	{ -2 }	(967-3)	[7557]	B	0	-1134
Ngat	E	0212	Nofue Goekiks	D954000-6	 	Di 		000	Wild	K7 V M0 VI	{ -3 }	(900-2)	[0000]	B	0	-18
Ngat	E	0213	Uerr Sokfuerra	E587000-D	 	Di Lk 		021	Wild	M1 III BD	{ -1 }	(800+3)	[0000]	B	0	24
Ngat	E	0219	Kharrsoeg Kaeg	X76A000-2	 	Di Wa 		001	Wild	F2 V	{ -3 }	(800-4)	[0000]	B	0	-32
Ngat	E	0311	Aefirz	C200558-9	N 	Co Ni Va 		412	Wild	K4 III	{ -1 }	(C44-4)	[4437]	B	0	-768
Ngat	E	0315	Knouuegz Aughz	X874000-7	T 	Di 		004	Wild	G3 II M6 V	{ -3 }	(200-1)	[0000]	B	0	-2
Ngat	E	0320	Knarsaez	D569000-7	 	Di 		024	Wild	M6 II	{ -3 }	(800+1)	[0000]	B	0	8
Ngat	E	0414	Kifugh	X676000-3	T 	Di Sa 		013	Wild	G9 V K7 V K4 VI	{ -3 }	(600+2)	[0000]	B	0	12
Ngat	E	0420	Khae Goeghz	X300000-7	 	Di Na Pi Va 		003	Wild	K2 V	{ -3 }	(700+1)	[0000]	BD	0	7
Ngat	E	0512	Llou Nguengul	X994000-A	 	Di Ho Tr 		014	Wild	F2 V M7 VI G5 VI	{ -1 }	(A00+2)	[0000]	B	0	20
Ngat	E	0518	Zaen Ghiralin	X545000-6	 	Di 		031	Wild	M2 II BD	{ -3 }	(700+1)	[0000]	B	0	7
Ngat	E	0616	Anadzour Saen	X879000-2	 	Di Sa 		002	Wild	F3 V	{ -3 }	(600+3)	[0000]	B	0	18
Ngat	E	0618	Verragh Kaegz	X401000-4	 	Di Ic Va Na Pi Re 		003	Wild	F3 V M6 VI K6 VI	{ -3 }	(600-2)	[0000]	BD	0	-12
Ngat	E	0713	Rraathue	E000000-5	 	As Va Di 		015	Wild	G3 VI M9 VI M2 VI	{ -3 }	(800-2)	[0000]	B	0	-16
Ngat	E	0716	Taenogigz Oetsdingardog	X769578-0	 	Ho Ni Pr 		223	Wild	M7 V	{ -3 }	(841+2)	[72A3]	Bc	0	64
Ngat	E	0720	Rekhougu	X257434-0	 	Ni Pa 		121	Wild	K7 V	{ -3 }	(230+1)	[2164]	Bc	0	6
Ngat	E	0820	Ghaerrallong Vogkukh Saethzour	E679000-6	 	Di 		033	Wild	G3 V	{ -3 }	(700+5)	[0000]	B	0	35
Ngat	F	0917	Oengoeg	D348000-5	 	Di 		013	Wild	G4 III M8 V	{ -3 }	(600-1)	[0000]	B	0	-6
Ngat	F	1014	Sanaeng Sangoulloeghan	D455000-C	T 	Di 		000	Wild	G4 V	{ -1 }	(900-5)	[0000]	B	0	-45
Ngat	F	1018	Thaersor	X768000-5	 	Di Ho Lk 		001	Wild	M5 V	{ -3 }	(600+3)	[0000]	B	0	18
Ngat	F	1111	Taekutsakh	B75A443-9	N 	Lk Ni Wa 		204	Wild	M7 V BD	{ 0 }	(C32-4)	[4489]	B	0	-288
Ngat	F	1116	Goadzae	X300000-C	 	Di Va 		001	Wild	K5 V	{ -1 }	(900+1)	[0000]	B	0	9
Ngat	F	1120	Uena	E769000-4	 	Di 		014	Wild	M9 V BD	{ -3 }	(700+5)	[0000]	B	0	35
Ngat	F	1313	Dhaegae Kuer Four	C310655-7	N 	Na Ni Sa Re 		214	Wild	F2 V	{ -2 }	(651+3)	[346A]	B	0	90
Ngat	F	1315	Sugukuzllaegz	X454000-8	 	Co Di 		003	Wild	G9 III	{ -3 }	(E00-5)	[0000]	B	0	-70
Ngat	F	1319	Faerrtaerrg Ougzae	X9A6000-8	 	Di Fl Ho 		003	Wild	K8 V M9 VI M9 VI	{ -3 }	(900-4)	[0000]	B	0	-36
Ngat	F	1411	Dungagzas Ghors	D77A000-5	 	Di Wa 		000	Wild	K8 V	{ -3 }	(A00-1)	[0000]	B	0	-10
Ngat	F	1420	Dhoen Sueghzeg	X7879A9-0	 	Ga Hi Pr 		213	Wild	F5 V G7 VI	{ -1 }	(888+1)	[8861]	BcE	0	512
Ngat	F	1511	Gvilaeg	X574000-3	T 	Di 		002	Wild	F7 V K7 V	{ -3 }	(400-1)	[0000]	B	0	-4
Ngat	F	1515	Vougghekhi	X232000-9	 	Di Po 		000	Wild	K3 V BD	{ -2 }	(400-4)	[0000]	B	0	-16
Ngat	F	1517	Gouaeth	X100000-B	 	Co Di Va 		012	Wild	K9 V	{ -1 }	(D00+3)	[0000]	B	0	39
Ngat	G	1715	Felaerz	E9A7000-6	 	Di Fl 		001	Wild	G9 II G0 V M9 III	{ -3 }	(700+1)	[0000]	B	0	7
Ngat	G	1719	Rroevug Ugaersduerz	X668576-0	 	Ag Pr Ni Re 		313	Wild	K3 IV M7 V	{ -2 }	(A42+4)	[2371]	BcC	0	320
Ngat	G	1811	Khoerdha	D7B6000-A	 	Di Fl 		000	Wild	A6 III G2 VI A9 V	{ -1 }	(300+1)	[0000]	B	0	3
Ngat	G	1813	Agaes Aegoengoee	E8B1000-2	 	Di Fl He Ho Sa 		000	Wild	A2 IV	{ -3 }	(300-2)	[0000]	B	0	-6
Ngat	G	1814	Ukhoelo	B236653-7	 	Ni 		120	Wild	F3 V F0 VI	{ -1 }	(751+1)	[4578]	B	0	35
Ngat	G	1818	Ksikasue Thaerz	X100000-9	 	Di Va 		004	Wild	A5 V F4 VI	{ -2 }	(800-1)	[0000]	B	0	-8
Ngat	G	1819	Vungagnourr	EA8A000-5	 	Co Di Oc 		003	Wild	K7 VI K8 VI M2 VI	{ -3 }	(700-5)	[0000]	B	0	-35
Ngat	G	1914	Kughaerrg Orrkogh	C657411-6	 	Ga Ho Tr Ni Pa 		304	Wild	G7 V M2 VI	{ -2 }	(934+1)	[4266]	Bc	0	108
Ngat	G	1917	Kaeg	X250000-0	 	Ba De Po 		031	Wild	K0 IV	{ -3 }	(A00+1)	[0000]	B	0	10
Ngat	G	1919	Koul Zaerrg	C7447C7-2	 	Ag Pi Lk 		303	Wild	G4 V M4 VI G0 VI	{ 0 }	(766+1)	[5711]	BCD	0	252
Ngat	G	2012	Kfeth Khukhrrar	X667000-8	 	Di Ga Ho Tr 		022	Wild	A2 Ia K7 V F4 V A5 IV F8 V	{ -3 }	(700-1)	[0000]	B	0	-7
Ngat	G	2013	Ueraegho	D855000-6	T 	Di Ga Ho Tr Re 		003	Wild	F6 III	{ -3 }	(C00-2)	[0000]	B	0	-24
Ngat	G	2014	Ukaurr Thuegi	A66A333-C	 	Ho Lo Wa 		521	Wild	G7 IV K2 V K3 V	{ 1 }	(921-3)	[144E]	B	0	-54
Ngat	G	2016	Gzokhou	X637000-9	 	Di 		000	Wild	F0 IV G0 VI F1 V	{ -2 }	(B00-2)	[0000]	B	0	-22
Ngat	G	2017	Kaes	X98A000-4	 	Co Di Wa 		031	Wild	K1 V M0 VI M4 V	{ -3 }	(900+1)	[0000]	B	0	9
Ngat	G	2018	Aekna Gvigz	X648000-0	 	Ba 		001	Wild	F6 V K7 VI	{ -3 }	(A00-1)	[0000]	B	0	-10
Ngat	G	2019	Irseks Zuekh	E787000-2	 	Di Ga Ho Lk Tr 		031	Wild	F5 VI	{ -3 }	(A00+2)	[0000]	B	0	20
Ngat	G	2115	Khugegaae	E651000-7	 	Di Ho Sa Po 		004	Wild	M9 V	{ -3 }	(500-1)	[0000]	B	0	-5
Ngat	G	2219	Rukhidz	D696000-5	 	Di 		004	Wild	K1 V M0 VI M7 VI	{ -3 }	(900+1)	[0000]	B	0	9
Ngat	G	2313	Dokaeng Vuell	E120000-8	 	De Di Po 		002	Wild	K9 VI	{ -3 }	(400+1)	[0000]	B	0	4
Ngat	G	2314	Irrgaksekakh	B87598B-8	 	Hi In Sa 		303	Wild	M8 VI BD	{ 2 }	(A8B-2)	[7B19]	BE	0	-1760
Ngat	G	2320	Ghukhuenuelaez	X432000-8	 	Di Na Px Po 		002	Wild	M4 V	{ -3 }	(500+1)	[0000]	B	0	5
Ngat	G	2414	Zukho Ngthaekhs	D523000-C	T 	Di Lk Px Po 		014	Wild	F5 V	{ -1 }	(C00+2)	[0000]	B	0	24
Ngat	G	2417	Lingranae	X521000-7	 	Co Di He Na Px Po 		002	Wild	G4 V	{ -3 }	(400+4)	[0000]	B	0	16
Ngat	G	2418	Ekskghago	X8A8000-5	 	Di Fl 		000	Wild	G7 V G4 VI	{ -3 }	(700-4)	[0000]	B	0	-28
Ngat	G	2419	Laeonguekhsur	X200000-B	 	Di Va 		001	Wild	G6 V M3 VI	{ -1 }	(900+1)	[0000]	B	0	9
Ngat	H	2511	Dhurraengikhsong	X9A1000-C	 	Di Fl He 		000	Wild	F0 III	{ -1 }	(200-4)	[0000]	B	0	-8
Ngat	H	2512	Onaengfoeg	D311655-3	 	Co Ic Na Ni 		511	Wild	K2 V	{ -3 }	(352+1)	[4323]	B	0	30
