Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ngat	A	0205	Llaerr Ghekhtsing	D4596AB-3	 	Ni 		122	Ve	K5 V M8 VI M7 VI	{ -3 }	(852+2)	[53A1]	B	0	0
1157	Ngat	A	0205	Llaerr Ghekhtsing	D459576-2	 	Ni 		522	Wild	K5 V M8 VI M7 VI	{ -3 }	(843-3)	[1241]	B	0	-288
1508	Ngat	A	0205	Llaerr Ghekhtsing	D459544-3	 	Ni 		422	Wild	K5 V M8 VI M7 VI	{ -3 }	(840-2)	[6243]	B	0	-64
1201	Ngat	A	0205	Llaerr Ghekhtsing	X459599-2	 	Ni 	B	322	Wild	K5 V M8 VI M7 VI	{ -3 }	(840+1)	[9281]	B	0	32
1900	Ngat	A	0205	Llaerr Ghekhtsing	B459320-8	 	Lo 	B	622	NaVa	K5 V M8 VI M7 VI	{ -1 }	(C20-5)	[5289]	B	0	-120

1105	Ngat	A	0209	Gvokllue Gvaengong	C456434-7	N 	Ni Pa 		114	Ve	K4 V BD M1 V M3 VI	{ -2 }	(932+1)	[129A]	Bc	0	0
1157	Ngat	A	0209	Gvokllue Gvaengong	C456300-6	N 	Lo 		514	Wild	K4 V BD M1 V M3 VI	{ -2 }	(920-3)	[1166]	B	0	-54
1508	Ngat	A	0209	Gvokllue Gvaengong	C456355-7	N 	Lo 		414	Wild	K4 V BD M1 V M3 VI	{ -2 }	(920+3)	[4132]	B	0	54
1201	Ngat	A	0209	Gvokllue Gvaengong	E456135-6	 	Lo 		514	Wild	K4 V BD M1 V M3 VI	{ -3 }	(900-1)	[5174]	B	0	-9
1900	Ngat	A	0209	Gvokllue Gvaengong	C456688-6	 	Ag Ni 		314	NaVa	K4 V BD M1 V M3 VI	{ -1 }	(951-4)	[6564]	BC	0	-180

1105	Ngat	A	0302	Davukfueks	D331751-6	N 	Na Po 		714	Va	M7 V	{ -2 }	(669-2)	[A575]	B	0	0
1157	Ngat	A	0302	Davukfueks	D331786-3	N 	Na Po 		314	Wild	M7 V	{ -2 }	(664+4)	[95A1]	B	0	576
1508	Ngat	A	0302	Davukfueks	D331777-4	N 	Na Po 		214	Wild	M7 V	{ -2 }	(669-4)	[B517]	B	0	-1296
1201	Ngat	A	0302	Davukfueks	X331000-4	 	Di Na Po 		014	Wild	M7 V	{ -3 }	(600+1)	[0000]	B	0	6
1900	Ngat	A	0302	Davukfueks	C331999-9	 	Hi Na Po 		514	NaVa	M7 V	{ 1 }	(B86-1)	[6A46]	BE	0	-528

1105	Ngat	A	0401	Oroerr Gagh	B64A79A-8	 	Ho Pi Wa 		804	Va	K4 VI	{ 0 }	(666-2)	[678B]	BD	0	0
1157	Ngat	A	0401	Oroerr Gagh	B64A744-6	 	Ho Pi Wa 		404	Wild	K4 VI	{ 0 }	(266+2)	[3795]	BD	0	144
