Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Olde	A	0108	Croesus	X430000-9	 	     Da  De Di Po 		004	Wild	M2 V M9 V	-2	(C00-2)	[0000]	B	9	-24
Olde	A	0109	Datarkt	X433000-7	 	     Fo  Di Po (NIL)		004	Wild	M2 V M8 V	-3	(C00+4)	[0000]	B	7	48
Olde	E	0112	Klan	X7978AA-2	 	     Pz  Pa Pi Ph (NIL)		200	Wild	K4 V	-2	(A73+2)	[7616]	BcDe	13	420
Olde	E	0113	Wott	X530000-C	 	      De Di Po 		024	Wild	M1 V	-1	(E00-1)	[0000]	B	13	-14
Olde	E	0114	Dachnis	X312000-F	 	       Di Ic 		010	Wild	K2 V	-1	(D00+1)	[0000]	B	12	13
Olde	E	0117	Xulfor	X55A444-2	 	     Ni Wa 		122	Wild	M2 V	-3	(732+4)	[3111]	B	11	168
Olde	E	0118	Jenms	E561632-6	 	     Ni Ri 		102	Wild	M0 V M7 V	-2	(851+1)	[2458]	BC	11	40
Olde	I	0121	Martham	E552684-6	 	     Ni Po (NIL)		102	Wild	M0 V M7 V	-3	(A50+1)	[1395]	B	11	50
Olde	I	0123	Sibbage	X554644-2	 	     Ag Ni 		202	Wild	M1 V	-2	(850+1)	[9461]	BC	11	40
Olde	I	0125	Burlta	E799000-A	T 	      Di (NIL)		000	Wild	M3 V	-1	(C00+1)	[0000]	B	13	12
Olde	I	0127	Possin	X422000-F	 	      Pz  Di He Po (NIL)		002	Wild	G3 V M8 V	-1	(E00+3)	[0000]	B	10	42
Olde	I	0128	Darainne	X531000-D	 	      Di Po (NIL)		002	Wild	F4 V M0 V	-1	(C00-1)	[0000]	B	11	-12
Olde	M	0131	Arvid	X9C7000-D	 	    O:0334  Di Fl (ENIL)		025	Wild	M3 V M7 V	-1	(H00+4)	[0000]	B	12	68
Olde	M	0132	Keipes	X677899-1	 	     Pz  Pa Pi Ph (NIL)		111	Wild	K3 V	-2	(A71+1)	[B681]	BcDe	13	70
