Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Olde	A	0108	Croesus	C430675-9	S	     Da  De Na Po Ni 	A	804	ImDs	M2 V M9 V	-1	(C53-3)	[4537]	B	9	-540
1201	Olde	A	0108	Croesus	X430000-9	 	     Da  De Di Na Po 		004	ImDs	M2 V M9 V	-2	(C00+4)	[0000]	B	9	48
1364	Olde	A	0108	Croesus	X430000-9	 	     Da  De Di Na Po 		004	Wild	M2 V M9 V	-2	(C00-1)	[0000]	B	9	-12
1508	Olde	A	0108	Croesus	X430000-9	 	     Da  De Di Po 		004	Wild	M2 V M9 V	-2	(C00+1)	[0000]	B	9	12
1900	Olde	A	0108	Croesus	X430000-9	 	     Da  De Di Po 		004	Wild	M2 V M9 V	-2	(C00-2)	[0000]	B	9	-24

1105	Olde	A	0109	Datarkt	C433AD9-7	 	     Fo  Hi Na Po (NIL)	R	404	ImDs	M2 V M8 V	0	(C99+1)	[BA68]	BE	7	972
1201	Olde	A	0109	Datarkt	X433000-7	 	     Fo  Di Na Po (NIL)		004	ImDs	M2 V M8 V	-3	(C00-2)	[0000]	B	7	-24
1364	Olde	A	0109	Datarkt	X433000-7	 	     Fo  Di Na Po (NIL)		004	Wild	M2 V M8 V	-3	(C00+4)	[0000]	B	7	48
1508	Olde	A	0109	Datarkt	X433000-7	 	     Fo  Di Po (NIL)		004	Wild	M2 V M8 V	-3	(C00-2)	[0000]	B	7	-24
1900	Olde	A	0109	Datarkt	X433000-7	 	     Fo  Di Po (NIL)		004	Wild	M2 V M8 V	-3	(C00+4)	[0000]	B	7	48

1105	Olde	E	0112	Klan	A79788D-C	S	     Pz  Pa Pi Ph (NIL)	A	800	ImDs	K4 V	2	(A7C+5)	[CA9G]	BcDe	13	4200
1201	Olde	E	0112	Klan	X797869-0	 	     Pz  Pa Pi Ph (NIL)	B	600	ImDs	K4 V	-2	(A75-1)	[5622]	BcDe	13	-350
1364	Olde	E	0112	Klan	X797897-0	 	     Pz  Pa Pi Ph (NIL)		300	Wild	K4 V	-2	(A78+1)	[D691]	BcDe	13	560
1508	Olde	E	0112	Klan	X797898-1	 	     Pz  Pa Pi Ph (NIL)		200	Wild	K4 V	-2	(A72+1)	[5674]	BcDe	13	140
1900	Olde	E	0112	Klan	X7978AA-2	 	     Pz  Pa Pi Ph (NIL)		200	Wild	K4 V	-2	(A73+2)	[7616]	BcDe	13	420

1105	Olde	E	0113	Wott	B530655-C	NS	      De Na Po Ni 		724	ImDs	M1 V	2	(E56+1)	[483A]	B	13	420
1201	Olde	E	0113	Wott	X530000-C	 	      De Di Na Po 		024	ImDs	M1 V	-1	(E00+1)	[0000]	B	13	14
1364	Olde	E	0113	Wott	X530000-C	 	      De Di Na Po 		024	Wild	M1 V	-1	(E00+1)	[0000]	B	13	14
1508	Olde	E	0113	Wott	X530000-C	 	      De Di Po 		024	Wild	M1 V	-1	(E00+5)	[0000]	B	13	70
1900	Olde	E	0113	Wott	X530000-C	 	      De Di Po 		024	Wild	M1 V	-1	(E00-1)	[0000]	B	13	-14

1105	Olde	E	0114	Dachnis	A312A85-F	S	      Hi Ic Na In 		110	ImDs	K2 V	4	(D9G+2)	[8E3D]	BEf	12	3744
1201	Olde	E	0114	Dachnis	X312000-F	 	      Di Ic Na In 		010	ImDs	K2 V	0	(D00-2)	[0000]	BE	12	-26
1364	Olde	E	0114	Dachnis	X312000-F	 	      Di Ic Na In 		010	Wild	K2 V	0	(D00+1)	[0000]	BE	12	13
1508	Olde	E	0114	Dachnis	X312000-F	 	       Di Ic 		010	Wild	K2 V	-1	(D00-3)	[0000]	B	12	-39
1900	Olde	E	0114	Dachnis	X312000-F	 	       Di Ic 		010	Wild	K2 V	-1	(D00+1)	[0000]	B	12	13

1105	Olde	E	0117	Xulfor	D55A573-6	 	     Ni Wa 		122	ImDs	M2 V	-3	(741-5)	[2223]	B	11	-140
1201	Olde	E	0117	Xulfor	X55A420-4	 	     Ni Wa 	B	622	ImDs	M2 V	-3	(731+3)	[4136]	B	11	63
1364	Olde	E	0117	Xulfor	X55A400-1	 	     Ni Wa 		322	Wild	M2 V	-3	(731+3)	[8141]	B	11	63
1508	Olde	E	0117	Xulfor	X55A477-1	 	     Ni Wa 		222	Wild	M2 V	-3	(730+1)	[6145]	B	11	21
1900	Olde	E	0117	Xulfor	X55A444-2	 	     Ni Wa 		122	Wild	M2 V	-3	(732+4)	[3111]	B	11	168

1105	Olde	E	0118	Jenms	C561659-9	S	     Ni Ri 		102	ImDs	M0 V M7 V	0	(A54+1)	[766A]	BC	11	200
1201	Olde	E	0118	Jenms	E561657-6	 	     Ni Ri 		202	ImDs	M0 V M7 V	-2	(852+3)	[8448]	BC	11	240
1364	Olde	E	0118	Jenms	E56167A-4	 	     Ni Ri 		102	Wild	M0 V M7 V	-2	(853+1)	[A465]	BC	11	120
1508	Olde	E	0118	Jenms	E5616AC-5	 	     Ni Ri 		202	Wild	M0 V M7 V	-2	(850-3)	[7455]	BC	11	-120
1900	Olde	E	0118	Jenms	E561632-6	 	     Ni Ri 		102	Wild	M0 V M7 V	-2	(851+1)	[2458]	BC	11	40

1105	Olde	I	0121	Martham	C552834-8	 	     Ph Po (NIL)		202	ImDs	M0 V M7 V	-1	(C77-3)	[6736]	Be	11	-1764
1201	Olde	I	0121	Martham	E552633-7	 	     Ni Po (NIL)		302	ImDs	M0 V M7 V	-3	(A51+5)	[5345]	B	11	250
1364	Olde	I	0121	Martham	E552674-4	 	     Ni Po (NIL)		102	Wild	M0 V M7 V	-3	(A50-3)	[6382]	B	11	-150
