Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Prov	A	0101	Ngulruedukh	X8A1000-C	 	Di Fl He 		012	VLIn	M1 III M2 V	{ -1 }	(A00+1)	[0000]	B	13	10
Prov	A	0102	Gzaerzserorgh	X69A453-4	 	Ni Wa 		301	VLIn	G9 V D	{ -3 }	(630-2)	[1133]	B	10	-36
Prov	A	0103	Thurraekh	X8A1000-C	 	Di Fl He 		003	VLIn	M3 V	{ -1 }	(C00+2)	[0000]	B	9	24
Prov	A	0107	Kuerrgoeng	E788631-8	 	Ag Ri Ni 	B	314	VVar	F5 V	{ -1 }	(D53+1)	[958A]	BC	13	195
Prov	A	0108	Gaeksuergh	E561621-7	 	Ni Ri 		722	VVar	G4 V M3 V	{ -2 }	(853-3)	[6436]	BC	13	-360
Prov	A	0109	Adzoeknogh	X424000-A	 	Di 		003	VVar	M2 V M5 V	{ -1 }	(700+1)	[0000]	B	11	7
Prov	A	0110	Ang Aeth	X544237-5	 	Lo 		925	VVar	F1 V D	{ -3 }	(510+1)	[1174]	B	12	5
Prov	E	0112	Dhotsaeng	X577345-3	 	Lo 		803	VVar	F9 V	{ -3 }	(420+1)	[3143]	B	12	8
Prov	E	0115	Koudhgzaen	X563968-4	 	Hi Pr 	B	112	VVar	A5 V	{ -1 }	(B88+2)	[B847]	BcE	12	1408
Prov	E	0119	Nogh	X56666C-1	 	Ag Ri Ni 	B	805	NaVa	K3 V K6 V	{ -1 }	(853-2)	[7511]	BC	11	-240
Prov	E	0120	Zadz	E88A59D-6	 	Ni Pr Wa 	B	505	NaVa	G2 V D	{ -3 }	(740+2)	[5242]	Bc	8	56
Prov	I	0127	Thagaers	D55386E-6	 	Ph Po 	B	923	VDzF	M2 V	{ -2 }	(A77+1)	[9694]	Be	13	490
Prov	I	0130	Ghourknodz	X79A441-0	 	Ni Wa 	B	401	VDzF	G7 V	{ -3 }	(632-3)	[3171]	B	9	-108
Prov	M	0131	Dzaegkaek	X422000-8	 	Di He Po 		021	VDzF	G0 V M6 V	{ -3 }	(600-3)	[0000]	B	11	-18
Prov	M	0132	Uevoto	D5837AE-8	 	Ri 		301	VDzF	K4 V M4 V	{ -1 }	(A66-4)	[66A9]	BC	12	-1440
Prov	M	0137	Anthonkfoers	X300000-9	 	Di Va 		023	VDzF	M1 V	{ -2 }	(B00+1)	[0000]	B	11	11
