Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Prov	A	0101	Ngulruedukh	B8A1552-C	 	      Fl He Ni 		112	VLIn	M1 III M2 V	1	(A45-3)	[1618]	B	13	-600
1201	Prov	A	0101	Ngulruedukh	X8A1000-C	 	      Di Fl He 		012	VLIn	M1 III M2 V	-1	(A00+1)	[0000]	B	13	10
1199	Prov	A	0101	Ngulruedukh	X8A1000-C	 	      Di Fl He 		012	Wild	M1 III M2 V	-1	(A00+1)	[0000]	B	13	10
1508	Prov	A	0101	Ngulruedukh	X8A1000-C	 	      Di Fl He 		012	Wild	M1 III M2 V	-1	(A00+5)	[0000]	B	13	50
1900	Prov	A	0101	Ngulruedukh	X8A1000-C	 	      Di Fl He 		012	Wild	M1 III M2 V	-1	(A00+1)	[0000]	B	13	10

1105	Prov	A	0102	Gzaerzserorgh	A69A444-D	 	     Ni Wa 		701	VLIn	G9 V D	1	(734-1)	[253B]	B	10	-84
1201	Prov	A	0102	Gzaerzserorgh	X69A443-3	 	     Ni Wa 	B	301	VLIn	G9 V D	-3	(630+1)	[1163]	B	10	18
1199	Prov	A	0102	Gzaerzserorgh	X69A000-3	 	     Di Wa 		001	Wild	G9 V D	-3	(600+3)	[0000]	B	10	18
1508	Prov	A	0102	Gzaerzserorgh	X69A000-3	 	     Di Wa 		001	Wild	G9 V D	-3	(600-4)	[0000]	B	10	-24
1900	Prov	A	0102	Gzaerzserorgh	X69A000-3	 	     Di Wa 		001	Wild	G9 V D	-3	(600+1)	[0000]	B	10	6

1105	Prov	A	0103	Thurraekh	B8A1752-C	 	      Fl He (ENIL)		303	VLIn	M3 V	2	(C6C-2)	[3918]	B	9	-1728
1201	Prov	A	0103	Thurraekh	X8A1000-C	 	     Di Fl He (ENIL)		003	VLIn	M3 V	-1	(C00+4)	[0000]	B	9	48
1199	Prov	A	0103	Thurraekh	X8A1000-C	 	     Di Fl He (ENIL)		003	Wild	M3 V	-1	(C00+1)	[0000]	B	9	12
1508	Prov	A	0103	Thurraekh	X8A1000-C	 	     Di Fl He (ENIL)		003	Wild	M3 V	-1	(C00+2)	[0000]	B	9	24
1900	Prov	A	0103	Thurraekh	X8A1000-C	 	     Di Fl He (ENIL)		003	Wild	M3 V	-1	(C00-4)	[0000]	B	9	-48

1105	Prov	A	0107	Kuerrgoeng	C788642-8	 	      Ag Ri Ni 		214	VVar	F5 V	0	(D54-4)	[2614]	BC	13	-1040
1201	Prov	A	0107	Kuerrgoeng	E788678-6	 	      Ag Ri Ni 	B	314	VVar	F5 V	-1	(851+1)	[9537]	BC	13	40
1199	Prov	A	0107	Kuerrgoeng	E788421-5	 	      Ni Pa 		114	Wild	F5 V	-3	(831-2)	[6114]	Bc	13	-48
