Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Reav	A	0102	Uta	X543000-0	 	   Ba Po 		002	Wild	F7 V M3 V	-3	(200+2)	[0000]	B	8	4
Reav	A	0110	Andalusia	X678000-1	 	    Di (NIL)		005	Wild	K7 V M2 V	-3	(B00+3)	[0000]	B	16	33
Reav	E	0112	Eustauf	X545000-6	 	    Di 		000	Wild	M1 V M2 V	-3	(700-4)	[0000]	B	11	-28
Reav	E	0115	Houndd	X665772-2	 	   Ag Ri Ga (NIL)		703	Wild	F5 V	0	(A68+1)	[9751]	BC	11	480
Reav	E	0117	Tahoawiywyaw	X554553-2	 	   Ag Ni 		115	Wild	M2 V M9 V	-2	(744-1)	[7373]	BC	15	-112
Reav	E	0120	Failraoiya	E582774-3	 	    Ri (NIL)		823	Wild	K4 V M3 V	-1	(A64-4)	[6621]	BC	11	-960
Reav	I	0124	Esekheali	X400000-9	 	   Di Va 		004	Wild	F4 IV	-2	(B00+1)	[0000]	B	12	11
Reav	I	0125	Ekhiwua'ea	X898000-4	 	    Di (NIL)		004	Wild	K7 V M6 V	-3	(A00-1)	[0000]	B	13	-10
Reav	I	0127	Khtaao	X593000-3	 	    Di 		014	Wild	K7 V	-3	(400-2)	[0000]	B	12	-8
Reav	I	0129	Khteaouw	X531000-8	 	   Di Po 		001	Wild	F8 V	-3	(700+1)	[0000]	B	9	7
Reav	M	0131	Tee'airlakho	X998000-5	 	    Di 		004	Wild	K4 V M5 V	-3	(800+2)	[0000]	B	12	16
Reav	M	0135	Ahyolyo	X200000-C	 	   Di Va 		004	Wild	F8 V M6 V	-1	(C00+2)	[0000]	B	11	24
Reav	A	0209	Luiwaiwuah	E677000-5	 	    Di 		024	Wild	G2 V M1 V	-3	(800+1)	[0000]	B	18	8
Reav	E	0212	Loki	X575000-3	 	    Di (NIL)		024	Wild	K9 V	-3	(B00-2)	[0000]	B	15	-22
Reav	E	0215	Eeaaira	D644000-3	 	    Di 		003	Wild	F7 V M4 V	-3	(600-2)	[0000]	B	9	-12
Reav	E	0217	Iwioiar	C799775-4	 	   Mr Pi (NIL)		324	Wild	M2 V	-1	(967-3)	[7621]	BD	17	-1134
Reav	E	0220	Oakhahyolerl	E797000-7	 	    Di 		004	Wild	F4 V M9 V	-3	(700-1)	[0000]	B	13	-7
Reav	I	0221	Islaiat	X868AAA-3	 	   Cx Hi (NIL)		514	Wild	G2 V M8 V	-1	(C93+1)	[9972]	BE	13	324
Reav	I	0227	Oloih	X000000-D	 	   As Va Di 		004	Wild	K8 V	-1	(D00-2)	[0000]	B	10	-26
Reav	I	0230	Oihoiei	X8558CC-2	 	  Ga Pa Ph (NIL)		214	Wild	F9 V M1 V	-2	(A75+1)	[D683]	Bce	17	350
Reav	M	0232	Hesiyha	DA9A000-5	 	   Di Oc 		023	Wild	M0 V M3 V	-3	(700-3)	[0000]	B	16	-21
Reav	M	0234	Rau	D699000-A	 	    Di (NIL)		013	Wild	M4 V M4 V	-1	(D00-4)	[0000]	B	9	-52
Reav	M	0235	O'eatoaea	X989A8A-4	 	    Hi (NIL)		514	Wild	K3 V	-1	(C92-1)	[8955]	BE	16	-216
Reav	M	0237	Roaa	XA67000-2	 	    Di (NIL)		023	Wild	G4 V	-3	(C00+1)	[0000]	B	15	12
Reav	M	0240	Khtaoreh	X100000-7	 	   Di Va 		005	Wild	F3 V	-3	(600+1)	[0000]	B	12	6
Reav	A	0304	Bergland	X552000-0	 	   Ba Po 		012	Wild	G5 V	-3	(200+4)	[0000]	B	9	8
Reav	A	0307	Kimberly	X000000-0	 	   As Va Ba 		003	Wild	G9 V M8 V	-3	(200+1)	[0000]	B	12	2
Reav	A	0310	Hoa	X66487C-1	 	   Pa Ri Ph (NIL)		111	Wild	M2 V	-1	(A76+2)	[6791]	BcCe	9	840
Reav	E	0317	Khtehkaaoas	D565000-7	 	   Di Mr 		003	Wild	M3 V	-3	(500-3)	[0000]	B	11	-15
Reav	E	0318	Wihea	X877000-7	 	    Di (NIL)		004	Wild	K7 V	-3	(B00+1)	[0000]	B	11	11
Reav	E	0320	Maijarra	XA58000-4	 	    Di (NIL)		004	Wild	F5 V	-3	(C00-4)	[0000]	B	12	-48
Reav	I	0324	Oirue'ea	D564878-6	 	   Pa Ri Ph (NIL)		103	Wild	K8 V	-1	(A75+1)	[7798]	BcCe	8	350
Reav	I	0328	Kteieaelal	X989734-3	 	    Ri (NIL)		114	Wild	K4 V	-1	(969-3)	[7683]	BC	11	-1458
Reav	M	0332	Khyaleiftaoher	X887755-4	 	   Ag Ri Ga (NIL)		413	Wild	M0 V M8 V	0	(967-1)	[2794]	BC	10	-378
