Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Reav	A	0102	Uta	E543000-0	 	     Ba Po 		002	NaXX	F7 V M3 V	-3	(200-5)	[0000]	B	8	-10
1201	Reav	A	0102	Uta	X543000-0	 	     Ba Po 		002	NaXX	F7 V M3 V	-3	(200+2)	[0000]	B	8	4
1364	Reav	A	0102	Uta	X543000-0	 	     Ba Po 		002	Wild	F7 V M3 V	-3	(200+1)	[0000]	B	8	2
1508	Reav	A	0102	Uta	X543000-0	 	     Ba Po 		002	Wild	F7 V M3 V	-3	(200+1)	[0000]	B	8	2
1900	Reav	A	0102	Uta	X543000-0	 	     Ba Po 		002	Wild	F7 V M3 V	-3	(200+2)	[0000]	B	8	4

1105	Reav	A	0110	Andalusia	E678985-5	 	     Hi In (NIL)		905	NaHu	K7 V M2 V	0	(B88-2)	[7933]	BE	16	-1408
1201	Reav	A	0110	Andalusia	X678210-4	 	      Lo (NIL)		505	NaHu	K7 V M2 V	-3	(B10+2)	[3134]	B	16	22
1364	Reav	A	0110	Andalusia	X678000-4	 	      Di (NIL)		005	Wild	K7 V M2 V	-3	(B00-5)	[0000]	B	16	-55
1508	Reav	A	0110	Andalusia	X678000-4	 	      Di (NIL)		005	Wild	K7 V M2 V	-3	(B00-1)	[0000]	B	16	-11
1900	Reav	A	0110	Andalusia	X678000-4	 	      Di (NIL)		005	Wild	K7 V M2 V	-3	(B00+1)	[0000]	B	16	11

1105	Reav	E	0112	Eustauf	E545542-7	 	     Ag Ni 		900	NaHu	M1 V M2 V	-2	(742-5)	[1313]	BC	11	-280
1201	Reav	E	0112	Eustauf	X545576-6	 	     Ag Ni 		500	NaHu	M1 V M2 V	-2	(742-2)	[1353]	BC	11	-112
1364	Reav	E	0112	Eustauf	X545000-6	 	      Di 		000	Wild	M1 V M2 V	-3	(700+2)	[0000]	B	11	14
1508	Reav	E	0112	Eustauf	X545000-6	 	      Di 		000	Wild	M1 V M2 V	-3	(700+5)	[0000]	B	11	35
1900	Reav	E	0112	Eustauf	X545000-6	 	      Di 		000	Wild	M1 V M2 V	-3	(700-2)	[0000]	B	11	-14

1105	Reav	E	0115	Houndd	A66588B-C	 	     la3  Ga Pa Ri Ph (NIL)		203	NaHu	F5 V	4	(D7E+5)	[AC7E]	BcCef	11	6370
1201	Reav	E	0115	Houndd	X665854-6	 	     la3  Ga Pa Ri Ph (NIL)	B	203	NaHu	F5 V	-1	(A76-4)	[A799]	BcCe	11	-1680
1364	Reav	E	0115	Houndd	X665886-0	 	     la3  Ga Pa Ri Ph (NIL)		103	Wild	F5 V	-1	(A75-3)	[A791]	BcCe	11	-1050
1508	Reav	E	0115	Houndd	X665798-1	 	      la3  Ag Ri Ga (NIL)		903	Wild	F5 V	0	(A66+1)	[8761]	BC	11	360
1900	Reav	E	0115	Houndd	X665888-2	 	     la3  Ga Pa Ri Ph (NIL)		103	Wild	F5 V	-1	(A76-4)	[9795]	BcCe	11	-1680

1105	Reav	E	0117	Tahoawiywyaw	A554544-B	 	     Ag Ni 		515	IsDo	M2 V M9 V	2	(D46+1)	[3739]	BC	15	312
1201	Reav	E	0117	Tahoawiywyaw	X554578-3	 	     Ag Ni 	B	315	IsDo	M2 V M9 V	-2	(742+1)	[5353]	BC	15	56
1364	Reav	E	0117	Tahoawiywyaw	X554536-0	 	     Ag Ni 		115	Wild	M2 V M9 V	-2	(740+1)	[9384]	BC	15	28
1508	Reav	E	0117	Tahoawiywyaw	X554443-0	 	     Ni Pa 		915	Wild	M2 V M9 V	-3	(730-4)	[3122]	Bc	15	-84
1900	Reav	E	0117	Tahoawiywyaw	X554542-1	 	     Ag Ni 		115	Wild	M2 V M9 V	-2	(741-2)	[6373]	BC	15	-56

1105	Reav	E	0120	Failraoiya	C5828C9-5	 	    Pz  Ph Ri (NIL)	A	223	IsDo	K4 V M3 V	0	(A77+1)	[9866]	BCe	11	490
