Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Reft	A	0102	Cauldron	D988222-4	 	     Lo 		403	ImDd	M0 V	{ -3 }	(410-5)	[1111]	B	7	-20
1201	Reft	A	0102	Cauldron	D988222-4	 	     Lo 		403	ImDd	M0 V	{ -3 }	(410-5)	[1111]	B	7	-20
1281	Reft	A	0102	Cauldron	D988000-4	 	     Di 		003	Wild	M0 V	{ -3 }	(400+2)	[0000]	B	7	8
1508	Reft	A	0102	Cauldron	D988000-4	 	     Di 		003	Wild	M0 V	{ -3 }	(400-1)	[0000]	B	7	-4
1900	Reft	A	0102	Cauldron	D988000-4	 	     Di 		003	Wild	M0 V	{ -3 }	(400+1)	[0000]	B	7	4

1105	Reft	A	0105	Iselen	A543678-9	 	     Ni Po 		403	ImDd	G0 V	{ 0 }	(B54+1)	[6659]	B	7	220
1201	Reft	A	0105	Iselen	A543678-9	 	     Ni Po 		403	ImDd	G0 V	{ 0 }	(B54+1)	[6659]	B	7	220
1281	Reft	A	0105	Iselen	E543000-9	 	     Di Po 		003	Wild	G0 V	{ -2 }	(B00+1)	[0000]	B	7	11
1508	Reft	A	0105	Iselen	E543000-9	 	     Di Po 		003	Wild	G0 V	{ -2 }	(B00+1)	[0000]	B	7	11
1900	Reft	A	0105	Iselen	E543000-9	 	     Di Po 		003	Wild	G0 V	{ -2 }	(B00-4)	[0000]	B	7	-44

1105	Reft	A	0106	Reudden	B5536BG-7	 	      Ni Po 	A	400	ImDd	G4 V	{ -1 }	(853+4)	[B5AC]	B	9	480
1201	Reft	A	0106	Reudden	B5536BG-7	 	      Ni Po 	A	400	ImDd	G4 V	{ -1 }	(853+4)	[B5AC]	B	9	480
1281	Reft	A	0106	Reudden	B553573-6	 	      Ni Po 		200	Wild	G4 V	{ -1 }	(842-2)	[6457]	B	9	-128
1508	Reft	A	0106	Reudden	B553533-7	 	      Ni Po 		100	Wild	G4 V	{ -1 }	(842-2)	[749B]	B	9	-128
1900	Reft	A	0106	Reudden	B553475-8	 	      Ni Po 		900	Wild	G4 V	{ -1 }	(832-1)	[433B]	B	9	-48

1105	Reft	A	0108	Kukaa	C544100-A	 	     Lo 		503	ImDd	G1 V	{ 0 }	(600-4)	[1115]	B	7	-24
1201	Reft	A	0108	Kukaa	C544100-A	 	     Lo 		503	ImDd	G1 V	{ 0 }	(600-4)	[1115]	B	7	-24
1281	Reft	A	0108	Kukaa	E544000-A	 	     Di 		003	Wild	G1 V	{ -1 }	(600-2)	[0000]	B	7	-12
