Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Solo	A	0105	Faiwyd	X500000-7	 	   Di Va 		012	Wild	M0 V M2 V	-3	(700+1)	[0000]	B	9	7
Solo	A	0106	Darrukesh	C585998-7	 	   Hi Pr (NIL)		423	Wild	M0 V M4 V M0 V	0	(B85+1)	[6965]	BcE	11	440
Solo	A	0110	Iddamakur	X779000-5	 	    Di (NIL)		003	Wild	M0 V M1 V	-3	(B00-1)	[0000]	B	11	-11
Solo	E	0111	Grendel	X96A000-E	 	  An Di Wa (NIL)		002	Wild	F4 V M2 V	-1	(D00+1)	[0000]	B	10	13
Solo	E	0116	Purdishi	X611000-8	 	   Di Ic 		034	Wild	M1 V	-3	(A00+1)	[0000]	B	10	10
Solo	I	0121	Oz	X553858-1	 	  Ph Po Sa (NIL)		413	Wild	M3 V M4 V	-2	(A74+1)	[A661]	Be	8	280
Solo	I	0123	Jarslav	X887957-3	 	  Ga Hi Pr (NIL)		323	Wild	F8 V	-1	(B86+1)	[D897]	BcE	12	528
Solo	I	0125	Kishakhpap	X410000-0	 	    Ba 		004	Wild	F9 V	-3	(200-3)	[0000]	B	8	-6
Solo	I	0126	Beal	X557653-1	 	   Ag Ni (NIL)		522	Wild	M1 V M8 V	-2	(954+1)	[7483]	BC	7	180
Solo	M	0136	Swinburne	X722000-9	 	  Di He Na Po 		000	Wild	M0 V M2 V	-2	(800+1)	[0000]	B	11	8
Solo	M	0138	Erech	X844000-6	 	    Di 		010	Wild	M1 V	-3	(700-3)	[0000]	B	8	-21
Solo	A	0207	Basil	B843778-8	 	    Pi Po (NIL)		134	Wild	K5 V	0	(G6B+4)	[2748]	BD	10	4224
Solo	E	0214	Shululsish	X584435-0	 	  Cp Ni Pa (NIL)		204	Wild	F8 V	-3	(C32+3)	[6171]	BcF	13	216
Solo	E	0215	Desdemona	X769989-2	 	   Hi Pr (NIL)		103	Wild	G8 V M8 V	-1	(B82+2)	[B841]	BcE	16	352
Solo	E	0217	Sarmaty	X889873-1	 	   Ph Ri (NIL)		203	Wild	M1 V	-1	(A77+2)	[9761]	BCe	6	980
Solo	I	0224	Shaalgar	X666758-0	 	  Ag Ri Ga Mr (NIL)		100	Wild	M2 V M7 V	0	(967+1)	[7731]	BC	10	378
Solo	I	0226	Limerick	D579642-5	 	    Ni 		504	Wild	K2 V	-3	(850-4)	[4341]	B	9	-160
Solo	I	0230	Alizarin	X566997-0	 	   Hi Pr (NIL)		300	Wild	M1 V M8 V	-1	(B85+5)	[7861]	BcE	6	2200
Solo	M	0231	Luzon	X420000-7	 	  De He Di Po 		035	Wild	G9 V	-3	(600-3)	[0000]	B	19	-18
