Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Solo	A	0105	Faiwyd	E500589-7	 	    Da  Ni Va 	A	712	ImDs	M0 V M2 V	-3	(741-2)	[6268]	B	9	-56
1201	Solo	A	0105	Faiwyd	X500000-7	 	    Da  Di Va 		012	ImDs	M0 V M2 V	-3	(700-3)	[0000]	B	9	-21
1406	Solo	A	0105	Faiwyd	X500000-7	 	    Da  Di Va 		012	Wild	M0 V M2 V	-3	(700-2)	[0000]	B	9	-14
1508	Solo	A	0105	Faiwyd	X500000-7	 	    Da  Di Va 		012	Wild	M0 V M2 V	-3	(700-4)	[0000]	B	9	-28
1900	Solo	A	0105	Faiwyd	X500000-7	 	    Da  Di Va 		012	Wild	M0 V M2 V	-3	(700-2)	[0000]	B	9	-14

1105	Solo	A	0106	Darrukesh	A5859CF-D	N 	    Pz  Hi Pr (NIL)	A	823	ImDs	M0 V M4 V M0 V	3	(G8C+5)	[ECAJ]	BcE	11	7680
1201	Solo	A	0106	Darrukesh	X58596A-5	 	    Pz  Hi Pr (NIL)	B	723	ImDs	M0 V M4 V M0 V	-1	(B83+3)	[B866]	BcE	11	792
1406	Solo	A	0106	Darrukesh	X585977-1	 	    Pz  Hi Pr (NIL)		323	Wild	M0 V M4 V M0 V	-1	(B86+4)	[9891]	BcE	11	2112
1508	Solo	A	0106	Darrukesh	X58599A-2	 	    Pz  Hi Pr (NIL)		223	Wild	M0 V M4 V M0 V	-1	(B88-2)	[8861]	BcE	11	-1408
1900	Solo	A	0106	Darrukesh	X5859B9-3	 	    Pz  Hi Pr (NIL)		223	Wild	M0 V M4 V M0 V	-1	(B83-1)	[8813]	BcE	11	-264

1105	Solo	A	0110	Iddamakur	A7799AB-A	 	    Pz la0  Hi In (NIL)	A	303	ImDs	M0 V M1 V	4	(E8B+5)	[BD7C]	BEf	11	6160
1201	Solo	A	0110	Iddamakur	C779521-7	 	     Pz la0  Ni (NIL)		203	ImDs	M0 V M1 V	-2	(B40+4)	[6388]	B	11	176
1406	Solo	A	0110	Iddamakur	X779000-7	 	     Pz la0  Di (NIL)		003	Wild	M0 V M1 V	-3	(B00+1)	[0000]	B	11	11
1508	Solo	A	0110	Iddamakur	X779000-7	 	     Pz la0  Di (NIL)		003	Wild	M0 V M1 V	-3	(B00+3)	[0000]	B	11	33
1900	Solo	A	0110	Iddamakur	X779000-7	 	     Pz la0  Di (NIL)		003	Wild	M0 V M1 V	-3	(B00+1)	[0000]	B	11	11

1105	Solo	E	0111	Grendel	A96A98B-E	 	   An   Hi Pr Wa (NIL)		802	ImDs	F4 V M2 V	3	(D8C+4)	[BC7G]	BcE	10	4992
1201	Solo	E	0111	Grendel	X96A431-0	 	    An   Ni Wa (NIL)	B	302	ImDs	F4 V M2 V	-3	(B30+4)	[3191]	B	10	132
1406	Solo	E	0111	Grendel	X96A405-2	 	    An   Ni Wa (NIL)		102	Wild	F4 V M2 V	-3	(B30-4)	[4151]	B	10	-132
1508	Solo	E	0111	Grendel	X96A457-3	 	    An   Ni Wa (NIL)		202	Wild	F4 V M2 V	-3	(B32+1)	[6163]	B	10	66
1900	Solo	E	0111	Grendel	X96A484-3	 	    An   Ni Wa (NIL)		102	Wild	F4 V M2 V	-3	(B32-1)	[7148]	B	10	-66

1105	Solo	E	0116	Purdishi	D611168-8	 	    O:0215  Ic Lo 		834	ImDs	M1 V	-3	(A00-3)	[1158]	B	10	-30
1201	Solo	E	0116	Purdishi	X611000-8	 	    O:0215  Di Ic 		034	ImDs	M1 V	-3	(A00-1)	[0000]	B	10	-10
1406	Solo	E	0116	Purdishi	X611000-8	 	    O:0215  Di Ic 		034	Wild	M1 V	-3	(A00+3)	[0000]	B	10	30
1508	Solo	E	0116	Purdishi	X611000-8	 	    O:0215  Di Ic 		034	Wild	M1 V	-3	(A00+1)	[0000]	B	10	10
1900	Solo	E	0116	Purdishi	X611000-8	 	    O:0215  Di Ic 		034	Wild	M1 V	-3	(A00+2)	[0000]	B	10	20

1105	Solo	I	0121	Oz	A553887-C	 	    Sa  Ph Po (NIL)		913	ImDs	M3 V M4 V	2	(E79+1)	[8A5C]	Be	8	882
1201	Solo	I	0121	Oz	X553897-2	 	    Sa  Ph Po (NIL)	B	813	ImDs	M3 V M4 V	-2	(A75-3)	[D621]	Be	8	-1050
1406	Solo	I	0121	Oz	X5538A7-0	 	    Sa  Ph Po (NIL)		413	Wild	M3 V M4 V	-2	(A78+5)	[B681]	Be	8	2800
