Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeykiede	C430641-9	 	                    De Na Po Ni 		313	Wild	K9 V	{ -1 }	(C51-5)	[1566]	B	8	-300
Spin	A	0102	Rzhdioch	C42078A-A	 	                           De He Na Pi Po 		503	Wild	G8 V M1 V	{ 1 }	(C6A+1)	[8839]	BD	12	720
Spin	A	0103	Ezhfrepl	B563646-B	 	                  Ni Ri 		210	Wild	M1 V M4 V	{ 2 }	(956-2)	[A87F]	BC	9	-540
Spin	A	0104	Chantrel	E566000-9	 	                 Di 		020	Wild	F1 V	{ -2 }	(600+3)	[0000]	B	12	18
Spin	A	0108	Gyomar	C8B289A-8	 	         (Tethmari)            Fl He Ph 		524	Wild	A8 V	{ -1 }	(G77-3)	[8738]	Be	14	-2352
Spin	E	0111	Atson	B310479-8	 	                 Ni 		433	Wild	K8 V	{ -1 }	(D33+4)	[131A]	B	10	468
Spin	E	0114	Yiktor	D6B6000-A	 	                 Di Fl 		023	Wild	G4 V M4 V	{ -1 }	(B00+2)	[0000]	B	12	22
Spin	E	0115	Xhosa	EA95000-5	 	                 Di 		010	Wild	M0 V	{ -3 }	(300-4)	[0000]	B	8	-12
Spin	I	0122	Junction	D550400-5	 	                 De Ni Po 		210	Wild	M2 V M3 V	{ -3 }	(633-2)	[5196]	B	10	-108
Spin	I	0129	Uniqua	E625000-7	 	                  Di 		010	Wild	K9 V M9 V	{ -3 }	(700+1)	[0000]	B	8	7
Spin	I	0130	Garoo	A200744-A	 	           (roo)            Na Pi Va 		810	Wild	M1 V M5 V	{ 2 }	(B6A-1)	[695E]	BD	9	-660
Spin	M	0133	Emape	B564476-A	 	                   Ni Pa 		403	Wild	M0 V	{ 1 }	(A33+1)	[4559]	Bc	6	90
Spin	M	0139	Raweh	X430000-B	 	                  De Di Po 		020	Wild	G3 V M1 V	{ -1 }	(700-4)	[0000]	B	5	-28
Spin	M	0140	876-574	E687000-3	 	                 Di Ga 		002	Wild	K7 V	{ -3 }	(400-2)	[0000]	B	11	-8
Spin	A	0202	Purfyr	D868000-5	 	                   Di 		001	Wild	G5 V M3 V	{ -3 }	(700+1)	[0000]	B	12	7
Spin	E	0212	Prinx	C436622-6	 	                 Ni 		220	Wild	A9 V K8 V	{ -2 }	(850-1)	[9496]	B	9	-40
Spin	E	0215	Rushu	E766642-4	 	        VargW              Ag Ri Ga Ni 		603	Wild	G0 V M3 V	{ -1 }	(852+2)	[5572]	BC	8	160
Spin	E	0218	Bael	E200000-8	 	                 Di Va 		012	Wild	K2 V	{ -3 }	(600+1)	[0000]	B	9	6
Spin	I	0223	Stern-Stern	X421000-B	 	      DaryW            Di He Po 		001	Wild	M0 V M3 V	{ -1 }	(800-1)	[0000]	B	9	-8
Spin	I	0230	886-945	E833000-0	 	                 Ba Po 		004	Wild	F8 V	{ -3 }	(200-1)	[0000]	B	16	-2
Spin	M	0231	Saxe	EAA5000-8	 	                 Di Fl 		010	Wild	A2 V	{ -3 }	(800-1)	[0000]	B	9	-8
Spin	M	0236	Andor	C695756-A	 	          An   DroyW          Ag Pi 		203	Wild	F3 V	{ 2 }	(C6A+1)	[6957]	BCD	6	720
