Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Spin	A	0101	Zeycude	C430651-8	 	      De Na Po Ni 		313	Wild	K9 V	{ -2 }	(C53+4)	[448D]	B	8	720
Spin	A	0102	Reno	C420754-9	 	         De He Na Pi Po 		303	Wild	G8 V M1 V	{ 0 }	(C65-5)	[6768]	BD	12	-1800
Spin	A	0103	Errere	B563647-9	 	      Ni Ri 		410	Wild	M1 V M4 V	{ 1 }	(956-4)	[B768]	BC	9	-1080
Spin	A	0104	Cantrel	E566000-9	 	     Di 		020	Wild	F1 V	{ -2 }	(600+1)	[0000]	B	12	6
Spin	A	0108	Gyomar	C8B28BF-6	 	     (Tethmari)  Fl He Ph 		424	Wild	A8 V	{ -1 }	(A76-1)	[7745]	Be	14	-420
Spin	E	0111	Atson	B310400-7	 	     Ni 		433	Wild	K8 V	{ -1 }	(732+1)	[1363]	B	10	42
Spin	E	0114	Yiktor	D6B6000-A	 	     Di Fl 		023	Wild	G4 V M4 V	{ -1 }	(B00-4)	[0000]	B	12	-44
Spin	E	0115	Xhosa	EA95000-5	 	     Di 		010	Wild	M0 V	{ -3 }	(300+3)	[0000]	B	8	9
Spin	I	0122	Junction	D550446-2	 	     De Ni Po 		110	Wild	M2 V M3 V	{ -3 }	(630-1)	[5125]	B	10	-18
Spin	I	0129	Uniqua	E625000-7	 	      Di 		010	Wild	K9 V M9 V	{ -3 }	(700-4)	[0000]	B	8	-28
Spin	I	0130	Garoo	A200886-8	 	      (roo)  Na Pi Ph Va 		110	Wild	M1 V M5 V	{ 0 }	(B75-2)	[3869]	BDe	9	-770
Spin	M	0133	Emape	B564400-9	N 	       Ni Pa 		203	Wild	M0 V	{ 0 }	(A33-2)	[144B]	Bc	6	-180
Spin	M	0139	Raweh	X430000-B	T 	      De Di Po 		020	Wild	G3 V M1 V	{ -1 }	(700+5)	[0000]	B	5	35
Spin	M	0140	876-574	E687000-3	 	     Di Ga 		002	Wild	K7 V	{ -3 }	(400+2)	[0000]	B	11	8
