Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Spin	A	0101	Zeycude	C430698-9	 	      De Na Po Ni 		613	ZhIN	K9 V	-1	(C53-1)	[6559]	B	8	-180
1240	Spin	A	0101	Zeycude	C430455-9	 	      De Ni Po 		313	Wild	K9 V	-1	(C33-4)	[733B]	B	8	-432
1508	Spin	A	0101	Zeycude	C430410-9	 	      De Ni Po 		413	Wild	K9 V	-1	(C30+1)	[4369]	B	8	36
1900	Spin	A	0101	Zeycude	C430433-A	 	      De Ni Po 		513	Wild	K9 V	0	(C33-1)	[1458]	B	8	-108

1105	Spin	A	0102	Reno	C4207B9-A	 	       Pz  De He Na Pi Po (NIL)	A	603	ZhIN	G8 V M1 V	1	(C6A+2)	[886B]	BD	12	1440
1240	Spin	A	0102	Reno	C420775-8	 	       Pz  De He Na Pi Po (NIL)		303	Wild	G8 V M1 V	-1	(C68-3)	[7657]	BD	12	-1728
1508	Spin	A	0102	Reno	C420796-9	 	       Pz  De He Na Pi Po (NIL)		403	Wild	G8 V M1 V	0	(C6B-3)	[774A]	BD	12	-2376
1900	Spin	A	0102	Reno	C42075A-B	 	       Pz  De He Na Pi Po (NIL)		303	Wild	G8 V M1 V	1	(C67+3)	[788D]	BD	12	1512

1105	Spin	A	0103	Errere	B563664-B	 	    O:0304  Ni Ri 		910	ZhIN	M1 V M4 V	3	(957+1)	[4939]	BC	9	315
1240	Spin	A	0103	Errere	B563674-9	 	    O:0304  Ni Ri 		410	Wild	M1 V M4 V	1	(956-2)	[6728]	BC	9	-540
1508	Spin	A	0103	Errere	B563676-A	 	    O:0304  Ni Ri 		310	Wild	M1 V M4 V	2	(958-3)	[983A]	BC	9	-1080
1900	Spin	A	0103	Errere	B563653-C	 	    O:0304  Ni Ri 		410	Wild	M1 V M4 V	2	(953-4)	[482F]	BC	9	-540

1105	Spin	A	0104	Cantrel	C566243-9	 	     Lo 		520	ZhIN	F1 V	-1	(610-4)	[1126]	B	12	-24
1240	Spin	A	0104	Cantrel	X566000-9	 	     Di 		020	Wild	F1 V	-2	(600-3)	[0000]	B	12	-18
1508	Spin	A	0104	Cantrel	X566000-9	 	     Di 		020	Wild	F1 V	-2	(600+2)	[0000]	B	12	12
1900	Spin	A	0104	Cantrel	X566000-9	 	     Di 		020	Wild	F1 V	-2	(600-1)	[0000]	B	12	-6

1105	Spin	A	0108	Gyomar	C8B2889-8	 	     (Tethmari)  Fl He Ph (ENIL)		824	NaHu	A8 V	-1	(G77+1)	[9769]	Be	14	784
1240	Spin	A	0108	Gyomar	C8B2886-6	 	     (Tethmari)  Fl He Ph (ENIL)		424	Wild	A8 V	-1	(A76-1)	[7758]	Be	14	-420
1508	Spin	A	0108	Gyomar	C8B287A-7	 	     (Tethmari)  Fl He Ph (ENIL)		524	Wild	A8 V	-1	(A76-1)	[6763]	Be	14	-420
1900	Spin	A	0108	Gyomar	C8B28BB-8	 	     (Tethmari)  Fl He Ph (ENIL)		424	Wild	A8 V	-1	(G72+5)	[6768]	Be	14	1120

1105	Spin	E	0111	Atson	B310598-8	 	     Ni 		933	NaHu	K8 V	-1	(D43-1)	[5458]	B	10	-156
1240	Spin	E	0111	Atson	B3105AE-6	 	     Ni 		433	Wild	K8 V	-1	(742+1)	[8436]	B	10	56
1508	Spin	E	0111	Atson	B310545-7	 	     Ni 		333	Wild	K8 V	-1	(744+5)	[648A]	B	10	560
1900	Spin	E	0111	Atson	B310597-8	 	     Ni 		433	Wild	K8 V	-1	(D45-3)	[6426]	B	10	-780

1105	Spin	E	0114	Yiktor	C6B6431-A	 	     Fl Ni 		123	NaHu	G4 V M4 V	0	(B33-4)	[1416]	B	12	-396
1240	Spin	E	0114	Yiktor	X6B6000-A	 	     Di Fl 		023	Wild	G4 V M4 V	-1	(B00+3)	[0000]	B	12	33
1508	Spin	E	0114	Yiktor	X6B6000-A	 	     Di Fl 		023	Wild	G4 V M4 V	-1	(B00+3)	[0000]	B	12	33
1900	Spin	E	0114	Yiktor	X6B6000-A	 	     Di Fl 		023	Wild	G4 V M4 V	-1	(B00+1)	[0000]	B	12	11

1105	Spin	E	0115	Xhosa	EA95124-5	 	     Lo 		910	NaHu	M0 V	-3	(300-5)	[1133]	B	8	-15
1240	Spin	E	0115	Xhosa	EA95000-5	 	     Di 		010	Wild	M0 V	-3	(300-1)	[0000]	B	8	-3
1508	Spin	E	0115	Xhosa	EA95000-5	 	     Di 		010	Wild	M0 V	-3	(300-2)	[0000]	B	8	-6
1900	Spin	E	0115	Xhosa	EA95000-5	 	     Di 		010	Wild	M0 V	-3	(300-2)	[0000]	B	8	-6

1105	Spin	I	0122	Junction	D550441-4	 	     De Ni Po 		210	NaHu	M2 V M3 V	-3	(631-5)	[1111]	B	10	-90
1240	Spin	I	0122	Junction	D550000-4	 	     De Di Po 		010	Wild	M2 V M3 V	-3	(600-3)	[0000]	B	10	-18
1508	Spin	I	0122	Junction	D550000-4	 	     De Di Po 		010	Wild	M2 V M3 V	-3	(600+3)	[0000]	B	10	18
1900	Spin	I	0122	Junction	D550000-4	 	     De Di Po 		010	Wild	M2 V M3 V	-3	(600+1)	[0000]	B	10	6

1105	Spin	I	0129	Uniqua	E62556B-7	 	    O:0130  Ni 		210	NaHu	K9 V M9 V	-3	(741-1)	[7279]	B	8	-28
1240	Spin	I	0129	Uniqua	E625000-7	 	    O:0130  Di 		010	Wild	K9 V M9 V	-3	(700-3)	[0000]	B	8	-21
1508	Spin	I	0129	Uniqua	E625000-7	 	    O:0130  Di 		010	Wild	K9 V M9 V	-3	(700-5)	[0000]	B	8	-35
1900	Spin	I	0129	Uniqua	E625000-7	 	    O:0130  Di 		010	Wild	K9 V M9 V	-3	(700+4)	[0000]	B	8	28

1105	Spin	I	0130	Garoo	A2008CB-A	 	     Pz (roo)  Na Pi Ph Va 	A	210	NaHu	M1 V M5 V	2	(B7B+4)	[AA7C]	BDe	9	3388
1240	Spin	I	0130	Garoo	A2008DE-A	 	     Pz (roo)  Na Pi Ph Va 		110	Wild	M1 V M5 V	2	(B79+1)	[7A5D]	BDe	9	693
1508	Spin	I	0130	Garoo	A200888-9	 	     Pz (roo)  Na Pi Ph Va 		210	Wild	M1 V M5 V	1	(B77-1)	[4938]	BDe	9	-539
1900	Spin	I	0130	Garoo	A2008A9-A	 	     Pz (roo)  Na Pi Ph Va 		310	Wild	M1 V M5 V	2	(B77-5)	[3A26]	BDe	9	-2695

1105	Spin	M	0133	Emape	B564500-B	N 	     Da  Ag Pr Ni 	A	503	ImDd	M0 V	2	(A46-2)	[1716]	BcC	6	-480
1240	Spin	M	0133	Emape	E564000-B	T 	      Da  Di 		003	Wild	M0 V	-1	(A00-2)	[0000]	B	6	-20
1508	Spin	M	0133	Emape	E564000-B	T 	      Da  Di 		003	Wild	M0 V	-1	(A00+1)	[0000]	B	6	10
1900	Spin	M	0133	Emape	E564000-B	T 	      Da  Di 		003	Wild	M0 V	-1	(A00+1)	[0000]	B	6	10

1105	Spin	M	0139	Raweh	B430300-B	N 	    Da  De Lo Po 	A	920	ImDd	G3 V M1 V	1	(721-3)	[1416]	B	5	-42
1240	Spin	M	0139	Raweh	D430000-B	T 	    Da  De Di Po 		020	Wild	G3 V M1 V	-1	(700-1)	[0000]	B	5	-7
1508	Spin	M	0139	Raweh	D430000-B	T 	    Da  De Di Po 		020	Wild	G3 V M1 V	-1	(700-4)	[0000]	B	5	-28
1900	Spin	M	0139	Raweh	D430000-B	T 	    Da  De Di Po 		020	Wild	G3 V M1 V	-1	(700+5)	[0000]	B	5	35

1105	Spin	M	0140	876-574	E687200-3	 	     Ga Lo 		702	NaHu	K7 V	-3	(410-5)	[1111]	B	11	-20
1240	Spin	M	0140	876-574	E687000-3	 	     Di Ga 		002	Wild	K7 V	-3	(400-4)	[0000]	B	11	-16
1508	Spin	M	0140	876-574	E687000-3	 	     Di Ga 		002	Wild	K7 V	-3	(400-1)	[0000]	B	11	-4
1900	Spin	M	0140	876-574	E687000-3	 	     Di Ga 		002	Wild	K7 V	-3	(400+1)	[0000]	B	11	4

1105	Spin	A	0202	Thengo	C868586-5	 	      Ag Pr Ni 		801	ZhIN	G5 V M3 V	-1	(743-2)	[4444]	BcC	12	-168
1240	Spin	A	0202	Thengo	C868547-3	 	      Ag Pr Ni 		401	Wild	G5 V M3 V	-1	(745+1)	[A462]	BcC	12	140
1508	Spin	A	0202	Thengo	C868574-4	 	      Ag Pr Ni 		501	Wild	G5 V M3 V	-1	(743-3)	[8476]	BcC	12	-252
1900	Spin	A	0202	Thengo	C868557-6	 	      Ag Pr Ni 		401	Wild	G5 V M3 V	-1	(741+1)	[5484]	BcC	12	28

1105	Spin	E	0212	Prinx	C436635-6	 	     Ni 		720	NaHu	A9 V K8 V	-2	(852-4)	[4434]	B	9	-320
1240	Spin	E	0212	Prinx	C436679-4	 	     Ni 		320	Wild	A9 V K8 V	-2	(854+2)	[7464]	B	9	320
1508	Spin	E	0212	Prinx	C436678-5	 	     Ni 		420	Wild	A9 V K8 V	-2	(853-4)	[7451]	B	9	-480
1900	Spin	E	0212	Prinx	C436620-6	 	     Ni 		320	Wild	A9 V K8 V	-2	(853+1)	[5474]	B	9	120

1105	Spin	E	0215	Rushu	E766674-4	 	     rgW  Ag Ri Ga Ni 		903	CsZh	G0 V M3 V	-1	(853-3)	[4532]	BC	8	-360
1240	Spin	E	0215	Rushu	E76667B-2	 	     rgW  Ag Ri Ga Ni 		403	Wild	G0 V M3 V	-1	(855-1)	[5543]	BC	8	-200
1508	Spin	E	0215	Rushu	E766677-3	 	     rgW  Ag Ri Ga Ni 		503	Wild	G0 V M3 V	-1	(855-4)	[3553]	BC	8	-800
1900	Spin	E	0215	Rushu	E766676-4	 	     rgW  Ag Ri Ga Ni 		503	Wild	G0 V M3 V	-1	(852-1)	[5545]	BC	8	-80

1105	Spin	E	0218	Bael	E200100-8	 	     Lo Va 		812	NaHu	K2 V	-3	(600-5)	[1113]	B	9	-30
1240	Spin	E	0218	Bael	E200000-8	 	     Di Va 		012	Wild	K2 V	-3	(600+1)	[0000]	B	9	6
1508	Spin	E	0218	Bael	E200000-8	 	     Di Va 		012	Wild	K2 V	-3	(600-2)	[0000]	B	9	-12
1900	Spin	E	0218	Bael	E200000-8	 	     Di Va 		012	Wild	K2 V	-3	(600-1)	[0000]	B	9	-6

1105	Spin	I	0223	Stern-Stern	B421558-B	 	    DaryW  He Ni Px Po 		701	DaCf	M0 V M3 V	1	(845+1)	[565B]	B	9	160
1240	Spin	I	0223	Stern-Stern	E421000-B	 	    DaryW  Di He Px Po 		001	Wild	M0 V M3 V	-1	(800-3)	[0000]	B	9	-24
1508	Spin	I	0223	Stern-Stern	E421000-B	 	    DaryW  Di He Po 		001	Wild	M0 V M3 V	-1	(800-1)	[0000]	B	9	-8
1900	Spin	I	0223	Stern-Stern	E421000-B	 	    DaryW  Di He Po 		001	Wild	M0 V M3 V	-1	(800-4)	[0000]	B	9	-32

1105	Spin	I	0230	886-945	E833000-0	 	     Ba Po 		004	NaXX	F8 V	-3	(200-5)	[0000]	B	16	-10
1240	Spin	I	0230	886-945	E833000-0	 	     Ba Po 		004	Wild	F8 V	-3	(200-3)	[0000]	B	16	-6
1508	Spin	I	0230	886-945	E833000-0	 	     Ba Po 		004	Wild	F8 V	-3	(200+3)	[0000]	B	16	6
1900	Spin	I	0230	886-945	E833000-0	 	     Ba Po 		004	Wild	F8 V	-3	(200-4)	[0000]	B	16	-8

1105	Spin	M	0231	Saxe	EAA5543-8	 	     Fl Ni 		910	NaHu	A2 V	-3	(841-5)	[2225]	B	9	-160
1240	Spin	M	0231	Saxe	EAA5000-8	 	     Di Fl 		010	Wild	A2 V	-3	(800+4)	[0000]	B	9	32
1508	Spin	M	0231	Saxe	EAA5000-8	 	     Di Fl 		010	Wild	A2 V	-3	(800-2)	[0000]	B	9	-16
1900	Spin	M	0231	Saxe	EAA5000-8	 	     Di Fl 		010	Wild	A2 V	-3	(800-2)	[0000]	B	9	-16

1105	Spin	M	0236	Andor	C695735-9	 	    An  Fo DroyW  Ag Pi (NIL)	R	603	ImDd	F3 V	1	(C6A-1)	[5837]	BCD	6	-720
1240	Spin	M	0236	Andor	X695000-9	 	   An  Fo DroyW  Di Pi (NIL)		003	Wild	F3 V	-2	(C00-1)	[0000]	BD	6	-12
1508	Spin	M	0236	Andor	X695000-9	 	    An  Fo DroyW  Di (NIL)		003	Wild	F3 V	-2	(C00-1)	[0000]	B	6	-12
1900	Spin	M	0236	Andor	X695000-9	 	    An  Fo DroyW  Di (NIL)		003	Wild	F3 V	-2	(C00-1)	[0000]	B	6	-12

1105	Spin	M	0240	769-422	E754401-8	 	    (minor)  Ni Pa 		924	NaHu	G2 V	-3	(C31-5)	[1114]	Bc	10	-180
1240	Spin	M	0240	769-422	E754000-8	 	     (minor)  Di 		024	Wild	G2 V	-3	(C00+2)	[0000]	B	10	24
1508	Spin	M	0240	769-422	E754000-8	 	     (minor)  Di 		024	Wild	G2 V	-3	(C00+2)	[0000]	B	10	24
1900	Spin	M	0240	769-422	E754000-8	 	     (minor)  Di 		024	Wild	G2 V	-3	(C00+4)	[0000]	B	10	48

1105	Spin	A	0301	Rio	C686648-8	 	      Ag Ri Ga Ni 		201	NaHu	M0 V M1 V	0	(954+1)	[6658]	BC	8	180
1240	Spin	A	0301	Rio	C686677-6	 	      Ag Ri Ga Ni 		101	Wild	M0 V M1 V	0	(852-1)	[6669]	BC	8	-80
1508	Spin	A	0301	Rio	C686635-7	 	      Ag Ri Ga Ni 		201	Wild	M0 V M1 V	0	(854+1)	[7658]	BC	8	160
1900	Spin	A	0301	Rio	C686651-9	 	      Ag Ri Ga Ni 		301	Wild	M0 V M1 V	1	(953-3)	[6766]	BC	8	-405

1105	Spin	A	0303	Gesentown	B31169B-C	 	    Da  Ic Na Ni 	A	801	ZhIN	M2 V M9 V	2	(956+4)	[887E]	B	12	1080
1240	Spin	A	0303	Gesentown	B311543-B	 	     Da  Ic Ni 		401	Wild	M2 V M9 V	1	(947+3)	[266B]	B	12	756
1508	Spin	A	0303	Gesentown	B311552-D	 	     Da  Ic Ni 		401	Wild	M2 V M9 V	1	(945+3)	[762C]	B	12	540
