Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Star	A	0101	Akhaka	C584686-6	 	   Ag Ri Ni 		100	Wild	F9 V M9 V	0	(754+1)	[7697]	BC	11	140
Star	A	0102	Kakunasgup	X524000-B	 	    Di 		004	Wild	K2 IV M6 V	-1	(800+2)	[0000]	B	13	16
Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	Wild	M6 V	-3	(700+1)	[0000]	B	13	7
Star	E	0112	Ikakaddu	X575000-1	 	    Di (NIL)		014	Wild	F7 V M8 V	-3	(600-3)	[0000]	B	14	-18
Star	E	0113	Dekulini	X551000-2	 	   Di Po 		001	Wild	G4 V M3 V	-3	(800+1)	[0000]	B	6	8
Star	E	0116	Suugirumir	X674000-6	 	    Di 		013	Wild	F4 V	-3	(A00+1)	[0000]	B	10	10
Star	A	0201	Iigigsu	X484000-5	 	    Di 		003	Wild	G3 V M6 V	-3	(600+1)	[0000]	B	9	6
Star	A	0205	Kagag	XAB7000-9	 	   Di Fl 		000	Wild	M2 V	-2	(600-2)	[0000]	B	7	-12
Star	A	0208	Khaka	E667404-4	 	  Ga Ni Pa (NIL)		214	Wild	F5 V	-3	(830-2)	[6144]	Bc	17	-48
Star	A	0209	Ishgadugis	X9B4000-B	 	   Di Fl 		004	Wild	F0 II	-1	(B00+2)	[0000]	B	10	22
Star	E	0213	Gakenud	X401000-B	 	   Di Ic Va 		004	Wild	G3 V M3 V	-1	(900-1)	[0000]	B	13	-9
Star	E	0216	Uushakinkush	X230000-A	 	  De Di Po 		021	Wild	M2 V M9 V	-1	(C00+1)	[0000]	B	8	12
Star	A	0309	Gashuukhe	X246000-8	 	    Di 		012	Wild	M0 V M1 V	-3	(B00+5)	[0000]	B	12	55
Star	E	0311	Lekha	X6A1000-7	 	  Di Fl He Px 		010	Wild	M4 V M9 V	-3	(500-1)	[0000]	B	5	-5
Star	E	0315	Tovo	X7A0000-7	 	   Di He 		003	Wild	M5 V M8 V	-3	(800+4)	[0000]	B	9	32
Star	E	0316	Ir	XA89000-7	 	    Di (NIL)		024	Wild	F8 V	-3	(500-1)	[0000]	B	12	-5
Star	A	0401	Kargumar	E682000-5	 	    Di 		024	Wild	G4 V M3 V	-3	(400-1)	[0000]	B	15	-4
Star	A	0404	KumguulusJuHlu	X556872-1	 	   Pa Ph (NIL)		214	Wild	G9 V	-2	(675+2)	[5671]	Bce	13	420
Star	A	0406	Guukiinmile	C978842-3	 	   Pa Pi Ph (NIL)		500	Wild	F9 V M8 V	-1	(777+5)	[9714]	BcDe	7	1715
Star	A	0408	Legumenkig	X444000-4	 	    Di (NIL)		023	Wild	F5 V	-3	(300+1)	[0000]	B	9	3
Star	A	0409	Dikemu	X150000-0	 	  Ba De Po 		004	Wild	G7 V	-3	(900-5)	[0000]	B	7	-45
Star	E	0413	Geshiimudush	X612000-9	 	   Di Ic 		015	Wild	M9 V	-2	(D00+1)	[0000]	B	14	13
Star	A	0509	Adurnii	E685000-4	 	   Di Ga 		024	Wild	F8 V	-3	(700-3)	[0000]	B	11	-21
Star	A	0510	Esherkhesh	E573000-8	 	   Di Pi (NIL)		004	Wild	F0 V	-3	(C00+1)	[0000]	BD	15	12
Star	E	0511	Andorin	X999000-0	 	    Ba 		022	Wild	G3 V	-3	(B00-3)	[0000]	B	10	-33
Star	E	0513	Adishka	X320000-0	 	  Ba De He Po 		003	Wild	M3 III M6 V	-3	(600-3)	[0000]	B	9	-18
Star	A	0601	Untouchable	X000000-0	 	  An As Va Ba 		004	Wild	M0 V M2 V	-3	(800+1)	[0000]	B	12	8
Star	A	0603	Liigagidii	E596000-8	 	    Di 		003	Wild	F2 V	-3	(500-5)	[0000]	B	14	-25
Star	A	0605	Luzumam	X500000-0	 	   Ba Va 		003	Wild	G9 V M4 V	-3	(800+1)	[0000]	B	10	8
Star	A	0606	Kagiirze	X346000-0	 	    Ba 		020	Wild	K7 V	-3	(700-1)	[0000]	B	11	-7
Star	A	0607	Sukiirusidar	X411000-9	 	   Di Ic 		013	Wild	G7 V	-2	(B00-3)	[0000]	B	11	-33
Star	A	0610	Kushuni	X538000-7	 	    Di 		004	Wild	M2 V	-3	(600+4)	[0000]	B	13	24
Star	E	0613	Kiimshamiir	X532000-D	 	   Di Na Po (NIL)		022	Wild	G2 V	-1	(900-1)	[0000]	B	14	-9
Star	E	0614	Amarga	D4756AE-0	 	   Ag Ni (NIL)		503	Wild	F2 V	-2	(950-1)	[7481]	BC	14	-45
Star	E	0615	Liniilir	X582513-0	 	   Ni Pr 		203	Wild	F9 V M2 V	-3	(640+1)	[9253]	Bc	13	24
Star	I	0624	Zeshkha	X766000-0	 	   Ba Ga 		013	Wild	F2 V M2 V	-3	(700-5)	[0000]	B	16	-35
Star	A	0703	Gamushii	E643000-1	 	   Di Po 		003	Wild	F7 V M2 V M0 V	-3	(A00-2)	[0000]	B	9	-20
Star	A	0706	Ugirum	XA88000-6	 	    Di (NIL)		001	Wild	G2 V	-3	(B00+1)	[0000]	B	9	11
Star	A	0710	Giikiikhir	D597000-6	 	    Di 		001	Wild	F5 V M0 V	-3	(700-2)	[0000]	B	11	-14
Star	E	0713	Gugiim	X675000-6	 	   Di Pi (NIL)		010	Wild	F5 V	-3	(900+1)	[0000]	BD	9	9
Star	A	0806	Ikamki	X85A000-4	 	   Di Wa (NIL)		002	Wild	F3 V	-3	(400+4)	[0000]	B	10	16
Star	A	0807	Shikhiniluu	X000000-0	 	   As Va Ba 		011	Wild	M3 V	-3	(900+1)	[0000]	B	13	9
Star	E	0814	Khurlazer	D75747B-1	 	  Ga Ni Pa 		115	Wild	F0 V	-3	(732+3)	[4141]	Bc	10	126
Star	E	0815	Arimiresh	X578000-5	 	    Di 		002	Wild	F1 V	-3	(700-1)	[0000]	B	11	-7
Star	I	0821	Umluushur	X583000-0	 	    Ba 		033	Wild	F9 V	-3	(200-2)	[0000]	B	18	-4
Star	B	0901	Pashirshilir	X77A000-6	 	   Di Wa 		013	Wild	G9 V	-3	(700-1)	[0000]	B	12	-7
Star	B	0907	Luke	X413000-0	 	   Ba Ic 		003	Wild	G3 V	-3	(800-3)	[0000]	B	10	-24
Star	F	0911	Khirarma	X77A000-5	 	   Di Wa 		003	Wild	F9 V M9 V	-3	(C00+1)	[0000]	B	11	12
Star	N	0933	!!rrarii	X9DA000-E	 	   Di Wa (NIL)		012	Wild	F4 V	-1	(900+1)	[0000]	B	11	9
Star	B	1005	Kedepar	X8659AC-1	 	  Ga Hi Pr (NIL)		111	Wild	K7 V	-1	(682+4)	[8891]	BcE	11	384
Star	B	1009	AsJuHlii	X110000-9	 	    Di 		004	Wild	M7 V	-2	(C00-1)	[0000]	B	11	-12
Star	B	1101	Gumnima	X424000-0	 	    Ba 		003	Wild	M1 III M2 V M0 V	-3	(800-2)	[0000]	B	10	-16
Star	B	1103	Numkii	E556000-5	 	    Di 		024	Wild	F5 V	-3	(500-5)	[0000]	B	15	-25
Star	B	1105	Argime	X100000-0	 	   Ba Va 		004	Wild	M6 V	-3	(600+2)	[0000]	B	14	12
Star	B	1106	Na	X300000-0	 	   Ba Va 		012	Wild	G7 V M7 V	-3	(500-3)	[0000]	B	12	-15
Star	B	1109	Lelinakuukha	X536000-9	 	    Di 		012	Wild	K0 V	-2	(B00+1)	[0000]	B	10	11
Star	F	1111	Maaguukud	D577000-6	 	    Di 		001	Wild	F8 V	-3	(800+4)	[0000]	B	10	32
Star	F	1113	Akingip	X422000-B	 	  Di He Po 		010	Wild	M0 V M9 V	-1	(600+1)	[0000]	B	10	6
Star	N	1132	Niirp'tki	E382000-7	 	    Di (NIL)		001	Wild	F8 V	-3	(400-3)	[0000]	B	12	-12
Star	N	1137	K'lka	X332000-7	 	   Di Po 		005	Wild	K4 V M7 V	-3	(700+2)	[0000]	B	17	14
Star	N	1139	Kereerrkar	X656535-1	 	  Ag Ga Ni 		100	Wild	M9 V	-2	(742+1)	[4374]	BC	12	56
Star	B	1202	Nasimakdi	E383437-5	 	    Ni 		203	Wild	F4 V M5 V	-3	(332+1)	[6162]	B	12	18
Star	B	1204	Egasirke	E748000-8	 	    Di 		011	Wild	F8 V	-3	(B00+1)	[0000]	B	8	11
Star	B	1205	Eshirlaziim	X543000-6	 	   Di Po 		004	Wild	F7 V	-3	(600+1)	[0000]	B	7	6
Star	F	1211	Alaga	E36487B-1	 	   Pa Ri Ph (NIL)		523	Wild	G1 V M9 V	-1	(B74-2)	[A7A2]	BcCe	14	-616
Star	F	1212	Dulikanmuu	X523000-9	 	   Di Na Pi Po (NIL)		004	Wild	F9 V	-2	(E00+1)	[0000]	BD	16	14
Star	N	1233	Gnir	X75878C-0	 	    Ag (NIL)		401	Wild	F8 V M7 V	-1	(861-2)	[8653]	BC	5	-96
Star	N	1235	Ruuirakr	X200000-0	 	   Ba Va 		001	Wild	M1 V	-3	(700+1)	[0000]	B	5	7
Star	B	1306	Urgesimmiku	X553475-0	 	   Ni Po 		114	Wild	F8 V	-3	(330-5)	[7141]	B	12	-45
Star	B	1308	Shadsugsa	X579000-5	 	    Di 		000	Wild	F8 V	-3	(700+1)	[0000]	B	10	7
Star	B	1309	Gakhega	X8B3000-0	 	   Ba Fl 		013	Wild	M2 V	-3	(700+3)	[0000]	B	12	21
Star	N	1333	T!'nul'rkii	X425000-0	 	    Ba 		024	Wild	M0 V M9 V	-3	(400-1)	[0000]	B	18	-4
Star	N	1339	Kikikugr	X643000-0	 	   Ba Po 		012	Wild	G5 V M6 V	-3	(600+1)	[0000]	B	9	6
Star	B	1405	Mame	X8B4000-B	 	   Di Fl 		002	Wild	M4 III M7 V	-1	(900-1)	[0000]	B	6	-9
