Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Star	A	0101	Akhaka	B584675-A	 	   Ag Ri Ni 		300	JuHl	F9 V M9 V	3	(756+4)	[996A]	BC	11	840
1201	Star	A	0101	Akhaka	C584655-6	 	   Ag Ri Ni 	B	300	JuHl	F9 V M9 V	0	(755-1)	[369A]	BC	11	-175
1240	Star	A	0101	Akhaka	C584686-6	 	   Ag Ri Ni 		100	Wild	F9 V M9 V	0	(754+1)	[7697]	BC	11	140
1508	Star	A	0101	Akhaka	C584656-8	 	   Ag Ri Ni 		200	Wild	F9 V M9 V	0	(755-4)	[2689]	BC	11	-700
1900	Star	A	0101	Akhaka	C584631-8	 	   Ag Ri Ni 		100	Wild	F9 V M9 V	0	(756+2)	[462D]	BC	11	420

1105	Star	A	0102	Kakunasgup	C524314-B	 	    Lo 		404	JuHl	K2 IV M6 V	0	(820+1)	[833B]	B	13	16
1201	Star	A	0102	Kakunasgup	X524000-B	 	    Di 		004	JuHl	K2 IV M6 V	-1	(800+3)	[0000]	B	13	24
1240	Star	A	0102	Kakunasgup	X524000-B	 	    Di 		004	Wild	K2 IV M6 V	-1	(800+2)	[0000]	B	13	16
1508	Star	A	0102	Kakunasgup	X524000-B	 	    Di 		004	Wild	K2 IV M6 V	-1	(800-1)	[0000]	B	13	-8
1900	Star	A	0102	Kakunasgup	X524000-B	 	    Di 		004	Wild	K2 IV M6 V	-1	(800-2)	[0000]	B	13	-16

1105	Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	JuHl	M6 V	-3	(700-4)	[0000]	B	13	-28
1201	Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	JuHl	M6 V	-3	(700-1)	[0000]	B	13	-7
1240	Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	Wild	M6 V	-3	(700+1)	[0000]	B	13	7
1508	Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	Wild	M6 V	-3	(700-1)	[0000]	B	13	-7
1900	Star	A	0104	Umpagu	X432000-0	 	   Ba Po 		004	Wild	M6 V	-3	(700-1)	[0000]	B	13	-7
