Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Thet	A	0104	Antares	D575000-8	 	    Di 		012	Wild	G0 V G7 V M2 V	-3	(B00-1)	[0000]	B	13	-11
Thet	A	0110	Peladons	D772000-A	 	  Cp Di He 		000	Wild	G4 V	-1	(700-1)	[0000]	BF	4	-7
Thet	E	0111	Gaxfield	E438000-7	 	    Di 		020	Wild	M4 II	-3	(400-2)	[0000]	B	8	-8
Thet	E	0112	Melham	E9A5000-8	 	  Di Fl Px 		020	Wild	F7 V D	-3	(900+1)	[0000]	B	7	9
Thet	E	0113	Ronix	X579000-7	 	    Di 		021	Wild	A0 V	-3	(700+1)	[0000]	B	10	7
Thet	E	0119	Jabaran	X560000-8	 	   De Di 		010	Wild	K4 IV D	-3	(600-4)	[0000]	B	8	-24
Thet	E	0120	Wathian	A757423-6	 	  Ga Ni Pa 		302	Wild	F7 V	-1	(634+1)	[3388]	Bc	10	72
Thet	I	0121	Cabbot	E763597-3	 	   Ni Pr 		121	Wild	G0 IV K4 V M5 V K3 V	-3	(741-2)	[62A1]	Bc	15	-56
Thet	I	0127	Ostello	C758AAA-5	 	    Hi (NIL)		133	Wild	G3 V	0	(C97-1)	[DA36]	BE	18	-756
Thet	I	0128	Mytelon	X866000-B	 	   Di Ga 		002	Wild	F3 V F5 V	-1	(600+4)	[0000]	B	8	24
Thet	M	0132	Vepar	E572000-9	 	   Di He 		022	Wild	G2 V	-2	(A00+1)	[0000]	B	10	10
Thet	M	0133	Olack	B66547A-9	 	  Ga Ni Pa 		123	Wild	G4 V G7 V D M3 V M0 V	0	(B35+1)	[5458]	Bc	10	165
Thet	A	0202	Quandre	D698000-8	 	    Di 		013	Wild	G5 V	-3	(700-3)	[0000]	B	16	-21
Thet	A	0204	Lomodo	E7A6000-8	 	   Di Fl 		000	Wild	G3 V G5 V	-3	(800-4)	[0000]	B	9	-32
Thet	A	0205	Boswool	D66A000-D	 	   Di Wa 		003	Wild	K8 V D	-1	(600-3)	[0000]	B	9	-18
Thet	A	0206	Eltonia	D411000-8	 	   Di Ic 		022	Wild	G9 V M5 V	-3	(A00+1)	[0000]	B	10	10
Thet	A	0207	Quesros	X747000-A	 	    Di 		031	Wild	G8 V M3 V	-1	(A00-2)	[0000]	B	11	-20
Thet	E	0214	Lytock	X573000-7	 	    Di 		020	Wild	M2 V	-3	(800+1)	[0000]	B	8	8
Thet	I	0221	Regal IV	EAA3000-8	 	   Di Fl 		000	Wild	G7 V	-3	(800-5)	[0000]	B	10	-40
Thet	I	0222	Stockhelm	E431000-6	 	   Di Px Po 		023	Wild	K8 V	-3	(600+2)	[0000]	B	14	12
Thet	I	0225	Pursuin	X897000-5	 	    Di 		010	Wild	G5 IV G3 V M3 V	-3	(400+1)	[0000]	B	9	4
Thet	I	0227	Grand Harbour	C5546AA-2	 	   Ag Ni 		200	Wild	M1 V	-1	(854+1)	[4522]	BC	8	160
Thet	I	0230	Amberlite	E78AAAB-5	 	   Hi Wa (NIL)		111	Wild	G4 IV	-1	(C94-2)	[D951]	BE	6	-864
Thet	M	0232	Abemire	A570541-7	 	   De He Ni 		330	Wild	G7 II	-1	(844+4)	[3437]	B	13	512
Thet	M	0233	Gontip	C5839BD-3	 	   Hi Pr (NIL)		412	Wild	G6 V	0	(B88+2)	[C961]	BcE	9	1408
Thet	M	0236	Eylyre	X868000-B	 	    Di 		012	Wild	F3 V K5 V	-1	(700+1)	[0000]	B	11	7
Thet	A	0302	Creoll	C55479B-3	 	    Ag (NIL)		200	Wild	G8 V D	0	(96B-3)	[77A3]	BC	10	-1782
Thet	A	0303	Poltan	C65A754-8	 	    Wa (NIL)		202	Wild	K9 V	-1	(B69+3)	[8637]	B	6	1782
Thet	A	0306	Xenia	E563000-6	 	    Di 		022	Wild	G8 V M8 V	-3	(300+1)	[0000]	B	10	3
Thet	E	0311	Corbad	E8B2000-8	 	   Di Fl He 		020	Wild	F4 V	-3	(800+5)	[0000]	B	6	40
Thet	E	0312	Radson	D566777-4	 	    Ag Ri (NIL)		321	Wild	F3 V	0	(964+1)	[6719]	BC	9	216
Thet	E	0317	Petask	D526000-7	 	    Di 		013	Wild	K0 IV D	-3	(600-2)	[0000]	B	15	-12
Thet	E	0319	Ilnoyor	D898000-9	 	    Di 		010	Wild	F8 V D	-2	(500+3)	[0000]	B	10	15
Thet	E	0320	Tafeld	B31068A-A	 	   Na Ni 		330	Wild	K1 IV M4 V D	1	(B52-1)	[972D]	B	6	-110
Thet	I	0321	Coalsand	E100613-5	 	  Na Ni Va 		300	Wild	M0 V	-3	(851+4)	[5396]	B	11	160
Thet	I	0322	Pakwolf	A411546-9	 	   Ic Ni 		222	Wild	K2 V	0	(B41+5)	[8535]	B	11	220
Thet	I	0326	Grunden	E525000-7	 	    Di 		013	Wild	G6 V D	-3	(700-3)	[0000]	B	9	-21
Thet	I	0327	Imetcon	C554726-4	 	    Ag (NIL)		221	Wild	A0 V	0	(962-1)	[8763]	BC	12	-108
Thet	I	0328	Marjanet	X200000-B	 	   Di Va 		030	Wild	K1 III	-1	(900-1)	[0000]	B	13	-9
Thet	I	0329	Deitance	C43388C-7	 	   Na Po Ph (NIL)		421	Wild	K4 V	-1	(A76+4)	[B732]	Be	11	1680
Thet	A	0404	Lexaria	D676000-7	 	    Di 		032	Wild	K3 IV K5 V	-3	(600-4)	[0000]	B	11	-24
Thet	A	0406	Wignatau	D661000-8	 	    Di 		001	Wild	G7 V D	-3	(600-2)	[0000]	B	13	-12
Thet	A	0408	Sildona	D310000-7	 	    Di 		010	Wild	K4 V D	-3	(400-1)	[0000]	B	10	-4
Thet	A	0410	Westmoore	E100000-B	 	   Di Va 		000	Wild	M0 V	-1	(400-3)	[0000]	B	7	-12
Thet	E	0411	Bilsham	X436000-D	 	    Di 		013	Wild	K6 V D	-1	(800+1)	[0000]	B	14	8
Thet	E	0414	Kantrim	A420572-A	 	  De He Ni Po 		330	Wild	G1 V M8 V	1	(A42+3)	[263D]	B	13	240
Thet	E	0415	Nalmer	C420678-8	 	  De He Na Po Ni (NIL)		522	Wild	K3 IV M7 V	-2	(D52+1)	[242A]	B	12	130
Thet	E	0417	Tully	D744000-7	 	    Di 		031	Wild	F9 V	-3	(700+2)	[0000]	B	12	14
Thet	E	0419	Feleg	B596984-8	 	   Hi In (NIL)		102	Wild	K5 V K7 V	2	(D8A-3)	[4B4D]	BE	13	-3120
Thet	E	0420	Pewellyn	E556000-A	 	    Di 		001	Wild	G2 IV M6 V M5 V	-1	(800+1)	[0000]	B	11	8
Thet	I	0425	Floodgate	E00089C-5	 	  As Va Na Pi Ph 		420	Wild	F8 V K7 V	-2	(A73-1)	[8696]	BDe	13	-210
Thet	I	0429	Erikson	D300512-6	 	   Ni Va 		113	Wild	K4 V	-3	(843+3)	[2285]	B	12	288
Thet	I	0430	Santayana	C787455-3	 	  Ga Ni Pa 		200	Wild	K5 V M6 V	-2	(631+3)	[1242]	Bc	7	54
Thet	M	0431	Tudwick	E673000-B	 	    Di 		000	Wild	G0 V M3 V D	-1	(400+4)	[0000]	B	6	16
Thet	M	0432	Pubora	D957000-8	 	    Di 		020	Wild	M5 II	-3	(700-1)	[0000]	B	6	-7
Thet	M	0433	Kline	D420000-8	 	  De He Di Po 		012	Wild	M2 V	-3	(600+4)	[0000]	B	8	24
Thet	M	0434	Obaroth	C304AAB-7	 	  Hi Ic Va In 		313	Wild	K3 V D	1	(C99+3)	[7B27]	BE	13	2916
Thet	M	0435	Shief	A558415-B	 	   Ni Pa 		323	Wild	M3 II	1	(D34-2)	[358D]	Bc	15	-312
Thet	A	0506	Alonion	D598000-6	 	    Di 		020	Wild	F1 V	-3	(400+1)	[0000]	B	10	4
Thet	A	0507	Thrace	E67A000-8	 	   Di Wa 		022	Wild	A7 II F6 V F4 V	-3	(C00-1)	[0000]	B	10	-12
Thet	A	0509	Kapalon	B000535-A	 	   As Va Ni 		220	Wild	G2 IV	1	(A46-1)	[7647]	B	9	-240
Thet	E	0512	Cabon	A5438B9-6	 	   Ph Pi Po (NIL)		100	Wild	G3 V M2 V	0	(A77-1)	[4817]	BDe	9	-490
Thet	E	0514	Futrick	C563874-2	 	   Ph Ri (NIL)		213	Wild	F3 V G8 V	0	(A77+1)	[5847]	BCe	11	490
Thet	E	0515	Rysholm	D310000-9	 	    Di 		000	Wild	F5 V	-2	(300+3)	[0000]	B	8	9
Thet	E	0517	Lonach	E77A000-5	 	  Di Pi Wa (NIL)		012	Wild	K7 V M9 V	-3	(900-1)	[0000]	BD	14	-9
Thet	I	0521	Zurbaran	X551000-3	 	   Di Po 		001	Wild	G9 IV M3 V M2 V	-3	(600+2)	[0000]	B	10	12
Thet	I	0522	Acheson	E5948A8-1	 	   Pa Pi Ph (NIL)		201	Wild	F3 V	-2	(A71-1)	[7611]	BcDe	4	-70
Thet	I	0525	Devalera	D582AAC-3	 	    Hi (NIL)		331	Wild	M9 III M3 V D	-1	(C93+3)	[6962]	BE	13	972
Thet	M	0533	Higram	A8569C9-A	 	   Ga Hi (NIL)		120	Wild	G5 V	3	(D8B-3)	[7C7C]	BE	8	-3432
Thet	M	0535	Chanshonie	C5509DD-7	 	  De Hi Po (NIL)		421	Wild	K3 II	0	(B89-1)	[A935]	BE	13	-792
Thet	M	0536	Motobab	C100777-9	 	   Na Pi Va 		412	Wild	F2 V F3 V	0	(C64-3)	[C72B]	BD	7	-864
Thet	M	0537	Quper	B540A94-A	 	  De He Hi In Po (NIL)		220	Wild	K4 V M6 V M4 V	4	(E9B+1)	[9E4E]	BEf	9	1386
Thet	M	0538	Aster	D97A000-D	 	   Di Wa 		000	Wild	K0 IV D	-1	(800-2)	[0000]	B	4	-16
Thet	A	0607	Reejus	X6B0000-9	 	   Di He 		003	Wild	K4 V M4 V	-2	(800-2)	[0000]	B	9	-16
Thet	A	0609	Krytolon	E545000-5	 	    Di 		030	Wild	F6 V	-3	(800+1)	[0000]	B	9	8
Thet	A	0610	Burning Sty	E200000-A	 	   Di Va 		010	Wild	M0 V D	-1	(400+1)	[0000]	B	7	4
Thet	E	0613	Hupland	D646000-5	 	   Di Pi (NIL)		013	Wild	G1 V D	-3	(900+1)	[0000]	BD	13	9
Thet	E	0619	Rodoto	A88A836-B	 	  Ph Ri Wa (NIL)		202	Wild	G2 V	3	(C7E+1)	[5B7C]	BCe	12	1176
Thet	E	0620	Nexur	E595000-7	 	    Di 		021	Wild	G3 III M2 V	-3	(800-3)	[0000]	B	13	-24
Thet	I	0623	Marconi	B756ADJ-9	 	   Ga Hi (NIL)		200	Wild	A8 V G2 V K8 V	2	(C97+4)	[CC6A]	BE	10	3024
Thet	I	0624	Shimerdon	A64A736-B	 	  Cp Pi Wa (NIL)		312	Wild	M1 V D	2	(D67+3)	[796B]	BDF	11	1638
Thet	I	0625	Quantestal	B433899-5	 	   Na Po Ph (NIL)		223	Wild	F8 V M3 V	0	(A7A+1)	[7875]	Be	13	700
Thet	I	0630	Mapendal	D425000-D	 	   Di Px 		031	Wild	K2 V	-1	(B00+1)	[0000]	B	12	11
Thet	M	0634	Lamburel	E629752-6	 	    Pi (NIL)		211	Wild	F8 V D	-2	(960-1)	[8574]	BD	6	-54
Thet	M	0636	Usatuc	C433545-7	 	   Ni Po 		320	Wild	K2 V K9 V K8 V	-2	(744+1)	[6389]	B	11	112
Thet	A	0706	Carmello	D897000-5	 	    Di 		010	Wild	G7 III	-3	(600+3)	[0000]	B	6	18
Thet	A	0709	Hydronaut	E58A000-0	 	   Ba Wa 		030	Wild	G2 V K1 V	-3	(200-1)	[0000]	B	9	-2
Thet	A	0710	Nauvoo	X627000-B	 	    Di 		012	Wild	M1 V	-1	(900-3)	[0000]	B	15	-27
Thet	E	0711	Uriaholm	E554000-0	 	    Ba 		021	Wild	F9 V M9 V	-3	(200-3)	[0000]	B	12	-6
Thet	E	0712	Bytholm	E665000-0	 	   Ba Ga 		010	Wild	A7 II A1 V	-3	(200+1)	[0000]	B	11	2
Thet	E	0716	Corelia	A566535-9	 	   Ag Pr Ni 		310	Wild	F2 V	1	(847+3)	[164E]	BcC	6	672
Thet	E	0720	Fonway	X742000-8	 	  Di He Po 		032	Wild	G7 V	-3	(D00+1)	[0000]	B	11	13
Thet	I	0724	Rhintril	A768579-B	 	   Ag Pr Ni 		402	Wild	F3 V D	2	(948-4)	[377C]	BcC	7	-1152
Thet	I	0726	Merotpeg	E873000-5	 	    Di 		033	Wild	F3 V	-3	(600-4)	[0000]	B	17	-24
Thet	I	0729	Sonica	CA6A444-4	 	   Ni Oc 		320	Wild	A4 V	-2	(634+1)	[3261]	B	9	72
Thet	M	0733	Hacany	D8B9000-B	 	   Di Fl 		021	Wild	M0 II M0 V	-1	(A00+5)	[0000]	B	11	50
Thet	A	0806	Magpie	B595745-7	 	    Ag Pi (NIL)		320	Wild	M5 II D	1	(967+1)	[4857]	BCD	10	378
Thet	A	0808	Regalice	D6A4000-A	 	   Di Fl 		010	Wild	M1 V	-1	(700+1)	[0000]	B	11	7
Thet	A	0809	Siderion	D000000-C	 	  As Va Di Na 		011	Wild	K9 V	-1	(A00+2)	[0000]	B	10	20
Thet	E	0816	Jirk	E310458-7	 	    Ni 		212	Wild	F0 V D	-3	(730-2)	[1198]	B	13	-42
Thet	E	0817	Naleput	C552874-6	 	   Ph Po (NIL)		420	Wild	G7 III	-1	(A74+4)	[A745]	Be	8	1120
Thet	I	0823	Carlondo	B000633-7	 	  As Va Na Ni 		430	Wild	K9 V D	-1	(852-1)	[6597]	B	15	-80
Thet	I	0825	DeHan V	EA97000-5	 	    Di 		010	Wild	G2 III K9 V M9 V	-3	(600+5)	[0000]	B	8	30
Thet	M	0833	Pamuse	B562759-9	 	    Ri (NIL)		120	Wild	G1 V	2	(B69+1)	[7937]	BC	9	594
Thet	M	0834	Dilvart	D312000-7	 	   Di Ic 		000	Wild	G5 IV M0 V	-3	(500+2)	[0000]	B	5	10
Thet	B	0901	Sinigo	C554478-4	 	   Ni Pa 		131	Wild	K7 V	-2	(632-1)	[4213]	Bc	10	-36
Thet	F	0911	Zephor	E772000-5	 	   Di He 		010	Wild	M2 V	-3	(500+1)	[0000]	B	9	5
Thet	F	0913	Bartillion	D563313-5	 	    Lo 		530	Wild	F1 V D G3 V F7 V K4 V	-3	(820-1)	[3134]	B	6	-16
Thet	F	0915	Apraksin	D524000-8	 	    Di 		030	Wild	G3 V M9 V	-3	(900+1)	[0000]	B	8	9
Thet	F	0918	Canbridel	D000000-9	 	   As Va Di 		030	Wild	M4 III	-2	(700-2)	[0000]	B	15	-14
Thet	J	0923	Alcadeen	D554000-B	 	   Cy Di Mr 		010	Wild	G1 III	-1	(800-1)	[0000]	B	12	-8
Thet	J	0928	Darwald	X593000-C	 	    Di 		001	Wild	G0 II	-1	(900+2)	[0000]	B	12	18
Thet	J	0929	Jalafum	C7589CB-4	 	    Hi (NIL)		231	Wild	F0 V	0	(B8A-1)	[7962]	BE	15	-880
Thet	N	0934	Pismo	B96A740-7	 	   Ri Wa (NIL)		223	Wild	G9 V M9 V	1	(967-1)	[5844]	BC	14	-378
Thet	B	1008	Dalain	E585000-B	 	    Di 		010	Wild	A3 V	-1	(400-1)	[0000]	B	13	-4
Thet	F	1016	Langley	E594000-8	 	    Di 		021	Wild	F8 III	-3	(A00+2)	[0000]	B	13	20
Thet	F	1020	Nervay	D656457-1	 	  Ga Ni Pa 		310	Wild	A3 III	-3	(631-3)	[1126]	Bc	11	-54
Thet	J	1021	Fesnay	C66A455-9	 	   Ni Wa 		320	Wild	K1 V M0 V D	-1	(932-2)	[336C]	B	6	-108
Thet	J	1022	Wolfen	D550000-B	 	  De Di Po 		012	Wild	G4 V D	-1	(A00-2)	[0000]	B	13	-20
Thet	J	1023	Ugnes	D100000-7	 	  Di Na Va 		000	Wild	M9 II	-3	(800+1)	[0000]	B	6	8
Thet	J	1024	Magnar	X585000-7	 	    Di 		022	Wild	G4 V	-3	(300+1)	[0000]	B	10	3
Thet	J	1025	Dedas	C5357AB-5	 	     (NIL)		231	Wild	K0 IV D	-1	(966+3)	[7612]	B	9	972
Thet	J	1028	Qutan	D8A4000-8	 	   Di Fl 		011	Wild	F0 V	-3	(500-1)	[0000]	B	9	-5
Thet	J	1030	Eggart	E300000-7	 	   Di Va 		020	Wild	G0 V	-3	(300-2)	[0000]	B	12	-6
Thet	N	1031	Snowdon	C666ACC-5	 	   Ga Hi (NIL)		232	Wild	F0 V G0 V	0	(C97+2)	[AA52]	BE	16	1512
Thet	N	1036	Westmount	X553000-6	 	   Di Po 		010	Wild	G2 V	-3	(400-3)	[0000]	B	7	-12
Thet	N	1037	Poserdon	D656000-B	 	   Di Ga 		030	Wild	M3 V M8 V	-1	(700+1)	[0000]	B	11	7
Thet	B	1101	Ivorholm	D534777-4	 	     (NIL)		203	Wild	F0 V M7 V	-2	(967+1)	[6544]	B	9	378
Thet	B	1102	Perx	E423000-B	 	   Di Po 		010	Wild	G9 V M0 V	-1	(500-2)	[0000]	B	9	-10
Thet	F	1117	Colophon	D420000-A	 	  De He Di Po 		020	Wild	K8 V	-1	(800+1)	[0000]	B	10	8
Thet	F	1120	Honiara	E00078D-7	 	   As Va Na Pi 		230	Wild	K4 V	-2	(967+1)	[4555]	BD	11	378
Thet	J	1122	Caloran	A86A589-9	 	  Ni Pr Wa 		411	Wild	M0 V	0	(941-2)	[557E]	Bc	11	-72
Thet	J	1126	Binikin	C67A8AA-7	 	  Ph Pi Wa (NIL)		231	Wild	F4 V D	-1	(A75+2)	[8755]	BDe	10	700
Thet	J	1128	Sopich	B5A0773-8	 	    He (ENIL)		211	Wild	K9 V	0	(B6B+1)	[A74A]	B	6	726
Thet	N	1131	Chao Kwan	D542000-A	 	  Di He Po 		020	Wild	G1 V	-1	(600-1)	[0000]	B	13	-6
Thet	N	1132	Constantine	X988000-4	 	    Di 		021	Wild	K9 V D	-3	(300+1)	[0000]	B	11	3
Thet	N	1137	Port Eoyel	E659000-9	 	    Di 		010	Wild	K3 IV D K3 V	-2	(600+1)	[0000]	B	9	6
Thet	B	1201	Falcon	D539000-6	 	    Di 		020	Wild	M2 V M4 V	-3	(800-1)	[0000]	B	11	-8
Thet	B	1202	Attaray	C766410-5	 	  Ga Ni Pa 		532	Wild	G7 V	-2	(831+1)	[3212]	Bc	12	24
