Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Thet	A	0104	Antares	B575684-8	 	     Ag Ni 		312	NaHu	G0 V G7 V M2 V	0	(B54-2)	[4636]	BC	13	-440
1323	Thet	A	0104	Antares	X575000-8	 	      Di 		012	Wild	G0 V G7 V M2 V	-3	(B00+1)	[0000]	B	13	11
1508	Thet	A	0104	Antares	X575000-8	 	      Di 		012	Wild	G0 V G7 V M2 V	-3	(B00+1)	[0000]	B	13	11
1900	Thet	A	0104	Antares	X575000-8	 	      Di 		012	Wild	G0 V G7 V M2 V	-3	(B00-3)	[0000]	B	13	-33

1105	Thet	A	0110	Peladons	A772585-A	 	      He Ni 		700	KPel	G4 V	2	(745-1)	[3738]	B	4	-140
1323	Thet	A	0110	Peladons	D772000-A	 	      Di He 		000	Wild	G4 V	-1	(700+2)	[0000]	B	4	14
1508	Thet	A	0110	Peladons	D772000-A	 	      Di He 		000	Wild	G4 V	-1	(700-2)	[0000]	B	4	-14
1900	Thet	A	0110	Peladons	D772000-A	 	      Di He 		000	Wild	G4 V	-1	(700+3)	[0000]	B	4	21

1105	Thet	E	0111	Gaxfield	C438279-7	 	     Lo 		420	KPel	M4 II	-2	(410-1)	[3168]	B	8	-4
1323	Thet	E	0111	Gaxfield	E438000-7	 	     Di 		020	Wild	M4 II	-3	(400+2)	[0000]	B	8	8
1508	Thet	E	0111	Gaxfield	E438000-7	 	     Di 		020	Wild	M4 II	-3	(400+1)	[0000]	B	8	4
1900	Thet	E	0111	Gaxfield	E438000-7	 	     Di 		020	Wild	M4 II	-3	(400-3)	[0000]	B	8	-12

1105	Thet	E	0112	Melham	E9A5588-8	 	    Fl Ni Px 		820	KPel	F7 V D	-3	(941-3)	[5258]	B	7	-108
1323	Thet	E	0112	Melham	E9A5000-8	 	    Di Fl Px 		020	Wild	F7 V D	-3	(900-4)	[0000]	B	7	-36
