Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Touc	A	0103	Eaeu	E556000-6	 	     Di 		022	Wild	F0 V	-3	(500-1)	[0000]	B	10	-5
Touc	A	0105	Ehuah	D5A0000-8	 	     Di He 		002	Wild	M2 V	-3	(900-2)	[0000]	B	10	-18
Touc	A	0106	Ealo	C737775-7	 	      (NIL)		423	Wild	M3 V	-1	(665-4)	[5686]	B	10	-720
Touc	A	0107	Ahryeao	C55349A-7	 	     Ni Po 		204	Wild	F7 V	-2	(730+1)	[3244]	B	15	21
Touc	A	0108	Khtaitelro	E343000-6	 	     Di Po 		004	Wild	F3 V D	-3	(600-1)	[0000]	B	11	-6
Touc	A	0109	Iwialreio	D410000-8	 	     Di 		003	Wild	F8 V M3 V M5 V	-3	(A00+1)	[0000]	B	7	10
Touc	A	0110	Ause	X340000-7	 	      De He Di Po 		003	Wild	F6 V M4 V D	-3	(600-1)	[0000]	B	14	-6
Touc	E	0113		X100000-0	 	     Ba Va 		010	Wild	G4 III	-3	(500+1)	[0000]	B	10	5
Touc	E	0114		X547000-0	 	     Ba 		002	Wild	F5 V	-3	(800+3)	[0000]	B	10	24
Touc	E	0116	Yukheawealruahiykh	E474000-9	 	      Di 		003	Wild	F0 V	-2	(A00+2)	[0000]	B	12	20
Touc	E	0118	VF-221-X	X8B3000-0	 	     Ba Fl 		004	Wild	G6 V D	-3	(B00-1)	[0000]	B	11	-11
Touc	E	0120		X312000-0	 	     Ba Ic 		004	Wild	G3 V D	-3	(500-2)	[0000]	B	11	-10
Touc	M	0134		X231000-0	 	     Ba Po 		014	Wild	M2 IV	-3	(B00-1)	[0000]	B	8	-11
Touc	M	0139	Silenne	X64979A-1	 	      Pi (NIL)		320	Wild	G4 V	-2	(867+1)	[7524]	BD	5	336
Touc	A	0202	Yaihye	C30077C-6	 	      Na Pi Va 		514	Wild	G4 IV	-1	(367+3)	[B6A1]	BD	13	378
Touc	A	0208	Kayue	D795000-6	 	      Di 		010	Wild	F0 V	-3	(700+1)	[0000]	B	11	7
Touc	E	0212	Ahikhoiweala	D789536-3	 	     Ni Pr 		903	Wild	F3 V	-3	(A43-1)	[6222]	Bc	11	-120
Touc	E	0217		X522000-0	 	     Ba He Po 		003	Wild	G1 III	-3	(600+4)	[0000]	B	12	24
Touc	E	0219		X757000-0	 	     Ba Ga 		002	Wild	F0 V	-3	(700-3)	[0000]	B	9	-21
Touc	I	0221	Caplis	X341000-A	 	     Di He Po 		003	Wild	F6 V	-1	(800+1)	[0000]	B	12	8
Touc	M	0235		X100000-0	 	     Ba Va 		010	Wild	M9 IV D	-3	(A00+1)	[0000]	B	8	10
Touc	A	0303	Tuktaiyweah	C585533-7	 	      Ag Pr Ni 		111	Wild	F8 V	-1	(644+1)	[5413]	BcC	14	96
Touc	A	0306	Hkeahkiy	D867000-6	 	     Di Ga 		023	Wild	F4 V	-3	(800+4)	[0000]	B	15	32
Touc	E	0312	Tlerahkaoii	B361541-A	 	     Ni Pr 		810	Wild	F5 V M9 V D	1	(846-4)	[664E]	Bc	9	-768
Touc	E	0316	Uiwyehih	X578000-8	 	     Di 		003	Wild	F3 V	-3	(A00+1)	[0000]	B	7	10
Touc	E	0317	Eeiwiraikh	X655000-9	 	     Di Ga 		003	Wild	F6 V	-2	(900-4)	[0000]	B	12	-36
Touc	A	0403	Hleai	C659655-8	 	     Ni 		303	Wild	F6 V M7 V D	-2	(952+5)	[7423]	B	10	450
Touc	E	0411	Khtaktatawes	BA9A894-6	 	     Oc Ph Pi (NIL)		300	Wild	F1 V	0	(57A+1)	[6899]	BDe	11	350
Touc	E	0413	Feirirlakh	B895852-E	 	      Pa Pi Ph (NIL)		222	Wild	F4 V D	2	(E78+4)	[7A7D]	BcDe	14	3136
Touc	E	0414	Ie	E552000-7	 	     Di Po 		004	Wild	F8 V	-3	(300+1)	[0000]	B	12	3
Touc	E	0415	Heaeailoilao	E300000-8	 	     Di Va 		001	Wild	M6 V D	-3	(800+4)	[0000]	B	9	32
Touc	E	0417	Htoi'uh	E626000-7	 	     Di 		004	Wild	M7 III D	-3	(400+1)	[0000]	B	13	4
