Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Touc	A	0103	Eaeu	C556327-6	 	    Lo 		522	AsSc	F0 V	-2	(520+2)	[2114]	B	10	20
1323	Touc	A	0103	Eaeu	X556000-6	 	    Di 		022	Wild	F0 V	-3	(500+2)	[0000]	B	10	10
1508	Touc	A	0103	Eaeu	X556000-6	 	    Di 		022	Wild	F0 V	-3	(500-1)	[0000]	B	10	-5
1900	Touc	A	0103	Eaeu	X556000-6	 	    Di 		022	Wild	F0 V	-3	(500+1)	[0000]	B	10	5

1105	Touc	A	0105	Ehuah	C5A0556-8	 	   He Ni 		202	AsSc	M2 V	-2	(941-2)	[8357]	B	10	-72
1323	Touc	A	0105	Ehuah	C5A0556-6	 	   He Ni 		102	Wild	M2 V	-2	(744+1)	[8398]	B	10	112
1508	Touc	A	0105	Ehuah	C5A0555-7	 	   He Ni 		102	Wild	M2 V	-2	(740+1)	[437C]	B	10	28
1900	Touc	A	0105	Ehuah	C5A0535-7	 	   He Ni 		202	Wild	M2 V	-2	(741+1)	[5387]	B	10	28

1105	Touc	A	0106	Ealo	C737776-7	 	     (NIL)		823	AsVc	M3 V	-1	(664+2)	[7675]	B	10	288
1323	Touc	A	0106	Ealo	C737773-5	 	     (NIL)		423	Wild	M3 V	-1	(66A-4)	[5672]	B	10	-1440
1508	Touc	A	0106	Ealo	C737773-6	 	     (NIL)		523	Wild	M3 V	-1	(667+1)	[8615]	B	10	252
1900	Touc	A	0106	Ealo	C737799-7	 	     (NIL)		423	Wild	M3 V	-1	(664-4)	[A657]	B	10	-576

1105	Touc	A	0107	Ahryeao	C553551-8	 	   Ni Po 		404	AsMw	F7 V	-2	(B42+1)	[3376]	B	15	88
1323	Touc	A	0107	Ahryeao	C553573-5	 	   Ni Po 		204	Wild	F7 V	-2	(740-1)	[6335]	B	15	-28
1508	Touc	A	0107	Ahryeao	C553575-6	 	   Ni Po 		304	Wild	F7 V	-2	(740+3)	[1365]	B	15	84
1900	Touc	A	0107	Ahryeao	C553579-7	 	   Ni Po 		304	Wild	F7 V	-2	(740-2)	[A386]	B	15	-56

1105	Touc	A	0108	Khtaitelro	C343233-6	 	   Lo Po 		104	AsSc	F3 V D	-2	(610+3)	[3159]	B	11	18
1323	Touc	A	0108	Khtaitelro	D343000-6	 	   Di Po 		004	Wild	F3 V D	-3	(600-1)	[0000]	B	11	-6
1508	Touc	A	0108	Khtaitelro	D343000-6	 	   Di Po 		004	Wild	F3 V D	-3	(600+1)	[0000]	B	11	6
1900	Touc	A	0108	Khtaitelro	D343000-6	 	   Di Po 		004	Wild	F3 V D	-3	(600+4)	[0000]	B	11	24

1105	Touc	A	0109	Iwialreio	C410336-8	 	    Lo 		703	AsSc	F8 V M3 V M5 V	-2	(A20+3)	[2155]	B	7	60
1323	Touc	A	0109	Iwialreio	E410000-8	 	    Di 		003	Wild	F8 V M3 V M5 V	-3	(A00-3)	[0000]	B	7	-30
1508	Touc	A	0109	Iwialreio	E410000-8	 	    Di 		003	Wild	F8 V M3 V M5 V	-3	(A00+1)	[0000]	B	7	10
1900	Touc	A	0109	Iwialreio	E410000-8	 	    Di 		003	Wild	F8 V M3 V M5 V	-3	(A00+1)	[0000]	B	7	10

1105	Touc	A	0110	Ause	C340344-7	 	  De He Lo Po 		303	AsSc	F6 V M4 V D	-2	(620+1)	[4176]	B	14	12
1323	Touc	A	0110	Ause	E340000-7	 	  De He Di Po 		003	Wild	F6 V M4 V D	-3	(600+1)	[0000]	B	14	6
1508	Touc	A	0110	Ause	E340000-7	 	  De He Di Po 		003	Wild	F6 V M4 V D	-3	(600+1)	[0000]	B	14	6
1900	Touc	A	0110	Ause	E340000-7	 	  De He Di Po 		003	Wild	F6 V M4 V D	-3	(600-5)	[0000]	B	14	-30

1105	Touc	E	0113		X100000-0	 	   Ba Va 		010	NaXX	G4 III	-3	(500+2)	[0000]	B	10	10
1323	Touc	E	0113		X100000-0	 	   Ba Va 		010	Wild	G4 III	-3	(500-4)	[0000]	B	10	-20
1508	Touc	E	0113		X100000-0	 	   Ba Va 		010	Wild	G4 III	-3	(500+1)	[0000]	B	10	5
1900	Touc	E	0113		X100000-0	 	   Ba Va 		010	Wild	G4 III	-3	(500+1)	[0000]	B	10	5

1105	Touc	E	0114		X547000-0	 	    Ba 		002	NaXX	F5 V	-3	(800+1)	[0000]	B	10	8
1323	Touc	E	0114		X547000-0	 	    Ba 		002	Wild	F5 V	-3	(800+1)	[0000]	B	10	8
1508	Touc	E	0114		X547000-0	 	    Ba 		002	Wild	F5 V	-3	(800+2)	[0000]	B	10	16
1900	Touc	E	0114		X547000-0	 	    Ba 		002	Wild	F5 V	-3	(800+2)	[0000]	B	10	16

1105	Touc	E	0116	Yukheawealruahiykh	E474570-9	 	   Ag Ni 		503	NaXX	F0 V	-1	(A40+1)	[5456]	BC	12	40
1323	Touc	E	0116	Yukheawealruahiykh	E474000-9	 	    Di 		003	Wild	F0 V	-2	(A00+5)	[0000]	B	12	50
1508	Touc	E	0116	Yukheawealruahiykh	E474000-9	 	    Di 		003	Wild	F0 V	-2	(A00+1)	[0000]	B	12	10
1900	Touc	E	0116	Yukheawealruahiykh	E474000-9	 	    Di 		003	Wild	F0 V	-2	(A00-4)	[0000]	B	12	-40

1105	Touc	E	0118	VF-221-X	X8B3000-0	 	   Ba Fl 		004	NaXX	G6 V D	-3	(B00-1)	[0000]	B	11	-11
1323	Touc	E	0118	VF-221-X	X8B3000-0	 	   Ba Fl 		004	Wild	G6 V D	-3	(B00+2)	[0000]	B	11	22
1508	Touc	E	0118	VF-221-X	X8B3000-0	 	   Ba Fl 		004	Wild	G6 V D	-3	(B00-2)	[0000]	B	11	-22
1900	Touc	E	0118	VF-221-X	X8B3000-0	 	   Ba Fl 		004	Wild	G6 V D	-3	(B00-3)	[0000]	B	11	-33

1105	Touc	E	0120		X312000-0	 	   Ba Ic 		004	NaXX	G3 V D	-3	(500-3)	[0000]	B	11	-15
1323	Touc	E	0120		X312000-0	 	   Ba Ic 		004	Wild	G3 V D	-3	(500+1)	[0000]	B	11	5
1508	Touc	E	0120		X312000-0	 	   Ba Ic 		004	Wild	G3 V D	-3	(500+1)	[0000]	B	11	5
1900	Touc	E	0120		X312000-0	 	   Ba Ic 		004	Wild	G3 V D	-3	(500+4)	[0000]	B	11	20

1105	Touc	M	0134		X231000-0	 	   Ba Po 		014	NaXX	M2 IV	-3	(B00-4)	[0000]	B	8	-44
1323	Touc	M	0134		X231000-0	 	   Ba Po 		014	Wild	M2 IV	-3	(B00-3)	[0000]	B	8	-33
1508	Touc	M	0134		X231000-0	 	   Ba Po 		014	Wild	M2 IV	-3	(B00-3)	[0000]	B	8	-33
1900	Touc	M	0134		X231000-0	 	   Ba Po 		014	Wild	M2 IV	-3	(B00+2)	[0000]	B	8	22

1105	Touc	M	0139	Silenne	X649872-1	 	   Ph Pi (NIL)		120	NaXX	G4 V	-2	(870-2)	[C611]	BDe	5	-112
1323	Touc	M	0139	Silenne	X64969E-0	 	    Ni (NIL)		520	Wild	G4 V	-3	(850-4)	[A384]	B	5	-160
1508	Touc	M	0139	Silenne	X649641-0	 	    Ni (NIL)		420	Wild	G4 V	-3	(850-2)	[2341]	B	5	-80
1900	Touc	M	0139	Silenne	X649676-1	 	    Ni (NIL)		420	Wild	G4 V	-3	(853+3)	[5352]	B	5	360

1105	Touc	A	0202	Yaihye	C300767-6	 	   Na Pi Va 		814	AsSc	G4 IV	-1	(364+4)	[8667]	BD	13	288
1323	Touc	A	0202	Yaihye	C30077B-4	 	   Na Pi Va 		414	Wild	G4 IV	-1	(366-2)	[A643]	BD	13	-216
1508	Touc	A	0202	Yaihye	C300753-6	 	   Na Pi Va 		514	Wild	G4 IV	-1	(367+1)	[8668]	BD	13	126
1900	Touc	A	0202	Yaihye	C3007B8-6	 	   Na Pi Va 		614	Wild	G4 IV	-1	(36A-2)	[76A7]	BD	13	-360

1105	Touc	A	0208	Kayue	C795653-6	 	   Ag Ni 		610	AsMw	F0 V	-1	(753+3)	[9543]	BC	11	315
1323	Touc	A	0208	Kayue	X795000-6	 	    Di 		010	Wild	F0 V	-3	(700+1)	[0000]	B	11	7
1508	Touc	A	0208	Kayue	X795000-6	 	    Di 		010	Wild	F0 V	-3	(700-1)	[0000]	B	11	-7
1900	Touc	A	0208	Kayue	X795000-6	 	    Di 		010	Wild	F0 V	-3	(700+2)	[0000]	B	11	14

1105	Touc	E	0212	Ahikhoiweala	D789650-3	 	   Ni Ri 		203	AsVc	F3 V	-2	(A50+2)	[3471]	BC	11	100
1323	Touc	E	0212	Ahikhoiweala	D7896A8-0	 	   Ni Ri 		103	Wild	F3 V	-2	(A50+1)	[3451]	BC	11	50
1508	Touc	E	0212	Ahikhoiweala	D7895AB-2	 	   Ni Pr 		903	Wild	F3 V	-3	(A40+3)	[2261]	Bc	11	120
1900	Touc	E	0212	Ahikhoiweala	D789640-2	 	   Ni Ri 		103	Wild	F3 V	-2	(A50-3)	[6424]	BC	11	-150

1105	Touc	E	0217		X522000-0	 	  Ba He Po 		003	NaXX	G1 III	-3	(600+2)	[0000]	B	12	12
1323	Touc	E	0217		X522000-0	 	  Ba He Po 		003	Wild	G1 III	-3	(600-3)	[0000]	B	12	-18
1508	Touc	E	0217		X522000-0	 	  Ba He Po 		003	Wild	G1 III	-3	(600-1)	[0000]	B	12	-6
1900	Touc	E	0217		X522000-0	 	  Ba He Po 		003	Wild	G1 III	-3	(600-3)	[0000]	B	12	-18

1105	Touc	E	0219		X757000-0	 	   Ba Ga 		002	NaXX	F0 V	-3	(700-3)	[0000]	B	9	-21
1323	Touc	E	0219		X757000-0	 	   Ba Ga 		002	Wild	F0 V	-3	(700-3)	[0000]	B	9	-21
1508	Touc	E	0219		X757000-0	 	   Ba Ga 		002	Wild	F0 V	-3	(700-1)	[0000]	B	9	-7
1900	Touc	E	0219		X757000-0	 	   Ba Ga 		002	Wild	F0 V	-3	(700+1)	[0000]	B	9	7

1105	Touc	I	0221	Caplis	C341300-A	 	  He Lo Po 		203	NaXX	F6 V	0	(820+1)	[3348]	B	12	16
1323	Touc	I	0221	Caplis	D341000-A	 	  Di He Po 		003	Wild	F6 V	-1	(800+2)	[0000]	B	12	16
1508	Touc	I	0221	Caplis	D341000-A	 	  Di He Po 		003	Wild	F6 V	-1	(800+1)	[0000]	B	12	8
1900	Touc	I	0221	Caplis	D341000-A	 	  Di He Po 		003	Wild	F6 V	-1	(800+3)	[0000]	B	12	24

1105	Touc	M	0235		X100000-0	 	   Ba Va 		010	NaXX	M9 IV D	-3	(A00+3)	[0000]	B	8	30
1323	Touc	M	0235		X100000-0	 	   Ba Va 		010	Wild	M9 IV D	-3	(A00+3)	[0000]	B	8	30
1508	Touc	M	0235		X100000-0	 	   Ba Va 		010	Wild	M9 IV D	-3	(A00-2)	[0000]	B	8	-20
1900	Touc	M	0235		X100000-0	 	   Ba Va 		010	Wild	M9 IV D	-3	(A00-1)	[0000]	B	8	-10

