Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Troj	A	0103	Taltern	E530000-6	 	  De Di Po 		002	Wild	M2 V M2 V	-3	(400+2)	[0000]	B	7	8
Troj	A	0110	Bilke	D987000-7	 	    Di 		002	Wild	F0 V	-3	(500+4)	[0000]	B	6	20
Troj	E	0116	Daruf	D540000-5	 	  De He Di Po 		013	Wild	F6 V	-3	(500-1)	[0000]	B	12	-5
Troj	E	0119	Bolsush	D585653-5	 	   Ag Ri Ni (NIL)		511	Wild	F2 V M0 V	-1	(954+1)	[457A]	BC	7	180
Troj	I	0122	Aftye	X560000-D	 	   De Di 		013	Wild	F8 V	-1	(900+1)	[0000]	B	7	9
Troj	I	0126	Ahaikhea	E422000-9	 	  Di He Po 		001	Wild	F7 III M7 V	-2	(700+1)	[0000]	B	14	7
Troj	I	0127	Eawatrye	X8B5000-C	 	   Di Fl (ENIL)		003	Wild	M1 V M7 V	-1	(C00+1)	[0000]	B	12	12
Troj	I	0129	Tyea'ih	B548833-8	 	   Pa Pi Ph (NIL)		305	Wild	K3 V M5 V	0	(F78-1)	[7813]	BcDe	11	-840
Troj	I	0130	Oiauh	B1018AD-B	 	  Ic Va Na Pi Ph 		402	Wild	F4 V	2	(C77-1)	[5A2A]	BDe	10	-588
Troj	M	0132	Ftyewirl	B556300-A	 	    Lo 		520	Wild	K4 V	1	(821-4)	[3499]	B	13	-64
Troj	M	0134	Elahkoi	C568402-8	 	   Ni Pa 		322	Wild	K2 V	-2	(B33-5)	[1219]	Bc	9	-495
Troj	M	0135	Uiwuar	E101000-E	 	   Di Ic Va 		005	Wild	F1 V M4 V	-1	(800+2)	[0000]	B	11	16
Troj	M	0139	Ealea	X576000-9	 	    Di 		000	Wild	G5 V D	-2	(700+2)	[0000]	B	8	14
Troj	A	0201	Szirp	A436520-B	 	    Ni 		400	Wild	M8 V	1	(744+1)	[468C]	B	9	112
Troj	A	0202	Sam's World	E100886-4	 	  Na Pi Ph Va 		403	Wild	G7 V	-2	(A76+4)	[9695]	BDe	14	1680
Troj	A	0204	Dustpan	A550725-7	 	   De Po (NIL)		400	Wild	F2 V	0	(963+2)	[9712]	B	12	324
Troj	A	0209	Heath	B5875AA-9	 	   Ag Pr Ni 		322	Wild	K2 V M6 V	1	(B47-2)	[4655]	BcC	8	-616
Troj	A	0210	Vip	X421000-D	 	  Di He Na Po 		004	Wild	M8 V	-1	(C00-4)	[0000]	B	15	-48
Troj	E	0213	Floria	A5679A5-C	 	  An Cx Hi Pr (NIL)		304	Wild	F5 V M8 V	3	(F8A-2)	[BC7E]	BcE	12	-2400
Troj	E	0218	Vorn	B611677-7	 	  Ic Na Ni 		213	Wild	M0 V	-1	(850+3)	[4528]	B	13	120
Troj	E	0220	Thrush	D436000-C	 	    Di 		012	Wild	M1 V	-1	(700+1)	[0000]	B	14	7
Troj	I	0222	Dalfi	X550000-9	 	  De Di Po 		010	Wild	F4 V M3 V	-2	(600-2)	[0000]	B	9	-12
Troj	I	0223	Khteiatloilr	X423000-C	 	   Di Px Po 		004	Wild	F7 V	-1	(A00-5)	[0000]	B	9	-50
Troj	I	0224	Ewoiftoil	D546000-A	 	    Di 		010	Wild	F3 V	-1	(900+1)	[0000]	B	9	9
Troj	I	0227	H'a	D657000-6	 	   Di Ga 		002	Wild	F4 V	-3	(600-3)	[0000]	B	13	-18
Troj	I	0229	Hreahrya	B433A7B-B	 	   Hi Na Po (NIL)		424	Wild	K0 V	3	(J96+3)	[DD5B]	BE	12	2916
Troj	M	0232	Yekhtia	E423000-B	 	   Di Px Po 		011	Wild	G0 V M8 V	-1	(700-4)	[0000]	B	11	-28
Troj	M	0234	Aehahr	X100000-C	 	   Di Va 		022	Wild	M7 V M9 V	-1	(A00+2)	[0000]	B	15	20
Troj	M	0236	Ftoakh	E673A97-8	 	   Hi In (NIL)		100	Wild	F4 V M9 V M7 V	0	(C99+1)	[8A36]	BE	10	972
Troj	M	0240	Aohfeau	B9987C9-8	 	    Ag Pi (NIL)		320	Wild	F3 V M8 V	1	(B67+1)	[6864]	BCD	14	462
Troj	A	0307	Crescent	B4207BE-5	 	   De He Na Pi Po (NIL)		404	Wild	M1 V	0	(967+3)	[4751]	BD	16	1134
Troj	A	0310	Trossachs	B897ACD-9	 	   Hi In (NIL)		102	Wild	F6 V	3	(E9B-1)	[AD89]	BE	7	-1386
Troj	E	0317	Insec	D421000-E	 	  Di He Po 		003	Wild	M8 V M9 V	-1	(A00-3)	[0000]	B	11	-30
Troj	E	0318	Fissolon	E69A6BD-6	 	   Ni Wa (NIL)		505	Wild	F7 V	-3	(951-3)	[3387]	B	13	-135
Troj	E	0319	Kabal	E587000-B	 	    Di 		014	Wild	F8 V D	-1	(800+2)	[0000]	B	16	16
Troj	E	0320	Cimmen	E7C0000-9	 	   Di He 		001	Wild	M2 V M3 V	-2	(400+1)	[0000]	B	9	4
Troj	I	0321	Nora'a	A585526-8	 	   Ag Pr Ni 		400	Wild	K4 V	0	(843+1)	[5565]	BcC	11	96
Troj	I	0322	Iryao	A558884-A	 	   Pa Ph (NIL)		220	Wild	F1 V	2	(C78-3)	[BA86]	Bce	14	-2016
Troj	I	0328	Suiaoir	X651000-B	 	   Di Po 		004	Wild	F6 V	-1	(900+2)	[0000]	B	11	18
Troj	I	0329	Hkaha	E897000-A	 	    Di 		003	Wild	M4 V M6 V	-1	(B00+3)	[0000]	B	11	33
Troj	M	0332	Hkesuh	B9A4647-8	 	  Fl Ni Px (ENIL)		522	Wild	M4 V	-1	(D54+2)	[456D]	B	13	520
Troj	M	0335	Eaweiya	A54067C-8	 	  De He Ni Po 		310	Wild	K7 V M3 V	-1	(950-2)	[151C]	B	11	-90
Troj	M	0336	Awo	X530000-A	 	  De Di Po 		024	Wild	M2 V	-1	(B00-1)	[0000]	B	14	-11
Troj	M	0338	Aiyostea	B200674-7	 	  Na Ni Va 		405	Wild	M5 V D	-1	(854+2)	[1568]	B	13	320
Troj	A	0403	Marseilles	D540000-7	 	  De He Di Po 		002	Wild	M4 V M6 V	-3	(500-3)	[0000]	B	8	-15
Troj	A	0404	Paques	D9E6436-1	 	    Ni 		123	Wild	M2 V D	-3	(630+5)	[2171]	B	17	90
Troj	A	0408	Viceroy	B8D3447-A	 	    Ni 		304	Wild	G6 V M1 V	1	(B37-2)	[658E]	B	8	-462
Troj	E	0415	Tibolt	C575730-6	 	    Ag Pi (NIL)		300	Wild	F2 V M3 V	0	(96C+1)	[C756]	BCD	12	648
Troj	E	0416	Lucind	B560599-8	 	  De Ni Pr 		302	Wild	F4 V	-1	(A40+3)	[5428]	Bc	9	120
Troj	E	0417	Picard	D679000-7	 	    Di 		002	Wild	F7 V M4 V	-3	(800+1)	[0000]	B	5	8
Troj	E	0418	Tefsi	E994000-B	 	    Di 		015	Wild	M4 V M6 V	-1	(C00+1)	[0000]	B	14	12
Troj	I	0425	Khtyekt	B20069C-6	 	  Na Ni Va 		313	Wild	M9 V	-1	(854-2)	[B555]	B	12	-320
Troj	I	0426	Osototail	E5508AE-4	 	  De Ph Po (NIL)		204	Wild	F2 V	-2	(A75+1)	[6674]	Be	8	350
Troj	I	0429	Aowaih	B586626-8	 	   Ag Ri Ni 		123	Wild	F1 V M4 V	1	(D52+1)	[6757]	BC	15	130
Troj	I	0430	Khi	B987522-9	 	   Ag Pr Ni 		411	Wild	F3 V	1	(944+1)	[A69A]	BcC	11	144
Troj	M	0431	Hfa'yuweas	E555000-B	 	    Di 		005	Wild	F3 V M4 V	-1	(A00+5)	[0000]	B	10	50
Troj	A	0503	Allemagne	X688000-0	 	    Ba 		020	Wild	M0 V M1 V	-3	(200+1)	[0000]	B	9	2
Troj	A	0504	Sable des Etoiles	B0008AE-B	 	  As Va Na Pi Ph 		221	Wild	F8 V M4 V	2	(D7A+5)	[7A3C]	BDe	16	4550
Troj	A	0505	Strend	B436ACB-C	 	   Cx Hi (NIL)		402	Wild	F4 V	3	(E97+1)	[CD5C]	BE	8	882
Troj	A	0510	Halka	B865577-8	 	  Ag Pr Ga Ni 		413	Wild	M9 III	0	(B43-1)	[656C]	BcC	13	-132
Troj	E	0516	Garnl	E884952-7	 	   Hi Pr (NIL)		404	Wild	K0 V M8 V	-1	(B85-1)	[A894]	BcE	11	-440
Troj	I	0523	Vadada	A41099A-C	 	   Hi Na In 		402	Wild	F9 V M5 V	4	(D8B+1)	[8D4A]	BEf	11	1144
Troj	I	0525	Elihfoirl	E553000-D	 	   Di Po 		001	Wild	K0 V	-1	(500+1)	[0000]	B	7	5
Troj	I	0528	Ftaleirl	E530000-8	 	  De Di Po 		002	Wild	M8 V	-3	(700-4)	[0000]	B	12	-28
Troj	I	0529	Oihyeti'he	B779742-9	 	    Pi (NIL)		403	Wild	F4 V	1	(C6A+2)	[A84A]	BD	10	1440
Troj	I	0530	Souftea	A551750-B	 	    Po (NIL)		401	Wild	F9 V M3 V	2	(A66+1)	[59A8]	B	6	360
Troj	M	0531	Oseweheal	D79A000-C	 	   Di Wa 		003	Wild	F7 V M9 V M0 V	-1	(B00+1)	[0000]	B	12	11
Troj	M	0534	Uaeakhea	D530000-8	 	 An De Di Po 		014	Wild	F6 V	-3	(A00-4)	[0000]	B	13	-40
Troj	M	0536	Teharl	D654000-A	 	    Di 		020	Wild	F3 V M7 V	-1	(800+1)	[0000]	B	13	8
Troj	A	0608	Armada	E540000-A	 	  De He Di Po 		000	Wild	G9 V	-1	(400-3)	[0000]	B	5	-12
Troj	A	0609	Adhara	E57A000-8	 	   Di Wa 		002	Wild	F2 V M9 V	-3	(A00+3)	[0000]	B	8	30
Troj	E	0614	Boronu	B966656-9	 	   Ag Ri Ni (NIL)		502	Wild	F4 V M1 V	2	(B58-4)	[9889]	BC	12	-1760
Troj	E	0616	Ilnest	E686000-9	 	   Di Ga 		003	Wild	K5 V M8 V	-2	(800+1)	[0000]	B	12	8
Troj	I	0628	Sei'eal	B510887-9	 	   Na Pi Ph 		200	Wild	F2 V M1 V	1	(A77-4)	[7949]	BDe	10	-1960
Troj	M	0633	Ehearye	A58877B-A	 	    Ag Ri (NIL)		130	Wild	F1 V	4	(C6C-1)	[8B69]	BCf	12	-864
Troj	M	0640	Iysewekh	X520000-E	 	  De He Di Po 		003	Wild	F2 V	-1	(A00-1)	[0000]	B	8	-10
Troj	A	0702	Zephyr	D999000-7	 	    Di 		014	Wild	F6 V	-3	(700-3)	[0000]	B	15	-21
