Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Troj	A	0103	Taltern	E530240-6	 	  De Lo Po 		202	NaHu	M2 V M2 V	-3	(410-5)	[1111]	B	7	-20
1281	Troj	A	0103	Taltern	E530000-6	 	  De Di Po 		002	Wild	M2 V M2 V	-3	(400+2)	[0000]	B	7	8
1508	Troj	A	0103	Taltern	E530000-6	 	  De Di Po 		002	Wild	M2 V M2 V	-3	(400-1)	[0000]	B	7	-4
1900	Troj	A	0103	Taltern	E530000-6	 	  De Di Po 		002	Wild	M2 V M2 V	-3	(400-1)	[0000]	B	7	-4

1105	Troj	A	0110	Bilke	D987341-7	 	    Lo 		202	FlLe	F0 V	-3	(520-5)	[1113]	B	6	-50
1281	Troj	A	0110	Bilke	D987000-7	 	    Di 		002	Wild	F0 V	-3	(500+4)	[0000]	B	6	20
1508	Troj	A	0110	Bilke	D987000-7	 	    Di 		002	Wild	F0 V	-3	(500-5)	[0000]	B	6	-25
1900	Troj	A	0110	Bilke	D987000-7	 	    Di 		002	Wild	F0 V	-3	(500+2)	[0000]	B	6	10

1105	Troj	E	0116	Daruf	D540358-5	 	  De He Lo Po 		213	FlLe	F6 V	-3	(520-3)	[3155]	B	12	-30
1281	Troj	E	0116	Daruf	D540000-5	 	  De He Di Po 		013	Wild	F6 V	-3	(500-1)	[0000]	B	12	-5
1508	Troj	E	0116	Daruf	D540000-5	 	  De He Di Po 		013	Wild	F6 V	-3	(500-1)	[0000]	B	12	-5
1900	Troj	E	0116	Daruf	D540000-5	 	  De He Di Po 		013	Wild	F6 V	-3	(500-2)	[0000]	B	12	-10

1105	Troj	E	0119	Bolsush	D585741-6	 	    Ag Ri (NIL)		111	FlLe	F2 V M0 V	0	(967-4)	[3712]	BC	7	-1512
1281	Troj	E	0119	Bolsush	D585653-5	 	   Ag Ri Ni (NIL)		511	Wild	F2 V M0 V	-1	(954+1)	[457A]	BC	7	180
1508	Troj	E	0119	Bolsush	D585657-6	 	   Ag Ri Ni (NIL)		611	Wild	F2 V M0 V	-1	(955-1)	[4587]	BC	7	-225
1900	Troj	E	0119	Bolsush	D585678-6	 	   Ag Ri Ni (NIL)		711	Wild	F2 V M0 V	-1	(955+3)	[5518]	BC	7	675

1105	Troj	I	0122	Aftye	A560343-D	 	   De Lo 		313	AsVc	F8 V	1	(921-2)	[142A]	B	7	-36
1281	Troj	I	0122	Aftye	X560000-D	 	   De Di 		013	Wild	F8 V	-1	(900+1)	[0000]	B	7	9
1508	Troj	I	0122	Aftye	X560000-D	 	   De Di 		013	Wild	F8 V	-1	(900+2)	[0000]	B	7	18
1900	Troj	I	0122	Aftye	X560000-D	 	   De Di 		013	Wild	F8 V	-1	(900-1)	[0000]	B	7	-9

1105	Troj	I	0126	Ahaikhea	B422423-9	 	  He Ni Po 		101	AsMw	F7 III M7 V	0	(733-3)	[1426]	B	14	-189
1281	Troj	I	0126	Ahaikhea	E422000-9	 	  Di He Po 		001	Wild	F7 III M7 V	-2	(700+1)	[0000]	B	14	7
1508	Troj	I	0126	Ahaikhea	E422000-9	 	  Di He Po 		001	Wild	F7 III M7 V	-2	(700+1)	[0000]	B	14	7
1900	Troj	I	0126	Ahaikhea	E422000-9	 	  Di He Po 		001	Wild	F7 III M7 V	-2	(700+4)	[0000]	B	14	28

1105	Troj	I	0127	Eawatrye	B8B5756-C	 	    Fl (ENIL)		903	AsMw	M1 V M7 V	2	(C6C+1)	[694B]	B	12	864
1281	Troj	I	0127	Eawatrye	X8B5000-C	 	   Di Fl (ENIL)		003	Wild	M1 V M7 V	-1	(C00+1)	[0000]	B	12	12
1508	Troj	I	0127	Eawatrye	X8B5000-C	 	   Di Fl (ENIL)		003	Wild	M1 V M7 V	-1	(C00+4)	[0000]	B	12	48
1900	Troj	I	0127	Eawatrye	X8B5000-C	 	   Di Fl (ENIL)		003	Wild	M1 V M7 V	-1	(C00+4)	[0000]	B	12	48

1105	Troj	I	0129	Tyea'ih	B548889-A	 	   Pa Pi Ph (NIL)		705	AsVc	K3 V M5 V	2	(F7B+3)	[9A6B]	BcDe	11	3465
1281	Troj	I	0129	Tyea'ih	B548833-8	 	   Pa Pi Ph (NIL)		305	Wild	K3 V M5 V	0	(F78-1)	[7813]	BcDe	11	-840
1508	Troj	I	0129	Tyea'ih	B5488CF-9	 	   Pa Pi Ph (NIL)		205	Wild	K3 V M5 V	1	(F7B-4)	[8925]	BcDe	11	-4620
1900	Troj	I	0129	Tyea'ih	B548888-A	 	   Pa Pi Ph (NIL)		105	Wild	K3 V M5 V	2	(F77+1)	[9A46]	BcDe	11	735

1105	Troj	I	0130	Oiauh	B1018B8-D	 	  Ic Va Na Pi Ph 		802	AsT2	F4 V	2	(C7D+2)	[8A5D]	BDe	10	2184
1281	Troj	I	0130	Oiauh	B1018AD-B	 	  Ic Va Na Pi Ph 		402	Wild	F4 V	2	(C77-1)	[5A2A]	BDe	10	-588
1508	Troj	I	0130	Oiauh	B1018BA-C	 	  Ic Va Na Pi Ph 		302	Wild	F4 V	2	(C76+1)	[4A5C]	BDe	10	504
1900	Troj	I	0130	Oiauh	B10188C-D	 	  Ic Va Na Pi Ph 		202	Wild	F4 V	2	(C78-1)	[BA6H]	BDe	10	-672

1105	Troj	M	0132	Ftyewirl	B55648A-B	 	   Ni Pa 		120	AsT5	K4 V	1	(834+3)	[657D]	Bc	13	288
1281	Troj	M	0132	Ftyewirl	B556300-A	 	    Lo 		520	Wild	K4 V	1	(821-4)	[3499]	B	13	-64
1508	Troj	M	0132	Ftyewirl	B556301-B	 	    Lo 		420	Wild	K4 V	1	(821+3)	[441E]	B	13	48
1900	Troj	M	0132	Ftyewirl	B556300-C	 	    Lo 		520	Wild	K4 V	1	(821-1)	[548D]	B	13	-16

1105	Troj	M	0134	Elahkoi	C568587-9	 	   Ag Pr Ni 		722	AsVc	K2 V	0	(B44+1)	[5559]	BcC	9	176
1281	Troj	M	0134	Elahkoi	C568402-8	 	   Ni Pa 		322	Wild	K2 V	-2	(B33-5)	[1219]	Bc	9	-495
1508	Troj	M	0134	Elahkoi	C568474-8	 	   Ni Pa 		222	Wild	K2 V	-2	(B33+2)	[4276]	Bc	9	198
1900	Troj	M	0134	Elahkoi	C568477-9	 	   Ni Pa 		122	Wild	K2 V	-1	(B30-3)	[6354]	Bc	9	-99

1105	Troj	M	0135	Uiwuar	B101115-E	 	   Ic Va Lo 		605	AsMw	F1 V M4 V	1	(801-1)	[123C]	B	11	-8
1281	Troj	M	0135	Uiwuar	E101000-E	 	   Di Ic Va 		005	Wild	F1 V M4 V	-1	(800+2)	[0000]	B	11	16
1508	Troj	M	0135	Uiwuar	E101000-E	 	   Di Ic Va 		005	Wild	F1 V M4 V	-1	(800-1)	[0000]	B	11	-8
1900	Troj	M	0135	Uiwuar	E101000-E	 	   Di Ic Va 		005	Wild	F1 V M4 V	-1	(800-2)	[0000]	B	11	-16

1105	Troj	M	0139	Ealea	B576587-9	 	   Ag Ni 		200	AsMw	G5 V D	1	(745+1)	[5659]	BC	8	140
1281	Troj	M	0139	Ealea	X576000-9	 	    Di 		000	Wild	G5 V D	-2	(700+2)	[0000]	B	8	14
1508	Troj	M	0139	Ealea	X576000-9	 	    Di 		000	Wild	G5 V D	-2	(700+2)	[0000]	B	8	14
1900	Troj	M	0139	Ealea	X576000-9	 	    Di 		000	Wild	G5 V D	-2	(700+1)	[0000]	B	8	7

1105	Troj	A	0201	Szirp	A436538-D	 	    Ni 		800	NaHu	M8 V	1	(745+1)	[565D]	B	9	140
1281	Troj	A	0201	Szirp	A436520-B	 	    Ni 		400	Wild	M8 V	1	(744+1)	[468C]	B	9	112
1508	Troj	A	0201	Szirp	A436576-C	 	    Ni 		300	Wild	M8 V	1	(742+1)	[7657]	B	9	56
1900	Troj	A	0201	Szirp	A436542-D	 	    Ni 		400	Wild	M8 V	1	(745+2)	[967E]	B	9	280

1105	Troj	A	0202	Sam's World	E100856-7	 	  Na Pi Ph Va 		803	NaHu	G7 V	-2	(A76-3)	[7646]	BDe	14	-1260
1281	Troj	A	0202	Sam's World	E100886-4	 	  Na Pi Ph Va 		403	Wild	G7 V	-2	(A76+4)	[9695]	BDe	14	1680
1508	Troj	A	0202	Sam's World	E100873-5	 	  Na Pi Ph Va 		303	Wild	G7 V	-2	(A72+2)	[B666]	BDe	14	280
1900	Troj	A	0202	Sam's World	E100888-6	 	  Na Pi Ph Va 		203	Wild	G7 V	-2	(A73+2)	[7653]	BDe	14	420

1105	Troj	A	0204	Dustpan	A550779-9	 	   De Po (NIL)		900	NaHu	F2 V	1	(96A+2)	[886A]	B	12	1080
1281	Troj	A	0204	Dustpan	A550725-7	 	   De Po (NIL)		400	Wild	F2 V	0	(963+2)	[9712]	B	12	324
1508	Troj	A	0204	Dustpan	A5507AD-8	 	   De Po (NIL)		300	Wild	F2 V	0	(96B+1)	[B728]	B	12	594
1900	Troj	A	0204	Dustpan	A55077A-9	 	   De Po (NIL)		200	Wild	F2 V	1	(964+2)	[783A]	B	12	432

1105	Troj	A	0209	Heath	B587532-B	 	   Ag Pr Ni 		622	NaHu	K2 V M6 V	2	(B46-2)	[1717]	BcC	8	-528
1281	Troj	A	0209	Heath	B5875AA-9	 	   Ag Pr Ni 		322	Wild	K2 V M6 V	1	(B47-2)	[4655]	BcC	8	-616
1508	Troj	A	0209	Heath	B587578-A	 	   Ag Pr Ni 		422	Wild	K2 V M6 V	2	(B47-1)	[2718]	BcC	8	-308
1900	Troj	A	0209	Heath	B587523-B	 	   Ag Pr Ni 		522	Wild	K2 V M6 V	2	(B47-1)	[774A]	BcC	8	-308

1105	Troj	A	0210	Vip	A421644-D	 	  He Na Po Ni 		404	FlLe	M8 V	2	(C56+1)	[483B]	B	15	360
1281	Troj	A	0210	Vip	X421000-D	 	  Di He Na Po 		004	Wild	M8 V	-1	(C00-4)	[0000]	B	15	-48
1508	Troj	A	0210	Vip	X421000-D	 	  Di He Po 		004	Wild	M8 V	-1	(C00-5)	[0000]	B	15	-60
1900	Troj	A	0210	Vip	X421000-D	 	  Di He Po 		004	Wild	M8 V	-1	(C00-1)	[0000]	B	15	-12

1105	Troj	E	0213	Floria	A567942-E	 	  An Cx Hi Pr (NIL)		604	FlLe	F5 V M8 V	4	(F8G+1)	[5D1A]	BcE	12	1920
1281	Troj	E	0213	Floria	A5679A5-C	 	  An Cx Hi Pr (NIL)		304	Wild	F5 V M8 V	3	(F8A-2)	[BC7E]	BcE	12	-2400
1508	Troj	E	0213	Floria	A567989-D	 	  An Cx Hi Pr (NIL)		204	Wild	F5 V M8 V	3	(F87-1)	[BC4C]	BcE	12	-840
1900	Troj	E	0213	Floria	A567996-E	 	  An Cx Hi Pr (NIL)		304	Wild	F5 V M8 V	3	(F8A-5)	[9C7G]	BcE	12	-6000

1105	Troj	E	0218	Vorn	B611640-9	 	  Ic Na Ni 		513	FlLe	M0 V	1	(C55-3)	[1714]	B	13	-900
1281	Troj	E	0218	Vorn	B611677-7	 	  Ic Na Ni 		213	Wild	M0 V	-1	(850+3)	[4528]	B	13	120
1508	Troj	E	0218	Vorn	B611654-9	 	  Ic Na Ni 		313	Wild	M0 V	0	(C56-2)	[46AA]	B	13	-720
1900	Troj	E	0218	Vorn	B611652-A	 	  Ic Na Ni 		213	Wild	M0 V	1	(C52+1)	[1748]	B	13	120

1105	Troj	E	0220	Thrush	A436246-C	 	    Lo 		412	FlLe	M1 V	1	(711+1)	[134B]	B	14	7
1281	Troj	E	0220	Thrush	D436000-C	 	    Di 		012	Wild	M1 V	-1	(700+1)	[0000]	B	14	7
1508	Troj	E	0220	Thrush	D436000-C	 	    Di 		012	Wild	M1 V	-1	(700-1)	[0000]	B	14	-7
1900	Troj	E	0220	Thrush	D436000-C	 	    Di 		012	Wild	M1 V	-1	(700+1)	[0000]	B	14	7

1105	Troj	I	0222	Dalfi	C550345-9	 	  De Lo Po 		510	FlLe	F4 V M3 V	-1	(620-3)	[1237]	B	9	-36
1281	Troj	I	0222	Dalfi	X550000-9	 	  De Di Po 		010	Wild	F4 V M3 V	-2	(600-2)	[0000]	B	9	-12
1508	Troj	I	0222	Dalfi	X550000-9	 	  De Di Po 		010	Wild	F4 V M3 V	-2	(600-1)	[0000]	B	9	-6
