Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Tugl	A	0103	Aenagzdars	A67A6A7-D	 	Ni Wa 		504	VRrS	F6 V D	{ 1 }	(C55+1)	[675D]	B	13	300
1201	Tugl	A	0103	Aenagzdars	X67A746-6	 	Pi Wa 		504	VRrS	F6 V D	{ -2 }	(869+1)	[6524]	BD	13	432
1199	Tugl	A	0103	Aenagzdars	X67A000-6	 	Di Pi Wa 		004	Wild	F6 V D	{ -3 }	(800+4)	[0000]	BD	13	32
1508	Tugl	A	0103	Aenagzdars	X67A000-6	 	Di Wa 		004	Wild	F6 V D	{ -3 }	(800-2)	[0000]	B	13	-16
1900	Tugl	A	0103	Aenagzdars	E67A577-8	 	Ni Wa 		704	NaVa	F6 V D	{ -3 }	(C41-1)	[1248]	B	13	-48

1105	Tugl	A	0104	Uel Zar	C89A434-A	 	Ni Wa 		401	VRrS	G1 IV	{ 0 }	(733-2)	[2438]	B	14	-126
1201	Tugl	A	0104	Uel Zar	X89A400-3	 	Ni Wa 		201	VRrS	G1 IV	{ -3 }	(633-3)	[1133]	B	14	-162
1199	Tugl	A	0104	Uel Zar	X89A000-3	 	Di Wa 		001	Wild	G1 IV	{ -3 }	(600+3)	[0000]	B	14	18
1508	Tugl	A	0104	Uel Zar	X89A000-3	 	Di Wa 		001	Wild	G1 IV	{ -3 }	(600+1)	[0000]	B	14	6
1900	Tugl	A	0104	Uel Zar	B89A531-C	 	Ni Wa 		301	NaVa	G1 IV	{ 1 }	(744-2)	[161E]	B	14	-224

1105	Tugl	A	0105	Rrurr	B6595AA-A	 	Ni 		102	VRrS	G0 V D	{ 1 }	(945+3)	[767C]	B	8	540
1201	Tugl	A	0105	Rrurr	D65948B-8	 	Ni 		602	VRrS	G0 V D	{ -3 }	(933-1)	[3167]	B	8	-81
1199	Tugl	A	0105	Rrurr	D659475-4	 	Ni 		302	Wild	G0 V D	{ -3 }	(730+2)	[5175]	B	8	42
1508	Tugl	A	0105	Rrurr	D659411-5	 	Ni 		302	Wild	G0 V D	{ -3 }	(733+1)	[9137]	B	8	63
1900	Tugl	A	0105	Rrurr	C659733-7	 			502	NaVa	G0 V D	{ -1 }	(763-5)	[663A]	B	8	-630

1105	Tugl	A	0109	Fa Gegdha	B611677-A	 	Ic Na Ni 		204	NaVa	M2 V	{ 1 }	(C55+1)	[675A]	B	7	300
1201	Tugl	A	0109	Fa Gegdha	X611000-A	 	Di Ic Na 		004	NaVa	M2 V	{ -1 }	(C00+1)	[0000]	B	7	12
1199	Tugl	A	0109	Fa Gegdha	X611000-A	 	Di Ic Na 		004	Wild	M2 V	{ -1 }	(C00-1)	[0000]	B	7	-12
1508	Tugl	A	0109	Fa Gegdha	X611000-A	 	Di Ic 		004	Wild	M2 V	{ -1 }	(C00+2)	[0000]	B	7	24
1900	Tugl	A	0109	Fa Gegdha	B611456-C	 	Ic Ni 		904	NaVa	M2 V	{ 1 }	(C33-3)	[5549]	B	7	-324

1105	Tugl	E	0113	Akoengouthluen	D697346-6	 	Lo 		125	VThE	G7 V	{ -3 }	(520-4)	[2145]	B	12	-40
1201	Tugl	E	0113	Akoengouthluen	X697300-5	 	Lo 	B	525	VThE	G7 V	{ -3 }	(520-4)	[2178]	B	12	-40
1199	Tugl	E	0113	Akoengouthluen	X697000-5	 	Di 		025	Wild	G7 V	{ -3 }	(500-1)	[0000]	B	12	-5
1508	Tugl	E	0113	Akoengouthluen	X697000-5	 	Di 		025	Wild	G7 V	{ -3 }	(500+1)	[0000]	B	12	5
1900	Tugl	E	0113	Akoengouthluen	A697556-D	 	Ag Ni 		925	NaVa	G7 V	{ 2 }	(C46+2)	[676G]	BC	12	576

1105	Tugl	E	0115	Otothoekh	A844943-D	 	Hi In 		415	VThE	K5 V	{ 4 }	(H8G+1)	[6D2A]	BEf	17	2176
1201	Tugl	E	0115	Otothoekh	X844000-D	 	Di In 		015	VThE	K5 V	{ 0 }	(H00-1)	[0000]	BE	17	-17
1199	Tugl	E	0115	Otothoekh	X844000-D	 	Di In 		015	Wild	K5 V	{ 0 }	(H00-2)	[0000]	BE	17	-34
1508	Tugl	E	0115	Otothoekh	X844000-D	 	Di 		015	Wild	K5 V	{ -1 }	(H00+1)	[0000]	B	17	17
1900	Tugl	E	0115	Otothoekh	A844510-C	 	Ag Ni 		115	NaVa	K5 V	{ 2 }	(H48-1)	[277H]	BC	17	-544

