Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vang	A	0101	Bingzi	D326000-9	 	   Di Sa 		013	Wild	M6 V	-2	(B00+1)	[0000]	B	9	11
Vang	A	0108	Issoudun	E21095A-5	 	   Hi Na In 		701	Wild	M4 V	0	(782-2)	[9975]	BE	10	-224
Vang	E	0111	Jorhat	C533475-A	 	   Ni Po 		511	Wild	K6 V M8 V	0	(931-3)	[543A]	B	8	-81
Vang	E	0118	Chnasodlsata	E898000-4	 	    Di (NIL)		000	Wild	K9 VI	-3	(600+3)	[0000]	B	9	18
Vang	I	0121	Drieglechzhen	XAB8000-A	 	   Di Fl 		013	Wild	M9 V	-1	(800+1)	[0000]	B	12	8
Vang	M	0131	Iadrdeibr	B43459B-D	 	    Ni 		321	Wild	K8 V M1 V	1	(C47+2)	[267E]	B	14	672
Vang	M	0134	Whekau	D551000-8	 	   Di Po 		013	Wild	G8 V G8 V M4 V M2 V	-3	(700+1)	[0000]	B	13	7
Vang	A	0201	Tyrron	C552896-5	 	   Ph Po (NIL)		100	Wild	K5 V M0 V	-1	(674+1)	[D776]	Be	4	168
Vang	A	0203	Shenidklen	E548000-A	 	    Di (NIL)		011	Wild	K2 V M6 V	-1	(600-1)	[0000]	B	7	-6
Vang	A	0204	Krafltlajmichi	E579000-5	 	    Di 		012	Wild	K1 V M8 V	-3	(B00+1)	[0000]	B	13	11
Vang	E	0212	Resolute	X758578-2	 	   Ag Ni 		503	Wild	K3 V	-2	(944+3)	[5316]	BC	10	432
Vang	E	0215	Brilibr	E9C1000-B	 	  Di Fl He Sa 		002	Wild	F3 V K1 V	-1	(A00+1)	[0000]	B	6	10
Vang	E	0220	Praflozda	D412000-C	 	  Di Ic Sa 		025	Wild	M2 V	-1	(B00+1)	[0000]	B	19	11
Vang	A	0302	Chtanja	B587832-1	 	   Pa Ri Ph (NIL)		721	Wild	K3 V M6 V	1	(977+1)	[C951]	BcCe	15	441
Vang	A	0304	Kolshedjielib	B545754-9	 	    Ag Pi (NIL)		610	Wild	K7 V M5 V	2	(466-2)	[79A9]	BCD	13	-288
Vang	A	0308	Sorlios	E777000-9	 	    Di 		030	Wild	K1 V M0 VI	-2	(500+3)	[0000]	B	9	15
Vang	A	0310	Tliadlpabr	D977000-C	 	    Di 		001	Wild	K1 V	-1	(800-3)	[0000]	B	11	-24
Vang	E	0311	Tlaiafribr	E574000-5	 	    Di 		004	Wild	G1 V	-3	(500-1)	[0000]	B	11	-5
