Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Vang	A	0101	Bingzi	D326300-9	 	    Co Sa  Lo 		713	NaHu	M6 V	-2	(B20+1)	[8126]	B	9	22
1281	Vang	A	0101	Bingzi	D326000-9	 	    Co Sa  Di 		013	Wild	M6 V	-2	(B00-1)	[0000]	B	9	-11
1508	Vang	A	0101	Bingzi	D326000-9	 	    Co Sa  Di 		013	Wild	M6 V	-2	(B00-2)	[0000]	B	9	-22
1900	Vang	A	0101	Bingzi	D326000-9	 	    Co Sa  Di 		013	Wild	M6 V	-2	(B00-2)	[0000]	B	9	-22

1105	Vang	A	0108	Issoudun	E210AD9-8	 	     Pz Fr  Hi Na In 	A	101	NaHu	M4 V	0	(89B+1)	[DA28]	BE	10	792
1281	Vang	A	0108	Issoudun	E2109A7-2	 	     Pz Fr  Hi Na In 		501	Wild	M4 V	0	(785-1)	[B934]	BE	10	-280
1508	Vang	A	0108	Issoudun	E2109DC-5	 	     Pz Fr  Hi Na In 		601	Wild	M4 V	0	(788+1)	[9943]	BE	10	448
1900	Vang	A	0108	Issoudun	E210978-4	 	     Pz Fr  Hi Na In 		501	Wild	M4 V	0	(788+1)	[D982]	BE	10	448

1105	Vang	E	0111	Jorhat	C533431-A	 	    Da Tz  Ni Po 	A	711	NaHu	K6 V M8 V	0	(936+1)	[3469]	B	8	162
1281	Vang	E	0111	Jorhat	C533478-8	 	    Da Tz  Ni Px Po 		311	Wild	K6 V M8 V	-2	(931-1)	[7295]	B	8	-27
1508	Vang	E	0111	Jorhat	C533454-A	 	    Da Tz  Ni Po 		411	Wild	K6 V M8 V	0	(931+1)	[5429]	B	8	27
1900	Vang	E	0111	Jorhat	C533423-A	 	    Da Tz  Ni Po 		411	Wild	K6 V M8 V	0	(935-2)	[1419]	B	8	-270

1105	Vang	E	0118	Chnasodlsata	C898879-4	 	      Pa Pi Ph (NIL)	U	400	ZhCa	K9 VI	-1	(675+1)	[B753]	BcDe	9	210
1281	Vang	E	0118	Chnasodlsata	D898000-4	 	      Di Pi (NIL)		000	Wild	K9 VI	-3	(600+1)	[0000]	BD	9	6
1508	Vang	E	0118	Chnasodlsata	D898000-4	 	       Di (NIL)		000	Wild	K9 VI	-3	(600+3)	[0000]	B	9	18
1900	Vang	E	0118	Chnasodlsata	D898000-4	 	       Di (NIL)		000	Wild	K9 VI	-3	(600-4)	[0000]	B	9	-24

1105	Vang	I	0121	Drieglechzhen	CAB8444-A	 	     Fl Ni 	F	513	ZhCa	M9 V	0	(834+1)	[2468]	B	12	96
1281	Vang	I	0121	Drieglechzhen	DAB8000-A	 	     Di Fl 		013	Wild	M9 V	-1	(800+2)	[0000]	B	12	16
1508	Vang	I	0121	Drieglechzhen	DAB8000-A	 	     Di Fl 		013	Wild	M9 V	-1	(800+4)	[0000]	B	12	32
1900	Vang	I	0121	Drieglechzhen	DAB8000-A	 	     Di Fl 		013	Wild	M9 V	-1	(800+1)	[0000]	B	12	8

1105	Vang	M	0131	Iadrdeibr	B434633-C	 	     Ni 		621	CsZh	K8 V M1 V	1	(C52-3)	[376G]	B	14	-360
1281	Vang	M	0131	Iadrdeibr	B434636-A	 	    Ni Px 		321	Wild	K8 V M1 V	1	(C56-3)	[2769]	B	14	-1080
1508	Vang	M	0131	Iadrdeibr	B434676-B	 	    Ni Px 		321	Wild	K8 V M1 V	1	(C55+5)	[772B]	B	14	1500
1900	Vang	M	0131	Iadrdeibr	B434674-C	 	     Ni 		221	Wild	K8 V M1 V	1	(C57+1)	[778H]	B	14	420

1105	Vang	M	0134	Whekau	C551535-8	 	    rg2  Ni Po 		513	NaHu	G8 V G8 V M4 V M2 V	-2	(741-1)	[7357]	B	13	-28
1281	Vang	M	0134	Whekau	C55157A-6	 	    rg2  Ni Po 		213	Wild	G8 V G8 V M4 V M2 V	-2	(341-2)	[4355]	B	13	-24
1508	Vang	M	0134	Whekau	C55158C-7	 	    rg2  Ni Po 		213	Wild	G8 V G8 V M4 V M2 V	-2	(342-3)	[5348]	B	13	-72
1900	Vang	M	0134	Whekau	C55158C-8	 	    rg2  Ni Po 		313	Wild	G8 V G8 V M4 V M2 V	-2	(741-1)	[6355]	B	13	-28

1105	Vang	A	0201	Tyrron	C552857-6	 	     Ph Po (NIL)		200	NaHu	K5 V M0 V	-1	(679+2)	[4767]	Be	4	756
1281	Vang	A	0201	Tyrron	C5528A8-3	 	     Ph Po (NIL)		100	Wild	K5 V M0 V	-1	(678-1)	[7761]	Be	4	-336
1508	Vang	A	0201	Tyrron	C552742-4	 	      Po (NIL)		900	Wild	K5 V M0 V	-1	(662+4)	[9646]	B	4	288
1900	Vang	A	0201	Tyrron	C552721-5	 	      Po (NIL)		800	Wild	K5 V M0 V	-1	(664+2)	[6695]	B	4	288

1105	Vang	A	0203	Shenidklen	B548737-A	 	     Fr  Ag Pi (NIL)		211	ZhCa	K2 V M6 V	3	(66C-3)	[7A3A]	BCD	7	-1296
1281	Vang	A	0203	Shenidklen	B548779-8	 	     Fr  Ag Pi (NIL)		111	Wild	K2 V M6 V	1	(66A+1)	[981A]	BCD	7	360
1508	Vang	A	0203	Shenidklen	B548775-9	 	     Fr  Ag Pi (NIL)		111	Wild	K2 V M6 V	2	(66C-2)	[A96B]	BCD	7	-864
1900	Vang	A	0203	Shenidklen	B548787-A	 	     Fr  Ag Pi (NIL)		111	Wild	K2 V M6 V	3	(66A+1)	[CA7F]	BCD	7	360

1105	Vang	A	0204	Krafltlajmichi	C579679-5	 	    Co  Ni 		312	ZhCa	K1 V M8 V	-2	(B53-3)	[4453]	B	13	-495
1281	Vang	A	0204	Krafltlajmichi	D579000-5	 	    Co  Di 		012	Wild	K1 V M8 V	-3	(B00-2)	[0000]	B	13	-22
1508	Vang	A	0204	Krafltlajmichi	D579000-5	 	    Co  Di 		012	Wild	K1 V M8 V	-3	(B00+3)	[0000]	B	13	33
1900	Vang	A	0204	Krafltlajmichi	D579000-5	 	    Co  Di 		012	Wild	K1 V M8 V	-3	(B00-5)	[0000]	B	13	-55

1105	Vang	E	0212	Resolute	X758544-2	 	     Ag Ni 	F	903	ZhCa	K3 V	-2	(942+1)	[3361]	BC	10	72
1281	Vang	E	0212	Resolute	X758544-0	 	     Ag Ni 		403	Wild	K3 V	-2	(941-2)	[A371]	BC	10	-72
1508	Vang	E	0212	Resolute	X758530-1	 	     Ag Ni 		303	Wild	K3 V	-2	(942-1)	[5381]	BC	10	-72
1900	Vang	E	0212	Resolute	X758553-3	 	     Ag Ni 		403	Wild	K3 V	-2	(941-2)	[A324]	BC	10	-72

1105	Vang	E	0215	Brilibr	B9C1520-B	 	     Sa  Fl He Ni 		802	ZhCa	F3 V K1 V	1	(A45+1)	[867B]	B	6	200
1281	Vang	E	0215	Brilibr	D9C1000-B	 	     Sa  Di Fl He 		002	Wild	F3 V K1 V	-1	(A00-2)	[0000]	B	6	-20
1508	Vang	E	0215	Brilibr	D9C1000-B	 	     Sa  Di Fl He 		002	Wild	F3 V K1 V	-1	(A00+2)	[0000]	B	6	20
1900	Vang	E	0215	Brilibr	D9C1000-B	 	     Sa  Di Fl He 		002	Wild	F3 V K1 V	-1	(A00+3)	[0000]	B	6	30

1105	Vang	E	0220	Praflozda	C412200-C	 	    Da Sa  Ic Lo 	A	325	ZhCa	M2 V	0	(B10-4)	[229C]	B	19	-44
1281	Vang	E	0220	Praflozda	X412000-C	 	    Da Sa  Di Ic 		025	Wild	M2 V	-1	(B00+2)	[0000]	B	19	22
1508	Vang	E	0220	Praflozda	X412000-C	 	    Da Sa  Di Ic 		025	Wild	M2 V	-1	(B00+1)	[0000]	B	19	11
1900	Vang	E	0220	Praflozda	X412000-C	 	    Da Sa  Di Ic 		025	Wild	M2 V	-1	(B00+1)	[0000]	B	19	11

1105	Vang	A	0302	Chtanja	B5879D9-5	 	     Hi Pr (NIL)		121	ZhCa	K3 V M6 V	2	(988+1)	[6B59]	BcE	15	576
1281	Vang	A	0302	Chtanja	B587897-0	 	     Pa Ri Ph (NIL)		521	Wild	K3 V M6 V	1	(97A+2)	[5941]	BcCe	15	1260
1508	Vang	A	0302	Chtanja	B5878DH-2	 	     Pa Ri Ph (NIL)		521	Wild	K3 V M6 V	1	(97A+1)	[5937]	BcCe	15	630
1900	Vang	A	0302	Chtanja	B587898-1	 	     Pa Ri Ph (NIL)		621	Wild	K3 V M6 V	1	(975+4)	[B911]	BcCe	15	1260

1105	Vang	A	0304	Kolshedjielib	B545764-8	 	     O:0302  Ag Pi (NIL)		910	ZhCa	K7 V M5 V	1	(469-2)	[9835]	BCD	13	-432
1281	Vang	A	0304	Kolshedjielib	X545000-8	 	    O:0302  Di Pi (NIL)		010	Wild	K7 V M5 V	-3	(400+2)	[0000]	BD	13	8
1508	Vang	A	0304	Kolshedjielib	X545000-8	 	     O:0302  Di (NIL)		010	Wild	K7 V M5 V	-3	(400+3)	[0000]	B	13	12
1900	Vang	A	0304	Kolshedjielib	X545000-8	 	     O:0302  Di (NIL)		010	Wild	K7 V M5 V	-3	(400-1)	[0000]	B	13	-4

1105	Vang	A	0308	Sorlios	C777300-9	 	     Lo 		830	NaHu	K1 V M0 VI	-1	(520-3)	[724B]	B	9	-30
1281	Vang	A	0308	Sorlios	X777000-9	 	     Di 		030	Wild	K1 V M0 VI	-2	(500-1)	[0000]	B	9	-5
1508	Vang	A	0308	Sorlios	X777000-9	 	     Di 		030	Wild	K1 V M0 VI	-2	(500-1)	[0000]	B	9	-5
1900	Vang	A	0308	Sorlios	X777000-9	 	     Di 		030	Wild	K1 V M0 VI	-2	(500-1)	[0000]	B	9	-5

1105	Vang	A	0310	Tliadlpabr	B977555-C	 	     Ag Ni 		801	ZhCa	K1 V	2	(844+2)	[5769]	BC	11	256
1281	Vang	A	0310	Tliadlpabr	X977000-C	 	      Di 		001	Wild	K1 V	-1	(800+1)	[0000]	B	11	8
1508	Vang	A	0310	Tliadlpabr	X977000-C	 	      Di 		001	Wild	K1 V	-1	(800+4)	[0000]	B	11	32
1900	Vang	A	0310	Tliadlpabr	X977000-C	 	      Di 		001	Wild	K1 V	-1	(800-2)	[0000]	B	11	-16

1105	Vang	E	0311	Tlaiafribr	E574300-5	 	     Lo 		404	ZhCa	G1 V	-3	(520+2)	[4138]	B	11	20
1281	Vang	E	0311	Tlaiafribr	E574000-5	 	     Di 		004	Wild	G1 V	-3	(500-2)	[0000]	B	11	-10
1508	Vang	E	0311	Tlaiafribr	E574000-5	 	     Di 		004	Wild	G1 V	-3	(500+4)	[0000]	B	11	20
1900	Vang	E	0311	Tlaiafribr	E574000-5	 	     Di 		004	Wild	G1 V	-3	(500+1)	[0000]	B	11	5

1105	Vang	E	0317	Chfradr	D878201-6	 	     Lo 		123	ZhCa	G9 V	-3	(910-2)	[1146]	B	14	-18
1281	Vang	E	0317	Chfradr	D878000-6	 	     Di 		023	Wild	G9 V	-3	(900+1)	[0000]	B	14	9
1508	Vang	E	0317	Chfradr	D878000-6	 	     Di 		023	Wild	G9 V	-3	(900+1)	[0000]	B	14	9
1900	Vang	E	0317	Chfradr	D878000-6	 	     Di 		023	Wild	G9 V	-3	(900-2)	[0000]	B	14	-18

1105	Vang	E	0319	Iabrpribr	E303304-9	 	      Ic Va Lo 		802	ZhCa	G7 V K3 V	-2	(A20-1)	[118A]	B	14	-20
1281	Vang	E	0319	Iabrpribr	E303000-9	 	      Di Ic Va 		002	Wild	G7 V K3 V	-2	(A00-5)	[0000]	B	14	-50
1508	Vang	E	0319	Iabrpribr	E303000-9	 	      Di Ic Va 		002	Wild	G7 V K3 V	-2	(A00+4)	[0000]	B	14	40
1900	Vang	E	0319	Iabrpribr	E303000-9	 	      Di Ic Va 		002	Wild	G7 V K3 V	-2	(A00+1)	[0000]	B	14	10

1105	Vang	I	0322	Sibolle	C79A845-6	 	     Ph Pi Wa (NIL)	U	413	ZhCa	G9 V	-1	(276+2)	[B713]	BDe	13	168
1281	Vang	I	0322	Sibolle	C79A8B8-4	 	     Ph Pi Wa (NIL)		213	Wild	G9 V	-1	(27A+3)	[6761]	BDe	13	420
1508	Vang	I	0322	Sibolle	C79A89B-5	 	     Ph Pi Wa (NIL)		113	Wild	G9 V	-1	(27B+5)	[7723]	BDe	13	770
1900	Vang	I	0322	Sibolle	C79A885-6	 	     Ph Pi Wa (NIL)		213	Wild	G9 V	-1	(278+1)	[778A]	BDe	13	112

1105	Vang	M	0335	Melvina	X546000-0	 	    Co Tz  Ba 		000	NaXX	BD	-3	(500-5)	[0000]	B	7	-25
1281	Vang	M	0335	Melvina	X546000-0	 	    Co Tz  Ba 		000	Wild	BD	-3	(500+3)	[0000]	B	7	15
1508	Vang	M	0335	Melvina	X546000-0	 	    Co Tz  Ba 		000	Wild	BD	-3	(500+1)	[0000]	B	7	5
1900	Vang	M	0335	Melvina	X546000-0	 	    Co Tz  Ba 		000	Wild	BD	-3	(500+3)	[0000]	B	7	15

1105	Vang	A	0406	Chyia Nedlkel	A301AB9-D	 	       Sa  Hi Ic Va Na In 		101	ZhCa	K2 V	5	(A9A+1)	[DF6A]	BEf	6	900
1281	Vang	A	0406	Chyia Nedlkel	A3019B9-9	 	       Sa  Hi Ic Va Na In 		501	Wild	K2 V	3	(A88-1)	[4C4D]	BE	6	-640
