Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Verg	M	0337	Ktiyleawoi	X67A000-0	 	Ba Wa 		000	Wild	M2 V M6 V	{ -3 }	(400+1)	[0000]	B	7	4
Verg	M	0338	Khtis	XAB9000-8	 	Di Fl 		005	Wild	M8 III	{ -3 }	(900-2)	[0000]	B	15	-18
Verg	M	0339	Khee'	E557000-5	 	Di 		013	Wild	M0 V	{ -3 }	(400+3)	[0000]	B	13	12
Verg	A	0410	Bledarua	X424000-7	 	Di 		020	Wild	G3 V M8 V	{ -3 }	(400-1)	[0000]	B	9	-4
Verg	E	0418	Attus	E549000-5	 	Di 		002	Wild	K8 V M6 V	{ -3 }	(600-2)	[0000]	B	10	-12
Verg	M	0438	Tryoekaui	X438000-C	 	Di 		004	Wild	M3 V	{ -1 }	(700+4)	[0000]	B	15	28
Verg	M	0440	Akkilee	E571000-6	 	Di He 		000	Wild	M2 V	{ -3 }	(A00+1)	[0000]	B	9	10
Verg	E	0517	Assena	C5418C9-6	 	He Ph Pi Po 		503	Wild	M2 V M9 V	{ -1 }	(A78+1)	[9777]	BDe	11	560
Verg	E	0520	Tremfara	X9A8000-B	 	Di Fl In 		020	Wild	K2 V	{ 0 }	(D00+1)	[0000]	BE	8	13
Verg	I	0526	Durko	D561401-6	 	Ni 		303	Wild	M2 V M5 V	{ -3 }	(832+1)	[5156]	B	14	48
Verg	I	0528	Minuskan	X554000-4	 	Di 		012	Wild	K9 V	{ -3 }	(600-4)	[0000]	B	11	-24
Verg	M	0536	Teaealrerla	D552000-6	 	Di Po 		024	Wild	M0 V M1 V	{ -3 }	(500-4)	[0000]	B	18	-20
Verg	M	0537	Kyalauhea	X430000-C	 	De Di Na Po 		002	Wild	M2 V M4 V	{ -1 }	(B00+1)	[0000]	B	9	11
Verg	M	0540	Eiaai	X78A530-3	 	Ni Pr Wa 		203	Wild	K8 V	{ -3 }	(740+2)	[6261]	Bc	11	56
Verg	I	0622	Lauren	X667475-1	 	Ga Ni Pa 		113	Wild	M2 V M6 V	{ -3 }	(733-3)	[4121]	Bc	9	-189
Verg	I	0626	Girija	X410000-9	 	Di 		003	Wild	K3 V	{ -2 }	(800+1)	[0000]	B	10	8
Verg	M	0637	Yetatla	X88A000-9	 	Di Wa 		004	Wild	M1 V M1 V	{ -2 }	(F00+1)	[0000]	B	13	15
Verg	M	0640	Wyaakhuiahea	X100000-D	 	Di Na Pi Va 		002	Wild	M0 V M2 V	{ -1 }	(B00+1)	[0000]	BD	11	11
Verg	E	0711	Koirola	X433000-8	 	Di Po 		002	Wild	M2 V M8 V	{ -3 }	(900+1)	[0000]	B	12	9
Verg	M	0738	Birendar	E775698-4	 	Ag Ni 		500	Wild	M2 V M3 V	{ -2 }	(850+1)	[5416]	BC	12	40
Verg	J	0925	Sigag	X424000-A	 	Di In 		013	Wild	G0 IV	{ 0 }	(F00+1)	[0000]	BE	7	15
Verg	J	1124	Gunahami	D56177B-4	 	DroyW Ri 		323	Wild	M2 V M5 V	{ -1 }	(962+1)	[2693]	BC	11	108
Verg	N	1237	Krolock	X580579-0	 	De Ni Pr 		210	Wild	K0 V M4 V	{ -3 }	(740+1)	[1271]	Bc	11	28
Verg	N	1238	Prased	X510000-D	 	Di 		004	Wild	G1 V M3 V	{ -1 }	(A00+1)	[0000]	B	8	10
Verg	N	1339	Kharon	X425000-A	 	Di 		005	Wild	K5 V M6 V	{ -1 }	(B00-2)	[0000]	B	8	-22
Verg	J	1426	Bayan	X594000-4	 	Di 		013	Wild	M2 V	{ -3 }	(600+2)	[0000]	B	10	12
Verg	J	1630	Kasadiy	X400000-7	 	Di Na Va 		004	Wild	K1 V	{ -3 }	(800+2)	[0000]	B	13	16
Verg	G	1717	Onoria	E593000-6	 	Di 		000	Wild	M0 V M3 V	{ -3 }	(400+1)	[0000]	B	13	4
Verg	G	1718	Krolock	D575000-7	 	(Kachiya) Di 		012	Wild	M1 V M9 V	{ -3 }	(500+2)	[0000]	B	9	10
Verg	K	1727	Tarkhen	X766000-4	 	Di Ga 		002	Wild	M1 V M4 V	{ -3 }	(300+4)	[0000]	B	10	12
Verg	C	1806	Kokka	X7C4000-9	 	Di Fl 		003	Wild	G0 II M9 V	{ -2 }	(D00-4)	[0000]	B	13	-52
Verg	C	1809	Razar	X424000-E	 	Di Px 		004	Wild	M0 V	{ -1 }	(C00+3)	[0000]	B	11	36
Verg	C	1810	Hadanam	X531000-9	 	Di Po 		010	Wild	M1 V M8 V	{ -2 }	(600-2)	[0000]	B	12	-12
Verg	G	1811	Elbir	X535000-9	 	Di 		005	Wild	M2 V	{ -2 }	(E00-2)	[0000]	B	8	-28
Verg	G	1814	Bijmen	E996000-6	 	Di 		002	Wild	M2 V	{ -3 }	(800-4)	[0000]	B	5	-32
Verg	G	1816	Khangan	X420000-C	 	De He Di Na Po 		004	Wild	M2 V	{ -1 }	(C00+1)	[0000]	B	7	12
Verg	G	1817	Onortas	X958000-6	 	Di 		001	Wild	G9 V M1 V	{ -3 }	(400+5)	[0000]	B	6	20
Verg	G	1818	Vemmadad	E577000-6	 	Di 		003	Wild	M0 V M1 V	{ -3 }	(700-3)	[0000]	B	12	-21
Verg	K	1821	Daddash	X533000-9	 	Di Na Po 		024	Wild	M2 V	{ -2 }	(H00-1)	[0000]	B	9	-17
Verg	K	1825	Shadun	X310000-B	 	Di 		002	Wild	M2 V	{ -1 }	(800+1)	[0000]	B	9	8
Verg	O	1839	Taxia	X310000-B	 	Di 		003	Wild	M3 V M5 V	{ -1 }	(A00-3)	[0000]	B	8	-30
Verg	C	1905	Palputar	X541000-5	 	Di He Po 		012	Wild	M0 V	{ -3 }	(800-2)	[0000]	B	9	-16
Verg	C	1906	Madun	X786779-0	 	Ag Ri Ga 		305	Wild	K0 V	{ 0 }	(967+1)	[7751]	BC	13	378
Verg	C	1909	Kiakuyan	D575000-7	 	Di 		001	Wild	M0 V M3 V	{ -3 }	(800-1)	[0000]	B	13	-8
Verg	G	1911	Shankun	X795000-4	 	Di 		024	Wild	K5 V	{ -3 }	(500+2)	[0000]	B	10	10
Verg	G	1912	Sirim	X434000-E	 	Di 		010	Wild	K3 V	{ -1 }	(C00+1)	[0000]	B	9	12
Verg	G	1913	Aigun	X422000-7	 	Di He Po 		004	Wild	K4 V M5 V	{ -3 }	(600+1)	[0000]	B	13	6
Verg	G	1915	Kar Zhink	X75A000-6	 	Di Wa 		000	Wild	M0 V	{ -3 }	(300+2)	[0000]	B	13	6
Verg	K	1922	Ekin	E698852-5	 	Pa Pi Ph 		224	Wild	M1 V	{ -2 }	(B76-3)	[7637]	BcDe	11	-1386
Verg	K	1929	Albazin	E76A556-8	 	Ni Pr Wa 		125	Wild	G3 V	{ -3 }	(F40-5)	[9264]	Bc	10	-300
Verg	C	2004	Yalnob	X000000-B	 	As Va Di Na Pi 		004	Wild	M1 V M3 V	{ -1 }	(D00-1)	[0000]	BD	16	-13
Verg	C	2005	Nayi	X8D8000-8	 	Di 		000	Wild	M2 V	{ -3 }	(800+1)	[0000]	B	13	8
