Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Verg	M	0337	Ktiyleawoi	C67A216-B	 	Lo Wa 		900	AsMw	M2 V M6 V	{ 0 }	(410-1)	[124A]	B	7	-4
1201	Verg	M	0337	Ktiyleawoi	X67A300-0	 	Lo Wa 	B	100	AsMw	M2 V M6 V	{ -3 }	(420+1)	[4131]	B	7	8
1323	Verg	M	0337	Ktiyleawoi	X67A000-0	 	Ba Wa 		000	Wild	M2 V M6 V	{ -3 }	(400+1)	[0000]	B	7	4
1508	Verg	M	0337	Ktiyleawoi	X67A000-0	 	Ba Wa 		000	Wild	M2 V M6 V	{ -3 }	(400-4)	[0000]	B	7	-16
1900	Verg	M	0337	Ktiyleawoi	X67A000-0	 	Ba Wa 		000	Wild	M2 V M6 V	{ -3 }	(400+3)	[0000]	B	7	12

1105	Verg	M	0338	Khtis	EAB9215-8	 	Fl Lo 		205	AsMw	M8 III	{ -3 }	(910-5)	[1136]	B	15	-45
1201	Verg	M	0338	Khtis	XAB9000-8	 	Di Fl 		005	AsMw	M8 III	{ -3 }	(900+4)	[0000]	B	15	36
1323	Verg	M	0338	Khtis	XAB9000-8	 	Di Fl 		005	Wild	M8 III	{ -3 }	(900-2)	[0000]	B	15	-18
1508	Verg	M	0338	Khtis	XAB9000-8	 	Di Fl 		005	Wild	M8 III	{ -3 }	(900-4)	[0000]	B	15	-36
1900	Verg	M	0338	Khtis	XAB9000-8	 	Di Fl 		005	Wild	M8 III	{ -3 }	(900-1)	[0000]	B	15	-9

1105	Verg	M	0339	Khee'	C557216-6	 	Lo 		713	AsMw	M0 V	{ -2 }	(410-3)	[1145]	B	13	-12
1201	Verg	M	0339	Khee'	E557110-5	 	Lo 		413	AsMw	M0 V	{ -3 }	(400-2)	[5191]	B	13	-8
1323	Verg	M	0339	Khee'	E557000-5	 	Di 		013	Wild	M0 V	{ -3 }	(400+3)	[0000]	B	13	12
1508	Verg	M	0339	Khee'	E557000-5	 	Di 		013	Wild	M0 V	{ -3 }	(400+1)	[0000]	B	13	4
1900	Verg	M	0339	Khee'	E557000-5	 	Di 		013	Wild	M0 V	{ -3 }	(400-2)	[0000]	B	13	-8

1105	Verg	A	0410	Bledarua	E424200-7	 	Lo 		820	NaHu	G3 V M8 V	{ -3 }	(410-5)	[1112]	B	9	-20
1201	Verg	A	0410	Bledarua	X424000-7	 	Di 		020	NaHu	G3 V M8 V	{ -3 }	(400+2)	[0000]	B	9	8
1323	Verg	A	0410	Bledarua	X424000-7	 	Di 		020	Wild	G3 V M8 V	{ -3 }	(400-1)	[0000]	B	9	-4
1508	Verg	A	0410	Bledarua	X424000-7	 	Di 		020	Wild	G3 V M8 V	{ -3 }	(400+1)	[0000]	B	9	4
1900	Verg	A	0410	Bledarua	X424000-7	 	Di 		020	Wild	G3 V M8 V	{ -3 }	(400+1)	[0000]	B	9	4

1105	Verg	E	0418	Attus	B549449-C	 	Ni 		502	ImDi	K8 V M6 V	{ 1 }	(834+2)	[556D]	B	10	192
1201	Verg	E	0418	Attus	C549440-5	 	Ni 		302	ImDi	K8 V M6 V	{ -2 }	(634-1)	[2289]	B	10	-72
1323	Verg	E	0418	Attus	E549000-5	 	Di 		002	Wild	K8 V M6 V	{ -3 }	(600-2)	[0000]	B	10	-12
1508	Verg	E	0418	Attus	E549000-5	 	Di 		002	Wild	K8 V M6 V	{ -3 }	(600-2)	[0000]	B	10	-12
1900	Verg	E	0418	Attus	E549000-5	 	Di 		002	Wild	K8 V M6 V	{ -3 }	(600+1)	[0000]	B	10	6

1105	Verg	M	0438	Tryoekaui	A438167-C	 	Lo 		804	AsMw	M3 V	{ 1 }	(701+1)	[125C]	B	15	7
1201	Verg	M	0438	Tryoekaui	X438000-C	 	Di 		004	AsMw	M3 V	{ -1 }	(700+1)	[0000]	B	15	7
1323	Verg	M	0438	Tryoekaui	X438000-C	 	Di 		004	Wild	M3 V	{ -1 }	(700+4)	[0000]	B	15	28
1508	Verg	M	0438	Tryoekaui	X438000-C	 	Di 		004	Wild	M3 V	{ -1 }	(700+1)	[0000]	B	15	7
1900	Verg	M	0438	Tryoekaui	X438000-C	 	Di 		004	Wild	M3 V	{ -1 }	(700+3)	[0000]	B	15	21

1105	Verg	M	0440	Akkilee	C57188A-8	 	He Ph Pi 		400	AsWc	M2 V	{ -1 }	(A77+1)	[A77A]	BDe	9	490
1201	Verg	M	0440	Akkilee	E571447-6	 	He Ni 		300	AsWc	M2 V	{ -3 }	(A30-3)	[4156]	B	9	-90
1323	Verg	M	0440	Akkilee	E571000-6	 	Di He 		000	Wild	M2 V	{ -3 }	(A00+1)	[0000]	B	9	10
1508	Verg	M	0440	Akkilee	E571000-6	 	Di He 		000	Wild	M2 V	{ -3 }	(A00-4)	[0000]	B	9	-40
1900	Verg	M	0440	Akkilee	E571000-6	 	Di He 		000	Wild	M2 V	{ -3 }	(A00-3)	[0000]	B	9	-30

1105	Verg	E	0517	Assena	B541837-A	 	He Ph Pi Po 		903	ImDi	M2 V M9 V	{ 2 }	(D7B+2)	[8A5A]	BDe	11	2002
1201	Verg	E	0517	Assena	C54196A-7	 	He Hi Pi Po 	B	103	ImDi	M2 V M9 V	{ 0 }	(A88+1)	[5948]	BDE	11	640
1323	Verg	E	0517	Assena	C5418C9-6	 	He Ph Pi Po 		503	Wild	M2 V M9 V	{ -1 }	(A78+1)	[9777]	BDe	11	560
1508	Verg	E	0517	Assena	C541884-7	 	He Ph Pi Po 		603	Wild	M2 V M9 V	{ -1 }	(A75+2)	[D758]	BDe	11	700
1900	Verg	E	0517	Assena	C541873-8	 	He Ph Pi Po 		503	Wild	M2 V M9 V	{ -1 }	(D79-2)	[9757]	BDe	11	-1638

1105	Verg	E	0520	Tremfara	C9A8983-B	N 	Fl Hi In 		220	ImDi	K2 V	{ 3 }	(D8E+1)	[6C28]	BE	8	1456
1201	Verg	E	0520	Tremfara	X9A8000-B	 	Di Fl In 		020	ImDi	K2 V	{ 0 }	(D00-5)	[0000]	BE	8	-65
1323	Verg	E	0520	Tremfara	X9A8000-B	 	Di Fl In 		020	Wild	K2 V	{ 0 }	(D00+1)	[0000]	BE	8	13
1508	Verg	E	0520	Tremfara	X9A8000-B	 	Di Fl 		020	Wild	K2 V	{ -1 }	(D00+5)	[0000]	B	8	65
1900	Verg	E	0520	Tremfara	C9A8500-B	 	Fl Ni 		220	Wild	K2 V	{ 0 }	(D44+1)	[454E]	B	8	208

1105	Verg	I	0526	Durko	B561647-A	 	Ni Ri 		503	ImDi	M2 V M5 V	{ 2 }	(B56+2)	[685A]	BC	14	660
1201	Verg	I	0526	Durko	D561654-9	 	Ni Ri 		603	ImDi	M2 V M5 V	{ -1 }	(B55-3)	[A54A]	BC	14	-825
1323	Verg	I	0526	Durko	D561401-6	 	Ni 		303	Wild	M2 V M5 V	{ -3 }	(832+1)	[5156]	B	14	48
1508	Verg	I	0526	Durko	D561400-7	 	Ni 		403	Wild	M2 V M5 V	{ -3 }	(832+3)	[3166]	B	14	144
1900	Verg	I	0526	Durko	B561545-B	 	Ni Pr 		203	Wild	M2 V M5 V	{ 1 }	(B47+2)	[46AB]	Bc	14	616

1105	Verg	I	0528	Minuskan	E554449-5	 	Ni Pa 		912	ImDi	K9 V	{ -3 }	(631-2)	[5166]	Bc	11	-36
1201	Verg	I	0528	Minuskan	X554452-4	 	Ni Pa 		512	ImDi	K9 V	{ -3 }	(630-4)	[2154]	Bc	11	-72
1323	Verg	I	0528	Minuskan	X554000-4	 	Di 		012	Wild	K9 V	{ -3 }	(600-4)	[0000]	B	11	-24
1508	Verg	I	0528	Minuskan	X554000-4	 	Di 		012	Wild	K9 V	{ -3 }	(600+1)	[0000]	B	11	6
1900	Verg	I	0528	Minuskan	X554000-4	 	Di 		012	Wild	K9 V	{ -3 }	(600+1)	[0000]	B	11	6

1105	Verg	M	0536	Teaealrerla	B552369-9	 	Lo Po 		124	AsMw	M0 V M1 V	{ 0 }	(B20+1)	[436A]	B	18	22
1201	Verg	M	0536	Teaealrerla	D552100-6	 	Lo Po 		124	AsMw	M0 V M1 V	{ -3 }	(500+5)	[1176]	B	18	25
1323	Verg	M	0536	Teaealrerla	D552000-6	 	Di Po 		024	Wild	M0 V M1 V	{ -3 }	(500-4)	[0000]	B	18	-20
1508	Verg	M	0536	Teaealrerla	D552000-6	 	Di Po 		024	Wild	M0 V M1 V	{ -3 }	(500+4)	[0000]	B	18	20
1900	Verg	M	0536	Teaealrerla	D552000-6	 	Di Po 		024	Wild	M0 V M1 V	{ -3 }	(500+1)	[0000]	B	18	5

1105	Verg	M	0537	Kyalauhea	B4307A5-C	 	De Na Po 		402	AsMw	M2 V M4 V	{ 2 }	(B6C+1)	[593A]	B	9	792
1201	Verg	M	0537	Kyalauhea	X430000-C	 	De Di Na Po 		002	AsMw	M2 V M4 V	{ -1 }	(B00+2)	[0000]	B	9	22
1323	Verg	M	0537	Kyalauhea	X430000-C	 	De Di Na Po 		002	Wild	M2 V M4 V	{ -1 }	(B00+1)	[0000]	B	9	11
1508	Verg	M	0537	Kyalauhea	X430000-C	 	De Di Po 		002	Wild	M2 V M4 V	{ -1 }	(B00-2)	[0000]	B	9	-22
1900	Verg	M	0537	Kyalauhea	X430000-C	 	De Di Po 		002	Wild	M2 V M4 V	{ -1 }	(B00+4)	[0000]	B	9	44

1105	Verg	M	0540	Eiaai	B78A589-D	 	Ni Pr Wa 		903	AsWc	K8 V	{ 1 }	(A45+2)	[666E]	Bc	11	400
1201	Verg	M	0540	Eiaai	X78A567-1	 	Ni Pr Wa 	B	403	AsWc	K8 V	{ -3 }	(740-2)	[5283]	Bc	11	-56
1323	Verg	M	0540	Eiaai	X78A530-3	 	Ni Pr Wa 		203	Wild	K8 V	{ -3 }	(740+2)	[6261]	Bc	11	56
1508	Verg	M	0540	Eiaai	X78A577-4	 	Ni Pr Wa 		203	Wild	K8 V	{ -3 }	(741-5)	[4233]	Bc	11	-140
1900	Verg	M	0540	Eiaai	X78A542-5	 	Ni Pr Wa 		303	Wild	K8 V	{ -3 }	(740+2)	[6235]	Bc	11	56

1105	Verg	I	0622	Lauren	D667501-8	 	Ag Pr Ga Ni 		413	ImDi	M2 V M6 V	{ -2 }	(B42-5)	[1314]	BcC	9	-440
1201	Verg	I	0622	Lauren	X667573-7	 	Ag Pr Ga Ni 		313	ImDi	M2 V M6 V	{ -2 }	(743+5)	[5344]	BcC	9	420
1323	Verg	I	0622	Lauren	X667475-1	 	Ga Ni Pa 		113	Wild	M2 V M6 V	{ -3 }	(733-3)	[4121]	Bc	9	-189
1508	Verg	I	0622	Lauren	X667400-3	 	Ga Ni Pa 		213	Wild	M2 V M6 V	{ -3 }	(733+3)	[3176]	Bc	9	189
1900	Verg	I	0622	Lauren	B667243-B	 	Ga Lo 		413	Wild	M2 V M6 V	{ 1 }	(B11-1)	[6358]	B	9	-11

1105	Verg	I	0626	Girija	C410367-9	 	Lo 		503	ImDi	K3 V	{ -1 }	(820-1)	[3259]	B	10	-16
1201	Verg	I	0626	Girija	X410000-9	 	Di 		003	ImDi	K3 V	{ -2 }	(800+1)	[0000]	B	10	8
1323	Verg	I	0626	Girija	X410000-9	 	Di 		003	Wild	K3 V	{ -2 }	(800+1)	[0000]	B	10	8
1508	Verg	I	0626	Girija	X410000-9	 	Di 		003	Wild	K3 V	{ -2 }	(800+1)	[0000]	B	10	8
1900	Verg	I	0626	Girija	X410000-9	 	Di 		003	Wild	K3 V	{ -2 }	(800-3)	[0000]	B	10	-24

1105	Verg	M	0637	Yetatla	C88A9D8-9	 	Hi Pr Wa 	A	604	AsTv	M1 V M1 V	{ 1 }	(F8B+1)	[9A59]	BcE	13	1320
1201	Verg	M	0637	Yetatla	X88A000-9	 	Di Wa 		004	AsTv	M1 V M1 V	{ -2 }	(F00+5)	[0000]	B	13	75
1323	Verg	M	0637	Yetatla	X88A000-9	 	Di Wa 		004	Wild	M1 V M1 V	{ -2 }	(F00+1)	[0000]	B	13	15
1508	Verg	M	0637	Yetatla	X88A000-9	 	Di Wa 		004	Wild	M1 V M1 V	{ -2 }	(F00+1)	[0000]	B	13	15
1900	Verg	M	0637	Yetatla	X88A000-9	 	Di Wa 		004	Wild	M1 V M1 V	{ -2 }	(F00-2)	[0000]	B	13	-30

1105	Verg	M	0640	Wyaakhuiahea	B100788-D	 	Na Pi Va 		102	AsMw	M0 V M2 V	{ 2 }	(B6D+2)	[795D]	BD	11	1716
1201	Verg	M	0640	Wyaakhuiahea	X100000-D	 	Di Na Pi Va 		002	AsMw	M0 V M2 V	{ -1 }	(B00+3)	[0000]	BD	11	33
1323	Verg	M	0640	Wyaakhuiahea	X100000-D	 	Di Na Pi Va 		002	Wild	M0 V M2 V	{ -1 }	(B00+1)	[0000]	BD	11	11
1508	Verg	M	0640	Wyaakhuiahea	X100000-D	 	Di Va 		002	Wild	M0 V M2 V	{ -1 }	(B00+1)	[0000]	B	11	11
1900	Verg	M	0640	Wyaakhuiahea	X100000-D	 	Di Va 		002	Wild	M0 V M2 V	{ -1 }	(B00-3)	[0000]	B	11	-33

1105	Verg	E	0711	Koirola	E433523-8	 	Ni Po 		102	ImDi	M2 V M8 V	{ -3 }	(941-5)	[2225]	B	12	-180
1201	Verg	E	0711	Koirola	X433000-8	 	Di Po 		002	ImDi	M2 V M8 V	{ -3 }	(900-2)	[0000]	B	12	-18
1323	Verg	E	0711	Koirola	X433000-8	 	Di Po 		002	Wild	M2 V M8 V	{ -3 }	(900+1)	[0000]	B	12	9
1508	Verg	E	0711	Koirola	X433000-8	 	Di Po 		002	Wild	M2 V M8 V	{ -3 }	(900-3)	[0000]	B	12	-27
1900	Verg	E	0711	Koirola	X433000-8	 	Di Po 		002	Wild	M2 V M8 V	{ -3 }	(900+1)	[0000]	B	12	9

1105	Verg	M	0738	Birendar	C77566A-8	 	Ag Ni 		900	AsMw	M2 V M3 V	{ -1 }	(853+1)	[857A]	BC	12	120
1201	Verg	M	0738	Birendar	E7757AA-7	 	Ag 	B	100	AsMw	M2 V M3 V	{ -1 }	(867+1)	[4698]	BC	12	336
1323	Verg	M	0738	Birendar	E775698-4	 	Ag Ni 		500	Wild	M2 V M3 V	{ -2 }	(850+1)	[5416]	BC	12	40
1508	Verg	M	0738	Birendar	E77568C-5	 	Ag Ni 		400	Wild	M2 V M3 V	{ -2 }	(850+1)	[7456]	BC	12	40
