Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vlan	A	0101	Aakhorn	X556752-2	 	     Ag 		204	Wild	F5 V G6 V	{ -1 }	(966+3)	[A691]	BC	11	972
Vlan	A	0102	Rokii	X799000-5	 	     Di 		010	Wild	M3 V	{ -3 }	(500+1)	[0000]	B	11	5
Vlan	A	0104	Maluuf	X432000-9	 	     Di Po 		010	Wild	K8 V K9 V	{ -2 }	(600+1)	[0000]	B	8	6
Vlan	A	0105	Gikkon	X543000-4	 	     Di Po 		032	Wild	G0 V G8 V	{ -3 }	(700+4)	[0000]	B	11	28
Vlan	A	0107	Taraddiin	X656454-3	 	      Ga Ni Pa 		911	Wild	M3 V	{ -3 }	(730+2)	[1164]	Bc	13	42
Vlan	A	0109	Hakkat	E6588AA-3	 	     Pa Ph 		523	Wild	G1 V	{ -2 }	(A76+2)	[7676]	Bce	13	840
Vlan	A	0110	Ossin	X100000-C	 	        Di Va 		005	Wild	M1 V	{ -1 }	(F00+5)	[0000]	B	9	75
Vlan	M	0131	Skasputin	E763000-6	 	     Di 		024	Wild	M2 V	{ -3 }	(500+3)	[0000]	B	10	15
Vlan	M	0132	Kald	D550000-7	S	      De Di Po 		001	Wild	M1 V M1 V	{ -3 }	(B00+1)	[0000]	B	8	11
Vlan	M	0134	Zanagud	X66A000-7	 	      Di Wa 		023	Wild	M2 V	{ -3 }	(800+2)	[0000]	B	14	16
Vlan	M	0135	Sakin	X430000-A	 	       De Di Po 		014	Wild	F9 V M4 V	{ -1 }	(D00+3)	[0000]	B	10	39
Vlan	M	0137	Shaaki	X9B4000-C	 	    Di Fl 		020	Wild	F1 V M1 V	{ -1 }	(B00+1)	[0000]	B	15	11
Vlan	A	0202	Kalkako	X544000-3	 	      Di 		024	Wild	F8 V K2 V	{ -3 }	(600+1)	[0000]	B	17	6
Vlan	A	0203	Bannon's World	X100000-A	 	     Di Va 		020	Wild	K6 V M3 V	{ -1 }	(800+1)	[0000]	B	13	8
Vlan	A	0205	Khankari	X885000-2	 	      Di Ga 		010	Wild	M2 V	{ -3 }	(600-3)	[0000]	B	13	-18
Vlan	A	0209	Lankhi	X746000-5	 	      Di 		003	Wild	M2 V	{ -3 }	(700+2)	[0000]	B	8	14
Vlan	A	0210	Khalgun	X576000-3	 	      Di 		001	Wild	M1 V	{ -3 }	(900-1)	[0000]	B	12	-9
Vlan	E	0211	Giikur	X689433-1	 	      Ni 		310	Wild	M2 V M9 V	{ -3 }	(731+2)	[1171]	B	8	42
Vlan	I	0221	Keshiil	X530000-9	 	      De Di Po 		020	Wild	M2 V	{ -2 }	(C00+1)	[0000]	B	9	12
Vlan	M	0232	Tratami	X9C7000-9	 	     Di Fl 		023	Wild	F7 III M2 V	{ -2 }	(F00+3)	[0000]	B	8	45
Vlan	M	0234	Nurrungar	X649000-7	 	     Di 		010	Wild	M3 V M3 V	{ -3 }	(300-2)	[0000]	B	11	-6
Vlan	M	0236	Khishugii	X420000-B	 	      De He Di Po 		010	Wild	M0 V	{ -1 }	(800-1)	[0000]	B	14	-8
Vlan	M	0237	Shashim	X427000-C	 	     Di 		003	Wild	G8 V	{ -1 }	(B00-1)	[0000]	B	12	-11
Vlan	A	0303	Anert	X9B4000-B	 	      Di Fl 		010	Wild	G7 V	{ -1 }	(900+3)	[0000]	B	11	27
Vlan	A	0306	Skathi	C585676-6	S	      Ag Ri Ni 		210	Wild	K0 V M0 V	{ 0 }	(854-2)	[6633]	BC	14	-320
Vlan	A	0307	Enard	X8A3000-9	 	     Di Fl 		001	Wild	M1 V M7 V	{ -2 }	(A00+4)	[0000]	B	9	40
