Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Vlan	A	0101	Aakhorn	X556648-2	 	        (NIL)  Ag Ni 		904	Wild	F5 V G6 V	{ -2 }	(951+3)	[A432]	BC	11	135
Vlan	A	0102	Rokii	X799000-7	 	           Di 		010	Wild	M3 V	{ -3 }	(500-3)	[0000]	B	11	-15
Vlan	A	0104	Maluuf	X432000-9	 	           Di Po 		010	Wild	K8 V K9 V	{ -2 }	(600-2)	[0000]	B	8	-12
Vlan	A	0105	Gikkon	X543000-7	 	           Di Po 		032	Wild	G0 V G8 V	{ -3 }	(700+1)	[0000]	B	11	7
Vlan	A	0107	Taraddiin	E656577-7	 	            Ag Ga Ni 		211	Wild	M3 V	{ -2 }	(744+1)	[2397]	BC	13	112
Vlan	A	0109	Hakkat	E6588B9-4	 	         (NIL)  Pa Ph (NIL)		323	Wild	G1 V	{ -2 }	(A75+1)	[8681]	Bce	13	350
Vlan	A	0110	Ossin	X100000-C	 	        Pz      Di Va 		005	Wild	M1 V	{ -1 }	(F00+1)	[0000]	B	9	15
Vlan	M	0131	Skasputin	E763000-6	 	           Di 		024	Wild	M2 V	{ -3 }	(500-2)	[0000]	B	10	-10
Vlan	M	0132	Kald	D550653-7	S	     Pz     (NIL)  De Ni Po 		401	Wild	M1 V M1 V	{ -3 }	(B53+2)	[A37B]	B	8	330
Vlan	M	0134	Zanagud	X66A654-4	 	           Ni Ri Wa 		323	Wild	M2 V	{ -2 }	(853-4)	[7464]	BC	14	-480
Vlan	M	0135	Sakin	X430000-A	 	             De Di Po 		014	Wild	F9 V M4 V	{ -1 }	(D00+1)	[0000]	B	10	13
Vlan	M	0137	Shaaki	X9B4000-C	 	        (ENIL)  Di Fl 		020	Wild	F1 V M1 V	{ -1 }	(B00+1)	[0000]	B	15	11
Vlan	A	0202	Kalkako	X544000-6	 	            Di 		024	Wild	F8 V K2 V	{ -3 }	(600-3)	[0000]	B	17	-18
Vlan	A	0203	Bannon's World	X100000-A	 	           Di Va 		020	Wild	K6 V M3 V	{ -1 }	(800+1)	[0000]	B	13	8
Vlan	A	0205	Khankari	X885000-3	 	            Di Ga 		010	Wild	M2 V	{ -3 }	(600+1)	[0000]	B	13	6
Vlan	A	0209	Lankhi	X746000-5	 	            Di 		003	Wild	M2 V	{ -3 }	(700-5)	[0000]	B	8	-35
Vlan	A	0210	Khalgun	X576799-2	 	           (NIL)  Ag Pi (NIL)		301	Wild	M1 V	{ -1 }	(965+1)	[8671]	BCD	12	270
Vlan	E	0211	Giikur	X689510-2	 	           Ni Pr 		410	Wild	M2 V M9 V	{ -3 }	(740+4)	[2211]	Bc	8	112
Vlan	I	0221	Keshiil	X530000-9	 	          (NIL)  De Di Po 		020	Wild	M2 V	{ -2 }	(C00+2)	[0000]	B	9	24
Vlan	M	0232	Tratami	X9C7000-9	 	         (ENIL)  Di Fl 		023	Wild	F7 III M2 V	{ -2 }	(F00+1)	[0000]	B	8	15
Vlan	M	0234	Nurrungar	X649000-4	 	           Di 		010	Wild	M3 V M3 V	{ -3 }	(300+1)	[0000]	B	11	3
Vlan	M	0236	Khishugii	X420000-B	 	             De He Di Po 		010	Wild	M0 V	{ -1 }	(800-3)	[0000]	B	14	-24
Vlan	M	0237	Shashim	X427000-C	 	           Di 		003	Wild	G8 V	{ -1 }	(B00+3)	[0000]	B	12	33
Vlan	A	0303	Anert	X9B4000-B	 	            Di Fl 		010	Wild	G7 V	{ -1 }	(900+1)	[0000]	B	11	9
Vlan	A	0306	Skathi	C585635-7	NS	             Ag Ri Ni 		210	Wild	K0 V M0 V	{ 1 }	(853+1)	[6714]	BC	14	120
Vlan	A	0307	Enard	X8A3000-9	 	     Pz    (ENIL)  Di Fl 		001	Wild	M1 V M7 V	{ -2 }	(A00+1)	[0000]	B	9	10
Vlan	E	0311	Omero	X430000-F	 	           De Di Po 		022	Wild	G8 V M3 V	{ -1 }	(900+2)	[0000]	B	13	18
Vlan	M	0333	Paspaa	X554000-1	 	            Di 		010	Wild	G0 V K3 V	{ -3 }	(600+1)	[0000]	B	11	6
Vlan	M	0335	Nadud	X97A000-7	 	           Di Wa 		020	Wild	M1 V	{ -3 }	(500+1)	[0000]	B	13	5
Vlan	M	0336	Parsi	X9899AE-3	 	      Pz    (NIL)  Hi Pr (NIL)		224	Wild	K9 V	{ -1 }	(C89-4)	[9811]	BcE	12	-3456
Vlan	M	0338	Vanessa	X568000-6	 	           Di 		010	Wild	K8 V M0 V	{ -3 }	(500-1)	[0000]	B	14	-5
Vlan	M	0340	Jessheim	XAC5000-E	 	           Di Fl 		025	Wild	M2 V	{ -1 }	(B00+1)	[0000]	B	11	11
Vlan	A	0402	Kuk	E540000-4	 	             De He Di Po 		001	Wild	K2 V K6 V	{ -3 }	(400+5)	[0000]	B	8	20
Vlan	A	0403	Apkeraas	X438000-9	 	           Di 		020	Wild	G2 V	{ -2 }	(900+2)	[0000]	B	8	18
Vlan	A	0404	Katti	X8D8000-D	 	           Di 		004	Wild	M3 V	{ -1 }	(800-3)	[0000]	B	8	-24
Vlan	A	0408	Shaddukan	X622000-D	 	           Di He Po 		010	Wild	G1 V	{ -1 }	(400-1)	[0000]	B	13	-4
Vlan	I	0422	Niirka	X300000-F	 	            Di Va 		022	Wild	M9 III D	{ -1 }	(D00-3)	[0000]	B	15	-39
Vlan	I	0430	Khulekii	X677879-2	 	           (NIL)  Pa Pi Ph (NIL)		222	Wild	G3 V	{ -2 }	(A73+1)	[A662]	BcDe	11	210
Vlan	M	0431	Answerin	X584000-1	 	       (Answerin)   (NIL)  Di 		020	Wild	F7 V G0 V	{ -3 }	(C00-4)	[0000]	B	10	-48
Vlan	M	0434	Geguru	X000000-9	 	             As Va Di 		025	Wild	K1 V	{ -2 }	(D00+2)	[0000]	B	11	26
Vlan	M	0435	Ganidam	X100000-B	 	           Di Va 		001	Wild	M2 V M5 V	{ -1 }	(700+1)	[0000]	B	5	7
Vlan	M	0436	Meprim	X300000-D	 	           Di Va 		010	Wild	M1 V	{ -1 }	(400+1)	[0000]	B	10	4
Vlan	M	0437	Thatii	XA7A000-5	 	      Da      Di Oc 		024	Wild	K8 V	{ -3 }	(600+1)	[0000]	B	11	6
Vlan	A	0502	Lugaluru	E859000-8	 	           Di 		001	Wild	M0 V	{ -3 }	(700-3)	[0000]	B	9	-21
Vlan	A	0506	Gamibuu	X524000-A	 	           Di 		001	Wild	K0 V M3 V	{ -1 }	(900+1)	[0000]	B	9	9
Vlan	A	0507	Kharta	X55277B-2	 	         (NIL)  Po (NIL)		304	Wild	G9 V K6 V	{ -2 }	(963+2)	[9571]	B	11	324
Vlan	A	0508	Arfaan	C767454-A	 	           Ga Ni Pa 		413	Wild	M1 V	{ 0 }	(A34+1)	[543F]	Bc	11	120
Vlan	I	0530	Pirrom	C884443-9	 	            Ni Pa 		811	Wild	G2 V	{ -1 }	(931+2)	[3388]	Bc	14	54
Vlan	M	0531	Seglound	X99A000-7	 	           Di Wa 		020	Wild	M1 V	{ -3 }	(600-2)	[0000]	B	14	-12
Vlan	M	0532	Kinswana	X310000-B	 	            Di 		004	Wild	K6 V	{ -1 }	(C00-1)	[0000]	B	9	-12
