Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Vlan	A	0101	Aakhorn	D556754-7	 	     Ag 		204	ImDv	F5 V G6 V	{ -1 }	(967-3)	[5635]	BC	11	-1134
1201	Vlan	A	0101	Aakhorn	X556757-7	 	     Ag 		304	ImDv	F5 V G6 V	{ -1 }	(969+1)	[861A]	BC	11	486
1240	Vlan	A	0101	Aakhorn	X556732-0	 	     Ag 		104	Wild	F5 V G6 V	{ -1 }	(966-1)	[6645]	BC	11	-324
1508	Vlan	A	0101	Aakhorn	X556752-2	 	     Ag 		204	Wild	F5 V G6 V	{ -1 }	(966+3)	[A691]	BC	11	972
1900	Vlan	A	0101	Aakhorn	X5567AC-2	 	     Ag 		104	Wild	F5 V G6 V	{ -1 }	(966+4)	[6641]	BC	11	1296

1105	Vlan	A	0102	Rokii	E799345-8	 	     Lo 		210	ImDv	M3 V	{ -3 }	(620-5)	[1136]	B	11	-60
1201	Vlan	A	0102	Rokii	X799136-5	 	     Lo 		310	ImDv	M3 V	{ -3 }	(500+1)	[2161]	B	11	5
1240	Vlan	A	0102	Rokii	X799000-5	 	     Di 		010	Wild	M3 V	{ -3 }	(500+1)	[0000]	B	11	5
1508	Vlan	A	0102	Rokii	X799000-5	 	     Di 		010	Wild	M3 V	{ -3 }	(500+1)	[0000]	B	11	5
1900	Vlan	A	0102	Rokii	X799000-5	 	     Di 		010	Wild	M3 V	{ -3 }	(500-4)	[0000]	B	11	-20

1105	Vlan	A	0104	Maluuf	E432338-9	 	     Lo Px Po 		110	ImDv	K8 V K9 V	{ -2 }	(620-2)	[3159]	B	8	-24
1201	Vlan	A	0104	Maluuf	X432000-9	 	     Di Px Po 		010	ImDv	K8 V K9 V	{ -2 }	(600-5)	[0000]	B	8	-30
1240	Vlan	A	0104	Maluuf	X432000-9	 	     Di Px Po 		010	Wild	K8 V K9 V	{ -2 }	(600+1)	[0000]	B	8	6
1508	Vlan	A	0104	Maluuf	X432000-9	 	     Di Po 		010	Wild	K8 V K9 V	{ -2 }	(600+1)	[0000]	B	8	6
1900	Vlan	A	0104	Maluuf	X432000-9	 	     Di Po 		010	Wild	K8 V K9 V	{ -2 }	(600-4)	[0000]	B	8	-24

1105	Vlan	A	0105	Gikkon	E543500-8	 	     Ni Po 		932	ImDv	G0 V G8 V	{ -3 }	(C41-5)	[1213]	B	11	-240
1201	Vlan	A	0105	Gikkon	X543575-4	 	     Ni Po 	B	532	ImDv	G0 V G8 V	{ -3 }	(740-2)	[3263]	B	11	-56
1240	Vlan	A	0105	Gikkon	X543000-4	 	     Di Po 		032	Wild	G0 V G8 V	{ -3 }	(700-1)	[0000]	B	11	-7
