Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Wind	A	0104	Dognezafue	X98947C-0	 	      Ni 		903	Wild	F7 V M6 V	-3	(731-1)	[4111]	B	10	-21
Wind	E	0111	Kfoghuenggzu	E5547BB-1	 	     Ag (NIL)		103	Wild	F1 V M2 V	-1	(967+2)	[6632]	BC	12	756
Wind	E	0113	Seos	D576000-5	 	      Di 		013	Wild	F9 V M8 V M3 V	-3	(800-3)	[0000]	B	11	-24
Wind	M	0137	Thognu	X543000-3	 	      Di Po (NIL)		004	Wild	F4 V	-3	(A00-5)	[0000]	B	11	-50
Wind	A	0202	Dzoulodzzueng	X555779-1	 	     Ag (NIL)		613	Wild	F9 V M8 V	-1	(965-2)	[3611]	BC	17	-540
Wind	A	0204	Lliurr	XAE4000-4	 	    Pz  Di (NIL)		014	Wild	F4 V	-3	(B00+1)	[0000]	B	16	11
Wind	A	0206	Ghoearrg	X000000-A	 	      As Va Di 		007	Wild	G3 V M7 V M1 V	-1	(B00-1)	[0000]	B	18	-11
Wind	A	0207	Oganaksfouts	D797000-7	 	     Di 		004	Wild	F1 V	-3	(500+2)	[0000]	B	9	10
Wind	E	0211	Dharukeksoue	X200000-9	 	       Di Va 		005	Wild	K0 V	-2	(H00-1)	[0000]	B	18	-17
Wind	M	0237	Goza	E867594-1	 	      Ag Pr Ga Ni 		204	Wild	F9 V	-2	(740+4)	[1375]	BcC	7	112
Wind	A	0302	Knoengrugh	X88A784-0	 	      Ri Wa (NIL)		412	Wild	G7 V M6 V M4 V	-1	(A61+2)	[8641]	BC	9	120
Wind	A	0310	Knoerorr	X310000-D	 	     Di 		016	Wild	M1 V M2 V	-1	(D00-3)	[0000]	B	18	-39
Wind	M	0336	Ourrezuekh	C56867C-6	 	      Ag Ri Ni 		317	Wild	F9 V M3 V	0	(851+1)	[8636]	BC	16	40
Wind	M	0338	Uekotoeaerrar	X579000-3	 	     Di 		006	Wild	G3 V M1 V	-3	(600+2)	[0000]	B	14	12
Wind	A	0402	Genfoghudzuks	D566679-0	 	      Ag Ri Ni 		400	Wild	F4 V	-1	(854-2)	[35A3]	BC	9	-320
Wind	A	0403	Koeguksue	X569000-6	 	      Di 		005	Wild	G7 V	-3	(700-1)	[0000]	B	14	-7
Wind	A	0407	Luaenak	EA9A000-5	 	     Di Oc 		016	Wild	F1 V M3 V	-3	(800+2)	[0000]	B	11	16
