Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Wind	A	0104	Dognezafue	E989585-3	 	     Ni Pr 		403	VVar	F7 V M6 V	-3	(741-5)	[3231]	Bc	10	-140
1201	Wind	A	0104	Dognezafue	X989554-0	 	     Ni Pr 	B	303	VVar	F7 V M6 V	-3	(743+1)	[6261]	Bc	10	84
1199	Wind	A	0104	Dognezafue	X989579-0	 	     Ni Pr 		103	Wild	F7 V M6 V	-3	(743+3)	[8241]	Bc	10	252
1508	Wind	A	0104	Dognezafue	X98947C-0	 	      Ni 		903	Wild	F7 V M6 V	-3	(731-1)	[4111]	B	10	-21
1900	Wind	A	0104	Dognezafue	X989577-0	 	     Ni Pr 		103	Wild	F7 V M6 V	-3	(743+1)	[5252]	Bc	10	84

1105	Wind	E	0111	Kfoghuenggzu	C554799-4	 	     Ag (NIL)		303	VVar	F1 V M2 V	0	(966+1)	[8765]	BC	12	324
1201	Wind	E	0111	Kfoghuenggzu	E5547CB-4	 	     Ag (NIL)	B	403	VVar	F1 V M2 V	-1	(965+1)	[8663]	BC	12	270
1199	Wind	E	0111	Kfoghuenggzu	E5547C9-0	 	     Ag (NIL)		203	Wild	F1 V M2 V	-1	(969+1)	[6661]	BC	12	486
1508	Wind	E	0111	Kfoghuenggzu	E5547BB-1	 	     Ag (NIL)		103	Wild	F1 V M2 V	-1	(967+2)	[6632]	BC	12	756
1900	Wind	E	0111	Kfoghuenggzu	E5546BF-2	 	    Ag Ni (NIL)		903	Wild	F1 V M2 V	-2	(950+1)	[8414]	BC	12	45

1105	Wind	E	0113	Seos	B576685-5	 	     Ag Ni 		213	VVar	F9 V M8 V M3 V	0	(854-2)	[4633]	BC	11	-320
1201	Wind	E	0113	Seos	D576632-5	 	     Ag Ni 	B	313	VVar	F9 V M8 V M3 V	-2	(852-1)	[6415]	BC	11	-80
1199	Wind	E	0113	Seos	D576000-5	 	      Di 		013	Wild	F9 V M8 V M3 V	-3	(800-1)	[0000]	B	11	-8
1508	Wind	E	0113	Seos	D576000-5	 	      Di 		013	Wild	F9 V M8 V M3 V	-3	(800-3)	[0000]	B	11	-24
1900	Wind	E	0113	Seos	D576000-5	 	      Di 		013	Wild	F9 V M8 V M3 V	-3	(800+4)	[0000]	B	11	32

1105	Wind	M	0137	Thognu	E543864-5	 	      Ph Pi Po (NIL)		104	VNgC	F4 V	-2	(A75-4)	[6633]	BDe	11	-1400
1201	Wind	M	0137	Thognu	X543000-3	 	      Di Po (NIL)		004	VNgC	F4 V	-3	(A00-2)	[0000]	B	11	-20
1199	Wind	M	0137	Thognu	X543000-3	 	      Di Po (NIL)		004	Wild	F4 V	-3	(A00+5)	[0000]	B	11	50
1508	Wind	M	0137	Thognu	X543000-3	 	      Di Po (NIL)		004	Wild	F4 V	-3	(A00-5)	[0000]	B	11	-50
1900	Wind	M	0137	Thognu	X543000-3	 	      Di Po (NIL)		004	Wild	F4 V	-3	(A00-1)	[0000]	B	11	-10

1105	Wind	A	0202	Dzoulodzzueng	B555774-A	 	     Ag (NIL)		913	VVar	F9 V M8 V	3	(D6C+1)	[5A38]	BC	17	936
1201	Wind	A	0202	Dzoulodzzueng	X555895-8	 	    Pa Ph (NIL)		113	VVar	F9 V M8 V	-2	(D76-1)	[D66A]	Bce	17	-546
1199	Wind	A	0202	Dzoulodzzueng	X5557A9-0	 	     Ag (NIL)		513	Wild	F9 V M8 V	-1	(964-5)	[8681]	BC	17	-1080
1508	Wind	A	0202	Dzoulodzzueng	X555779-1	 	     Ag (NIL)		613	Wild	F9 V M8 V	-1	(965-2)	[3611]	BC	17	-540
1900	Wind	A	0202	Dzoulodzzueng	X555779-2	 	     Ag (NIL)		613	Wild	F9 V M8 V	-1	(962-2)	[6643]	BC	17	-216

1105	Wind	A	0204	Lliurr	EAE49C9-4	 	    Pz  Hi (NIL)	A	514	VVar	F4 V	-1	(B86+1)	[A865]	BE	16	528
1201	Wind	A	0204	Lliurr	XAE4000-4	 	    Pz  Di (NIL)		014	VVar	F4 V	-3	(B00+2)	[0000]	B	16	22
1199	Wind	A	0204	Lliurr	XAE4000-4	 	    Pz  Di (NIL)		014	Wild	F4 V	-3	(B00+1)	[0000]	B	16	11
1508	Wind	A	0204	Lliurr	XAE4000-4	 	    Pz  Di (NIL)		014	Wild	F4 V	-3	(B00+1)	[0000]	B	16	11
1900	Wind	A	0204	Lliurr	XAE4000-4	 	    Pz  Di (NIL)		014	Wild	F4 V	-3	(B00+1)	[0000]	B	16	11

1105	Wind	A	0206	Ghoearrg	D000257-A	 	      As Va Lo 		607	VVar	G3 V M7 V M1 V	-1	(B10-1)	[215A]	B	18	-11
1201	Wind	A	0206	Ghoearrg	X000000-A	 	      As Va Di 		007	VVar	G3 V M7 V M1 V	-1	(B00-4)	[0000]	B	18	-44
1199	Wind	A	0206	Ghoearrg	X000000-A	 	      As Va Di 		007	Wild	G3 V M7 V M1 V	-1	(B00+1)	[0000]	B	18	11
1508	Wind	A	0206	Ghoearrg	X000000-A	 	      As Va Di 		007	Wild	G3 V M7 V M1 V	-1	(B00-1)	[0000]	B	18	-11
1900	Wind	A	0206	Ghoearrg	X000000-A	 	      As Va Di 		007	Wild	G3 V M7 V M1 V	-1	(B00+1)	[0000]	B	18	11

1105	Wind	A	0207	Oganaksfouts	B797366-8	 	     Lo 		904	VVar	F1 V	-1	(920-2)	[2247]	B	9	-36
1201	Wind	A	0207	Oganaksfouts	D79717A-7	 	     Lo 		204	VVar	F1 V	-3	(500-1)	[4159]	B	9	-5
1199	Wind	A	0207	Oganaksfouts	D797000-7	 	     Di 		004	Wild	F1 V	-3	(500-3)	[0000]	B	9	-15
1508	Wind	A	0207	Oganaksfouts	D797000-7	 	     Di 		004	Wild	F1 V	-3	(500+2)	[0000]	B	9	10
1900	Wind	A	0207	Oganaksfouts	D797000-7	 	     Di 		004	Wild	F1 V	-3	(500+1)	[0000]	B	9	5

1105	Wind	E	0211	Dharukeksoue	C200A79-9	 	      Hi Na In Va 		505	VVar	K0 V	2	(H9C+3)	[BC6A]	BE	18	5508
1201	Wind	E	0211	Dharukeksoue	X200000-9	 	      Di Na In Va 		005	VVar	K0 V	-1	(H00+4)	[0000]	BE	18	68
1199	Wind	E	0211	Dharukeksoue	X200000-9	 	      Di Na In Va 		005	Wild	K0 V	-1	(H00+1)	[0000]	BE	18	17
1508	Wind	E	0211	Dharukeksoue	X200000-9	 	       Di Va 		005	Wild	K0 V	-2	(H00-1)	[0000]	B	18	-17
1900	Wind	E	0211	Dharukeksoue	X200000-9	 	       Di Va 		005	Wild	K0 V	-2	(H00+1)	[0000]	B	18	17

1105	Wind	M	0237	Goza	C867557-5	 	      Ag Pr Ga Ni 		704	VNgC	F9 V	-1	(743-1)	[5455]	BcC	7	-84
1201	Wind	M	0237	Goza	E867546-4	 	      Ag Pr Ga Ni 	B	404	VNgC	F9 V	-2	(743-3)	[5345]	BcC	7	-252
1199	Wind	M	0237	Goza	E867552-1	 	      Ag Pr Ga Ni 		204	Wild	F9 V	-2	(743+2)	[1361]	BcC	7	168
1508	Wind	M	0237	Goza	E867594-1	 	      Ag Pr Ga Ni 		204	Wild	F9 V	-2	(740+4)	[1375]	BcC	7	112
1900	Wind	M	0237	Goza	E867532-2	 	      Ag Pr Ga Ni 		204	Wild	F9 V	-2	(740+1)	[6311]	BcC	7	28

1105	Wind	A	0302	Knoengrugh	D88A875-3	 	     Ph Ri Wa (NIL)		512	VVar	G7 V M6 V M4 V	-1	(A75-3)	[6731]	BCe	9	-1050
1201	Wind	A	0302	Knoengrugh	X88A77A-3	 	      Ri Wa (NIL)	B	612	VVar	G7 V M6 V M4 V	-1	(A66-2)	[8676]	BC	9	-720
1199	Wind	A	0302	Knoengrugh	X88A723-0	 	      Ri Wa (NIL)		312	Wild	G7 V M6 V M4 V	-1	(A68-1)	[B681]	BC	9	-480
1508	Wind	A	0302	Knoengrugh	X88A784-0	 	      Ri Wa (NIL)		412	Wild	G7 V M6 V M4 V	-1	(A61+2)	[8641]	BC	9	120
1900	Wind	A	0302	Knoengrugh	X88A77C-0	 	      Ri Wa (NIL)		512	Wild	G7 V M6 V M4 V	-1	(A64+2)	[A622]	BC	9	480

1105	Wind	A	0310	Knoerorr	A310400-D	 	     Ni 		816	VVar	M1 V M2 V	2	(D35-2)	[1618]	B	18	-390
