Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaok	A	0104	Nguerzaekh	E230758-2	 	De Na Po 		102	Wild	G5 IV D	{ -2 }	(761+1)	[95A2]	B	0	42
Zaok	A	0105	Khuraezvoen	D7B3000-8	 	Di Fl 		004	Wild	M1 V	{ -3 }	(900+1)	[0000]	B	0	9
Zaok	A	0109	Sullkhoekorr	B400842-3	 	Na Pi Ph Va 		100	Wild	F6 V	{ 0 }	(572+3)	[D837]	BDe	0	210
Zaok	I	0127	Faeghvarrok	E625000-9	 	Di 		022	Wild	M1 V M1 V M1 V D	{ -2 }	(700+1)	[0000]	B	0	7
Zaok	M	0137	Turadhadz	C8A3886-4	 	Fl Ph 		200	Wild	F3 V	{ -1 }	(273-5)	[C752]	Be	0	-210
Zaok	M	0139	Loure	D628000-4	 	Di 		001	Wild	M7 V	{ -3 }	(400-3)	[0000]	B	0	-12
Zaok	E	0211	Gonaetssarr	B96A577-8	 	Ni Pr Wa 		205	Wild	F0 V D	{ -1 }	(E40-2)	[4455]	Bc	0	-112
Zaok	E	0214	Ksoenaek	A537AD9-G	 	Hi 		318	Wild	F9 V D	{ 4 }	(G9B+3)	[AE1F]	BEf	0	4752
Zaok	I	0225	Khukfok	E647000-5	 	Di 		024	Wild	F2 V	{ -3 }	(600+1)	[0000]	B	0	6
Zaok	I	0230	Ruva	X491000-A	 	Di He In 		002	Wild	F0 V D	{ 0 }	(700-2)	[0000]	BE	0	-14
Zaok	M	0233	Gzoughia	C775753-3	 	Ag Pi 		224	Wild	G1 V	{ 0 }	(463-3)	[8764]	BCD	0	-216
Zaok	E	0318	Khukfatsoeng	D345755-3	 	Ag Pi 		231	Wild	K8 V D	{ -1 }	(967-1)	[A651]	BCD	0	-378
Zaok	I	0326	Oraghzgnough	X661000-D	 	Di 		000	Wild	K7 V	{ -1 }	(700-1)	[0000]	B	0	-7
Zaok	I	0327	Geadhkaets	D895000-C	 	Di 		004	Wild	F8 V D	{ -1 }	(C00-2)	[0000]	B	0	-24
Zaok	I	0328	Raloethul	D426000-2	 	Di 		004	Wild	M4 V D	{ -3 }	(A00+2)	[0000]	B	0	20
Zaok	I	0330	Dzirugaksvog	D697000-2	 	Di 		000	Wild	F5 V	{ -3 }	(700+1)	[0000]	B	0	7
Zaok	M	0333	Khoezo	D575000-5	 	Di 		004	Wild	G8 V M4 V F2 V	{ -3 }	(700+4)	[0000]	B	0	28
Zaok	M	0334	Soutsgvaek	E659785-5	 			200	Wild	G2 V	{ -2 }	(566-2)	[9592]	B	0	-360
