Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Zaok	A	0104	Nguerzaekh	E230745-3	 	De Na Po 		202	Va	G5 IV D	{ 0 }	(766+1)	[]	B	0	0
1116	Zaok	A	0104	Nguerzaekh	E230758-2	 	De Na Po 		102	Wild	G5 IV D	{ -2 }	(761+1)	[95A2]	B	0	42
1508	Zaok	A	0104	Nguerzaekh	E230747-2	 	De Na Po 		202	Wild	G5 IV D	{ -2 }	(761+1)	[7573]	B	0	42
1201	Zaok	A	0104	Nguerzaekh	X230000-2	 	De Di Na Po 		002	Wild	G5 IV D	{ -3 }	(700+4)	[0000]	B	0	28
1900	Zaok	A	0104	Nguerzaekh	A230ABF-D	 	De Hi Na Po 		502	NaVa	G5 IV D	{ 3 }	(996-1)	[BD5B]	BE	0	-486

1105	Zaok	A	0105	Khuraezvoen	C7B3413-8	 	Fl Ni 		304	Va	M1 V	{ 0 }	(936-1)	[]	B	0	0
1116	Zaok	A	0105	Khuraezvoen	D7B3000-8	 	Di Fl 		004	Wild	M1 V	{ -3 }	(900+1)	[0000]	B	0	9
1508	Zaok	A	0105	Khuraezvoen	D7B3000-8	 	Di Fl 		004	Wild	M1 V	{ -3 }	(900-3)	[0000]	B	0	-27
1201	Zaok	A	0105	Khuraezvoen	X7B3000-8	 	Di Fl 		004	Wild	M1 V	{ -3 }	(900-1)	[0000]	B	0	-9
1900	Zaok	A	0105	Khuraezvoen	B7B3776-9	 	Fl 		604	NaVa	M1 V	{ 1 }	(969+1)	[786A]	B	0	486

1105	Zaok	A	0109	Sullkhoekorr	B400878-5	 	Na Pi Ph Va 		300	Va	F6 V	{ 0 }	(573-2)	[]	BDe	0	0
1116	Zaok	A	0109	Sullkhoekorr	B400842-3	 	Na Pi Ph Va 		100	Wild	F6 V	{ 0 }	(572+3)	[D837]	BDe	0	210
1508	Zaok	A	0109	Sullkhoekorr	B4008CA-4	 	Na Pi Ph Va 		200	Wild	F6 V	{ 0 }	(575-2)	[5851]	BDe	0	-350
1201	Zaok	A	0109	Sullkhoekorr	X400000-4	 	Di Na Pi Va 		000	Wild	F6 V	{ -3 }	(500+1)	[0000]	BD	0	5
1900	Zaok	A	0109	Sullkhoekorr	E400999-3	 	Hi Na In Va 		700	NaVa	F6 V	{ 0 }	(588-2)	[6921]	BE	0	-640

1105	Zaok	I	0127	Faeghvarrok	B625330-9	 	Lo 		922	Va	M1 V M1 V M1 V D	{ 0 }	(720-1)	[]	B	0	0
1116	Zaok	I	0127	Faeghvarrok	E625000-9	 	Di 		022	Wild	M1 V M1 V M1 V D	{ -2 }	(700+1)	[0000]	B	0	7
1508	Zaok	I	0127	Faeghvarrok	E625000-9	 	Di 		022	Wild	M1 V M1 V M1 V D	{ -2 }	(700-1)	[0000]	B	0	-7
1201	Zaok	I	0127	Faeghvarrok	X625000-9	 	Di 		022	Wild	M1 V M1 V M1 V D	{ -2 }	(700-5)	[0000]	B	0	-35
1900	Zaok	I	0127	Faeghvarrok	X6257AA-0	 	Pi 		222	NaVa	M1 V M1 V M1 V D	{ -2 }	(362+2)	[6591]	BD	0	72

1105	Zaok	M	0137	Turadhadz	C8A3831-6	 	Fl Ph 		500	Va	F3 V	{ 0 }	(277+1)	[]	Be	0	0
1116	Zaok	M	0137	Turadhadz	C8A3886-4	 	Fl Ph 		200	Wild	F3 V	{ -1 }	(273-5)	[C752]	Be	0	-210
1508	Zaok	M	0137	Turadhadz	C8A3856-6	 	Fl Ph 		200	Wild	F3 V	{ -1 }	(278+1)	[B71B]	Be	0	112
1201	Zaok	M	0137	Turadhadz	X8A3000-6	 	Di Fl 		000	Wild	F3 V	{ -3 }	(200-2)	[0000]	B	0	-4
1900	Zaok	M	0137	Turadhadz	A8A3783-A	 	Fl 		400	NaVa	F3 V	{ 2 }	(269-2)	[792C]	B	0	-216

