Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Zaru	A	0101	Didraga	X100000-8	 	      Pz  Di Va 		003	Wild	K0 V	-3	(D00+1)	[0000]	B	10	13
Zaru	A	0106	Ymirial	X200000-A	 	     Di Va 		003	Wild	M3 V M5 V	-1	(600+4)	[0000]	B	10	24
Zaru	A	0108	San Nuska Kilna	X554730-1	 	    Pz  Ag (NIL)		202	Wild	A2 V	-1	(966+2)	[7631]	BC	11	648
Zaru	A	0109	Zed	X431000-A	 	     Di Po (NIL)		004	Wild	G0 III	-1	(D00-4)	[0000]	B	8	-52
Zaru	A	0110	Norsec	X427000-B	 	     Di 		004	Wild	K2 V	-1	(B00+1)	[0000]	B	10	11
Zaru	E	0112	Numdaag	X553000-4	 	    Darm2  Di Po (NIL)		003	Wild	F1 V M6 V	-3	(C00+2)	[0000]	B	10	24
Zaru	E	0114	Tsunami	E542000-8	 	     Di He Po 		025	Wild	K4 V M7 V	-3	(F00+5)	[0000]	B	14	75
Zaru	E	0115	Framiller	E896000-8	 	     Pz  Di (NIL)		012	Wild	K5 III M1 V	-3	(C00+1)	[0000]	B	6	12
Zaru	E	0116	Travis	X97A000-6	 	     Di Wa 		013	Wild	F1 V	-3	(500+2)	[0000]	B	12	10
Zaru	E	0120	Norton	X310000-A	 	     Di 		024	Wild	M1 V	-1	(900+3)	[0000]	B	10	27
Zaru	I	0121	Corta	X625000-7	 	     Di (NIL)		023	Wild	K1 V M5 V	-3	(900-2)	[0000]	B	10	-18
Zaru	I	0124	Lorrius	X200000-D	 	     Di Va 		024	Wild	M1 V	-1	(C00-3)	[0000]	B	11	-36
Zaru	I	0126	Adzel	X422000-A	 	     O:0227  Di He Po 		000	Wild	F5 V	-1	(800+1)	[0000]	B	11	8
Zaru	I	0127	Quippa	X857000-5	 	     O:0227  Di Ga 		012	Wild	F8 V	-3	(600-5)	[0000]	B	11	-30
Zaru	I	0130	Fuji	XAA5000-D	 	     Di Fl 		004	Wild	F3 V M5 V	-1	(800+4)	[0000]	B	15	32
Zaru	M	0135	Farreach	X667000-2	 	     Di Ga 		024	Wild	F1 V	-3	(400+4)	[0000]	B	16	16
Zaru	M	0140	Askyat	X665889-1	 	     Droy3  Ga Pa Ri Ph (NIL)		214	Wild	F2 V M6 V	-1	(A75-1)	[7711]	BcCe	11	-350
Zaru	A	0201	Selsinia	D641751-6	 	      He Pi Po (NIL)		314	Wild	K5 V M3 V	-2	(963+5)	[553A]	BD	11	810
Zaru	A	0204	Allis	X438000-B	 	     Di 		003	Wild	F2 V	-1	(A00+1)	[0000]	B	10	10
Zaru	A	0209	Arxani	X546000-7	 	      Di 		003	Wild	G8 V	-3	(600-4)	[0000]	B	14	-24
Zaru	E	0217	Ansset	X766000-2	 	       Di Ga 		003	Wild	K9 V M5 V	-3	(700+4)	[0000]	B	13	28
Zaru	E	0219	Mikal	X546000-4	 	      Di 		002	Wild	M2 V	-3	(600+2)	[0000]	B	8	12
Zaru	E	0220	Leonida	X784000-7	 	       Di 		005	Wild	F8 V	-3	(700-3)	[0000]	B	12	-21
Zaru	I	0224	Jersi	X562427-2	 	     Ni 		212	Wild	K1 V M6 V	-3	(631-1)	[4171]	B	14	-18
Zaru	I	0227	Keeton	C786676-7	 	      Ag Ri Ga Ni 		324	Wild	F2 V	0	(855+1)	[3698]	BC	13	200
Zaru	M	0239	Noritomo	X675000-4	 	     O:0338  Di 		023	Wild	M3 II	-3	(700+1)	[0000]	B	17	7
Zaru	A	0302	Point Zulu	X200000-C	 	      Pz  Di Va 		024	Wild	M2 V M3 V	-1	(G00-2)	[0000]	B	10	-32
Zaru	A	0304	Makkus	X685674-1	 	     TentW  Ag Ri Ga Ni 		403	Wild	M1 V M5 V	-1	(852-2)	[5551]	BC	6	-160
Zaru	A	0305	Freeport	X421000-C	 	     Di He Po 		024	Wild	G6 III M7 V	-1	(900+3)	[0000]	B	9	27
Zaru	A	0306	Woden	X6A1000-B	 	       Di Fl He 		001	Wild	M1 V M1 V	-1	(800+1)	[0000]	B	9	8
Zaru	A	0309	Ichiban	X553000-A	 	     Di Po 		021	Wild	G0 V	-1	(600+1)	[0000]	B	13	6
Zaru	A	0310	Shadishi	X669000-3	 	    TentW  Di 		024	Wild	K6 V	-3	(500-1)	[0000]	B	11	-5
Zaru	E	0315	Kirst	X56257A-2	 	     Ni Pr 		104	Wild	M0 V	-3	(740+3)	[3281]	Bc	8	84
Zaru	E	0317	Aki	X687000-3	 	     Di Ga 		015	Wild	K0 V M7 V	-3	(400+4)	[0000]	B	9	16
Zaru	E	0318	Prudhoe	X420000-7	 	      De He Di Po 		005	Wild	M0 V M6 V	-3	(600-4)	[0000]	B	9	-24
Zaru	E	0320	Chaikin	D755373-5	 	      Ga Lo 		902	Wild	K3 V	-3	(620+3)	[3173]	B	12	36
Zaru	I	0321	Ibaru	X100000-D	 	       Di Va 		003	Wild	F5 V M6 V	-1	(E00-1)	[0000]	B	12	-14
Zaru	I	0323	Portobello	X631000-C	 	     Di Po 		002	Wild	G6 II M0 V	-1	(700-3)	[0000]	B	5	-21
Zaru	I	0324	Kumiko	X431000-9	 	     Di Po 		005	Wild	M2 V M6 V	-2	(B00+2)	[0000]	B	12	22
Zaru	I	0326	Boswach	X544000-5	 	      Di 		000	Wild	K0 V	-3	(600+2)	[0000]	B	12	12
Zaru	I	0328	Gaiging	X767000-3	 	     Di Ga 		013	Wild	F1 V	-3	(500-1)	[0000]	B	11	-5
Zaru	I	0329	Kotar	X430000-C	 	     De Di Po 		013	Wild	M1 V	-1	(A00+1)	[0000]	B	10	10
Zaru	M	0338	Havre	X677000-2	 	      Di (NIL)		010	Wild	K9 V	-3	(B00+2)	[0000]	B	9	22
Zaru	A	0402	Rogreis	X856431-2	 	     Ga Ni Pa 		300	Wild	K2 V	-3	(630-1)	[5163]	Bc	12	-18
Zaru	A	0404	Bolten	X997000-7	 	      Di 		031	Wild	M0 V	-3	(700+4)	[0000]	B	11	28
Zaru	A	0405	Ulaun	X667000-7	 	     Di Ga 		004	Wild	F5 V	-3	(300+2)	[0000]	B	7	6
Zaru	A	0406	Imled	D742000-8	 	      Di He Po (NIL)		004	Wild	K7 V	-3	(E00+5)	[0000]	B	12	70
Zaru	A	0407	Strela	X644000-3	 	     Pz  Di (NIL)		003	Wild	K0 V	-3	(B00-1)	[0000]	B	11	-11
Zaru	E	0411	New Vision	X424000-7	 	     Pz  Di (NIL)		015	Wild	F9 V	-3	(A00+1)	[0000]	B	11	10
Zaru	I	0422	Perigrad	X200000-F	 	     Di Va 		000	Wild	K0 IV	-1	(600+4)	[0000]	B	11	24
Zaru	I	0425	Minban	X432000-9	 	      Di Po 		002	Wild	M0 V	-2	(A00+4)	[0000]	B	13	40
Zaru	I	0427	Rudriff	X431000-8	 	     Di Po (NIL)		022	Wild	M0 V M5 V	-3	(D00+1)	[0000]	B	8	13
Zaru	I	0428	First Star	X573000-1	 	     Di 		015	Wild	M1 V	-3	(500+2)	[0000]	B	9	10
Zaru	I	0430	Airkhipaa	X312000-B	 	      Di Ic 		003	Wild	F8 V	-1	(900-2)	[0000]	B	13	-18
Zaru	M	0432	Lutyen	X405000-8	 	      Di Ic Va 		005	Wild	K9 IV M9 V	-3	(A00+1)	[0000]	B	13	10
Zaru	M	0433	Dent	X897000-6	 	      Di 		022	Wild	G0 V	-3	(700+2)	[0000]	B	8	14
Zaru	A	0502	Engaki	X310000-7	 	     Di 		013	Wild	M0 V	-3	(300-2)	[0000]	B	12	-6
Zaru	A	0503	Dugemaa	X310000-7	 	      Pz  Di 		004	Wild	K2 V M7 V	-3	(A00-4)	[0000]	B	10	-40
Zaru	A	0504	Leniv Fenl	X553000-2	 	     Di Po 		002	Wild	G3 V M1 V	-3	(300+1)	[0000]	B	10	3
Zaru	A	0507	Villenuve	X652000-6	 	     Di Po 		002	Wild	G7 V	-3	(500+1)	[0000]	B	10	5
Zaru	A	0510	Toulon-Cadiz	X997000-5	 	     Da  Di 		014	Wild	K4 V	-3	(700+2)	[0000]	B	13	14
Zaru	E	0513	Holtan Rock	X560474-1	 	     De Ni 		202	Wild	G3 V	-3	(630-1)	[4131]	B	11	-18
Zaru	E	0517	Lonesh	X561400-3	 	      Ni 		902	Wild	K8 II	-3	(732+2)	[4113]	B	10	84
Zaru	E	0518	Siam	X000000-D	 	      (Thaki)  As Va Di 		013	Wild	M3 V	-1	(D00+1)	[0000]	B	11	13
Zaru	E	0519	Omicron Xi	X310000-B	 	     Di 		002	Wild	K4 V M5 V	-1	(700-1)	[0000]	B	8	-7
Zaru	E	0520	Cassini	E5556AB-5	 	     Ag Ni 		412	Wild	K7 V	-2	(850-2)	[2465]	BC	15	-80
Zaru	I	0522	Unchin	X437000-E	 	     Di (NIL)		020	Wild	K0 III	-1	(B00+2)	[0000]	B	9	22
Zaru	I	0524	Omadarondu	X426000-B	 	     Di 		004	Wild	M5 III	-1	(A00+1)	[0000]	B	11	10
Zaru	I	0525	Vanysh	X200000-C	 	     Di Va 		000	Wild	M0 V	-1	(600+1)	[0000]	B	13	6
Zaru	I	0527	Skarno	X675000-3	 	       Di 		023	Wild	G2 V	-3	(600-3)	[0000]	B	10	-18
Zaru	I	0528	Balder	X435000-6	 	     Di (NIL)		003	Wild	M1 V M5 V	-3	(A00-4)	[0000]	B	11	-40
Zaru	I	0529	Geta	X427000-A	 	     Di 		004	Wild	M1 V	-1	(B00-3)	[0000]	B	11	-33
Zaru	A	0605	Aslungi	X311000-C	 	      Di Ic 		022	Wild	K5 V M1 V	-1	(C00+5)	[0000]	B	11	60
Zaru	A	0606	Apkenumir	X310000-7	 	    Da  Di 		003	Wild	F0 V	-3	(600+4)	[0000]	B	6	24
Zaru	A	0607	Miller's World	X56579D-1	 	       Ag Ri (NIL)		202	Wild	F7 V	0	(966-3)	[7741]	BC	12	-972
Zaru	E	0614	Bluve	D550000-8	 	     De Di Po (NIL)		003	Wild	A1 V	-3	(D00-1)	[0000]	B	16	-13
Zaru	E	0618	Clemons Folly	X565000-6	 	     Di 		013	Wild	G4 V M2 V	-3	(400-1)	[0000]	B	9	-4
Zaru	I	0621	Lenox	E855426-6	 	     Ga Ni Pa 		324	Wild	M3 V M9 V	-3	(632+1)	[1156]	Bc	9	36
Zaru	I	0622	Titania	E997000-6	 	      Di 		003	Wild	K6 V	-3	(700+3)	[0000]	B	11	21
Zaru	I	0624	Koquillon	X421000-C	 	      Di He Po (NIL)		001	Wild	G3 V	-1	(A00+2)	[0000]	B	11	20
Zaru	I	0625	Burke	X6868AB-0	 	     An Fo ChirW  Ga Pa Ri Ph (NIL)		404	Wild	K4 V	-1	(A75+2)	[B731]	BcCe	7	700
Zaru	I	0627	Marinus	X744000-6	 	      Di 		020	Wild	K5 V M8 V	-3	(800+1)	[0000]	B	7	8
Zaru	I	0628	Kaas	X549000-2	 	       Di (NIL)		012	Wild	K3 V	-3	(B00+1)	[0000]	B	8	11
Zaru	A	0701	Nedadzia	X430000-C	 	      De Di Po 		001	Wild	M0 V M0 V	-1	(900-2)	[0000]	B	12	-18
Zaru	A	0704	Ledadzia	X200000-D	 	     Di Va 		010	Wild	M0 V	-1	(600+1)	[0000]	B	14	6
Zaru	A	0708	Dorevann	X564000-5	 	     Di 		014	Wild	K0 V M8 V	-3	(400+1)	[0000]	B	13	4
Zaru	A	0710	New Orlando	E856000-4	 	     Di Ga 		011	Wild	G9 V	-3	(500-2)	[0000]	B	12	-10
Zaru	E	0715	Iimii	X997979-3	 	     Darm0  Hi In (NIL)		510	Wild	G0 V	0	(B86+1)	[B954]	BE	14	528
Zaru	E	0719	Saratoga	X200000-7	 	     Di Va 		013	Wild	M3 V	-3	(500-3)	[0000]	B	11	-15
Zaru	I	0721	Waitangi	D556623-5	 	     Ag Ni 		110	Wild	M2 V	-2	(850-1)	[B414]	BC	7	-40
Zaru	I	0723	Hogun's World	X431000-C	 	    Pz  Di Po (NIL)		004	Wild	K3 V	-1	(D00-2)	[0000]	B	10	-26
Zaru	I	0724	Ic-8095	X100000-E	 	     Di Va 		000	Wild	M2 V M9 V	-1	(600+1)	[0000]	B	13	6
Zaru	I	0726	Mikoyan	X565000-0	 	     Ba 		003	Wild	G9 V	-3	(400+1)	[0000]	B	11	4
Zaru	I	0729	Smithson	X756000-4	 	     Di Ga 		001	Wild	G0 V	-3	(400+3)	[0000]	B	10	12
Zaru	M	0738	Colony Four	X997998-3	 	     Hi In (NIL)		323	Wild	F8 V	0	(B88+1)	[C942]	BE	13	704
Zaru	A	0801	Airvae	X311000-A	 	      Di Ic 		002	Wild	M2 V	-1	(800+1)	[0000]	B	7	8
Zaru	A	0802	Sufizi	X200000-C	 	     Di Va 		022	Wild	M0 V M3 V	-1	(900-1)	[0000]	B	7	-9
Zaru	A	0803	Cyrpus	X101000-E	 	      Di Ic Va 		004	Wild	G0 V	-1	(B00-2)	[0000]	B	10	-22
Zaru	A	0804	Gishin	X722000-A	 	       Di He Po (NIL)		002	Wild	K2 V	-1	(E00+3)	[0000]	B	7	42
Zaru	A	0805	Ginshe	E8868BF-5	 	    O:0804  Ga Pa Ri Ph (NIL)		902	Wild	F8 V M9 V	-1	(B77+1)	[A764]	BcCe	14	539
Zaru	A	0806	Madagast	X956000-5	 	     Di 		022	Wild	G2 V M4 V	-3	(300+1)	[0000]	B	8	3
Zaru	E	0812	Rockledge	X310000-C	 	     Di 		023	Wild	G0 V	-1	(B00+2)	[0000]	B	9	22
Zaru	E	0815	Bienhien	X555626-1	 	     Ag Ni 		202	Wild	G1 V M8 V	-2	(850+2)	[9411]	BC	8	80
Zaru	E	0816	Ferrati	X431000-8	 	     Di Po (NIL)		030	Wild	M3 V	-3	(C00-1)	[0000]	B	11	-12
Zaru	E	0817	Al Rahn Kormani	X576000-2	 	       Di (NIL)		001	Wild	K8 III	-3	(A00+1)	[0000]	B	13	10
Zaru	E	0818	Gengil	X425000-D	 	     Di 		023	Wild	G3 V	-1	(B00+1)	[0000]	B	13	11
Zaru	I	0821	Augusta	X421000-B	 	     Di He Po 		014	Wild	K4 V M3 V	-1	(B00+1)	[0000]	B	8	11
Zaru	I	0825	Kali	X997000-0	 	      Ba 		015	Wild	K0 V M5 V	-3	(700+1)	[0000]	B	12	7
Zaru	I	0826	Lewitt	X587000-4	 	     Di 		004	Wild	F6 V	-3	(400+1)	[0000]	B	15	4
Zaru	I	0827	K'pyrene	E682778-5	 	     Ri (NIL)		405	Wild	M0 V	-1	(967-3)	[7666]	BC	14	-1134
Zaru	I	0829	Lomo	X674000-7	 	     Da  Di 		014	Wild	F4 V M8 V	-3	(800-5)	[0000]	B	10	-40
Zaru	B	0901	Megrim Bama	X666000-4	 	     Di Ga 		010	Wild	M0 V M2 V	-3	(500-2)	[0000]	B	9	-10
Zaru	B	0905	Mccandliss	X657479-2	 	     Ga Ni Pa 		405	Wild	F2 V	-3	(832-2)	[3141]	Bc	8	-96
