Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Zaru	A	0101	Didraga	C1008BC-8	S	Na Pi Ph Va 	A	603	ImDi	K0 V	{ -1 }	(D77+2)	[B78B]	BDe	10	1274
1201	Zaru	A	0101	Didraga	X100000-8	 	Di Na Pi Va 		003	ImDi	K0 V	{ -3 }	(D00+1)	[0000]	BD	10	13
1323	Zaru	A	0101	Didraga	X100000-8	 	Di Na Pi Va 		003	Wild	K0 V	{ -3 }	(D00+1)	[0000]	BD	10	13
1508	Zaru	A	0101	Didraga	X100000-8	 	Di Va 		003	Wild	K0 V	{ -3 }	(D00+1)	[0000]	B	10	13
1900	Zaru	A	0101	Didraga	X100000-8	 	Di Va 		003	Wild	K0 V	{ -3 }	(D00-2)	[0000]	B	10	-26

1105	Zaru	A	0106	Ymirial	B200102-A	 	Lo Va 		303	ImDi	M3 V M5 V	{ 1 }	(601-3)	[1216]	B	10	-18
1201	Zaru	A	0106	Ymirial	X200000-A	 	Di Va 		003	ImDi	M3 V M5 V	{ -1 }	(600-5)	[0000]	B	10	-30
1323	Zaru	A	0106	Ymirial	X200000-A	 	Di Va 		003	Wild	M3 V M5 V	{ -1 }	(600-3)	[0000]	B	10	-18
1508	Zaru	A	0106	Ymirial	X200000-A	 	Di Va 		003	Wild	M3 V M5 V	{ -1 }	(600-1)	[0000]	B	10	-6
1900	Zaru	A	0106	Ymirial	X200000-A	 	Di Va 		003	Wild	M3 V M5 V	{ -1 }	(600-2)	[0000]	B	10	-12

1105	Zaru	A	0108	San Nuska Kilna	B5547BD-A	 	Ag 	A	202	ImDi	A2 V	{ 3 }	(B6C+5)	[BA9E]	BC	11	3960
1201	Zaru	A	0108	San Nuska Kilna	X554773-6	 	Ag 		202	ImDi	A2 V	{ -1 }	(967-3)	[6685]	BC	11	-1134
1323	Zaru	A	0108	San Nuska Kilna	X55477A-0	 	Ag 		102	Wild	A2 V	{ -1 }	(961-3)	[9641]	BC	11	-162
1508	Zaru	A	0108	San Nuska Kilna	X55475A-2	 	Ag 		202	Wild	A2 V	{ -1 }	(966-2)	[2651]	BC	11	-648
1900	Zaru	A	0108	San Nuska Kilna	D554303-8	 	Lo 		202	Wild	A2 V	{ -3 }	(B20+2)	[5126]	B	11	44

