Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
Ziaf	A	0101	Jadljetefl	B200420-B	 	Ni Va 		110	Wild	F5 V	{ 1 }	(736+1)	[5538]	B	8	126
Ziaf	A	0103	Ens Zhdo	D568244-7	 	Lo 		505	Wild	G8 V	{ -3 }	(910+3)	[615A]	B	15	27
Ziaf	A	0104	Ienazh	A534789-9	 			402	Wild	M3 V	{ 1 }	(B68+3)	[9828]	B	13	1584
Ziaf	A	0106	Spridlepl	B535874-9	 	Ph 		123	Wild	G3 V	{ 1 }	(F78-3)	[798A]	Be	12	-2520
Ziaf	A	0107	Chtalekl	B552553-B	 	Ni Po 		804	Wild	K9 V M3 V	{ 1 }	(C46-3)	[162D]	B	9	-864
Ziaf	A	0109	Jaitnab	X543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900-1)	[0000]	B	6	-9
Ziaf	A	0110	Tlaprezhel	B437776-8	 			203	Wild	K4 IV	{ 0 }	(C63+4)	[5767]	B	9	864
Ziaf	E	0114	Frezhietsed	D783000-5	 	Di 		012	Wild	G5 V	{ -3 }	(800+1)	[0000]	B	15	8
Ziaf	E	0115	Nivrdiatia	X789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00+1)	[0000]	B	13	10
Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600+1)	[0000]	B	5	6
Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900+2)	[0000]	B	11	18
Ziaf	I	0125	Shipebr	X423000-7	 	Di Po 		024	Wild	M1 V M6 V	{ -3 }	(800+1)	[0000]	B	15	8
Ziaf	I	0127	Iefriaqr	A75857A-9	 	Ag Ni 		604	Wild	G6 V	{ 1 }	(C44+4)	[4695]	BC	7	768
Ziaf	I	0128	O'staz	A000620-D	 	As Va Na Ni 		331	Wild	M0 V M4 V	{ 1 }	(C54+1)	[975C]	B	10	240
Ziaf	I	0129	Iense	D571000-9	 	Di He 		014	Wild	G8 V	{ -2 }	(D00-3)	[0000]	B	9	-39
Ziaf	M	0131	Fliaplav	C200896-8	 	Na Pi Ph Va 		503	Wild	F9 V	{ -1 }	(D78+1)	[A779]	BDe	10	728
Ziaf	M	0132	Deifr	D597451-7	 	Ni Pa 		925	Wild	F4 V F8 V M4 V	{ -3 }	(930+1)	[7149]	Bc	14	27
Ziaf	M	0134	Satkant	C7888BA-8	 	Pa Ri Ph 		736	Wild	F5 V M6 V	{ 0 }	(K77+1)	[A868]	BcCe	14	931
Ziaf	M	0135	Ietqlaz	E511000-0	 	Ba Ic 		001	Wild	M1 V	{ -3 }	(200-3)	[0000]	B	6	-6
Ziaf	M	0138	Tiorsedlie	X420753-8	 	(minor) De He Na Pi Po 		102	Wild	G2 V	{ -2 }	(B64+1)	[753A]	BD	7	264
Ziaf	M	0139	Vazia	E310000-A	 	Di 		022	Wild	G2 V	{ -1 }	(B00-1)	[0000]	B	10	-11
Ziaf	M	0140	Tanjchiada	C675640-6	 	Ag Ni 		603	Wild	F7 V	{ -1 }	(855-1)	[75A4]	BC	9	-200
Ziaf	A	0204	Eardaqr	C310553-A	 	Ni 		913	Wild	K4 V	{ 0 }	(C41+4)	[755C]	B	13	192
Ziaf	A	0205	Ipliadl	D541330-5	 	He Lo Po 		703	Wild	G0 V M2 V	{ -3 }	(C20-2)	[2114]	B	13	-48
Ziaf	A	0207	Zhdilqia	E656000-0	 	Ba Ga 		003	Wild	F2 V	{ -3 }	(200+1)	[0000]	B	11	2
Ziaf	A	0208	Senzprerez	D7A4000-8	 	Di Fl 		000	Wild	M4 III	{ -3 }	(800+1)	[0000]	B	8	8
Ziaf	E	0211	Jinsli	C556575-9	 	Ag Ni 		322	Wild	F4 V	{ 0 }	(B45+1)	[356B]	BC	11	220
Ziaf	E	0212	Chivtsram	E201000-0	 	Ba Ic Va 		010	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	7	2
Ziaf	E	0216	Veqde	X577756-5	 	Ag Pi 		805	Wild	K9 V M6 V	{ -1 }	(A6A+3)	[A645]	BCD	13	1800
Ziaf	E	0218	Zazher	B886400-A	 	Ga Ni Pa 		403	Wild	K3 V M6 V	{ 1 }	(932+1)	[158C]	Bc	9	54
Ziaf	E	0219	Dratldieve	E100000-0	 	Ba Va 		029	Wild	G3 V M8 V M7 V	{ -3 }	(200-5)	[0000]	B	17	-10
Ziaf	E	0220	Iepzhda	B510878-8	 	Na Pi Ph 		200	Wild	F6 V	{ 0 }	(A76+1)	[487C]	BDe	10	420
Ziaf	I	0221	Iashiedr	X878000-7	 	Di 		003	Wild	M1 V M1 V	{ -3 }	(A00-3)	[0000]	B	12	-30
Ziaf	I	0222	Apllestenzh	E423000-0	 	Ba Po 		022	Wild	M2 V	{ -3 }	(200+2)	[0000]	B	14	4
Ziaf	I	0226	Rqliachi	D410000-8	 	Di 		002	Wild	M0 V	{ -3 }	(900-3)	[0000]	B	5	-27
Ziaf	I	0227	Tsiprierfie	D510000-B	 	Di 		001	Wild	M0 V M1 V	{ -1 }	(700-1)	[0000]	B	11	-7
Ziaf	I	0229	Tliaiem Veqchta	E535000-6	 	Di 		024	Wild	F4 V M2 V	{ -3 }	(600-1)	[0000]	B	16	-6
Ziaf	M	0235	Zhafleam	E433000-0	 	Ba Po 		013	Wild	M1 V	{ -3 }	(200+1)	[0000]	B	10	2
