Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1105	Ziaf	A	0101	Jadljetefl	B200425-B	 	Ni Va 		610	ZhIN	F5 V	{ 1 }	(734-1)	[2539]	B	8	-84
1199	Ziaf	A	0101	Jadljetefl	B200475-9	 	Ni Va 		310	Wild	F5 V	{ 0 }	(732+1)	[4435]	B	8	42
1508	Ziaf	A	0101	Jadljetefl	B20047A-A	 	Ni Va 		410	Wild	F5 V	{ 1 }	(733-4)	[4558]	B	8	-252
1900	Ziaf	A	0101	Jadljetefl	B200434-B	 	Ni Va 		410	Wild	F5 V	{ 1 }	(737-3)	[1549]	B	8	-441

1105	Ziaf	A	0103	Ens Zhdo	X568732-2	 	Ag Ri 	R	205	ZhIN	G8 V	{ 0 }	(965-4)	[3711]	BC	15	-1080
1199	Ziaf	A	0103	Ens Zhdo	X568722-0	 	Ag Ri 		105	Wild	G8 V	{ 0 }	(964+1)	[8793]	BC	15	216
1508	Ziaf	A	0103	Ens Zhdo	X568676-1	 	Ag Ri Ni 		905	Wild	G8 V	{ -1 }	(950+3)	[4515]	BC	15	135
1900	Ziaf	A	0103	Ens Zhdo	E568644-6	 	Ag Ri Ni 		605	Wild	G8 V	{ -1 }	(950-1)	[5587]	BC	15	-45

1105	Ziaf	A	0104	Ienazh	A534743-9	 			902	ZhIN	M3 V	{ 2 }	(B6B-1)	[4926]	B	13	-726
1199	Ziaf	A	0104	Ienazh	A534736-7	 			402	Wild	M3 V	{ 0 }	(965-2)	[8716]	B	13	-540
1508	Ziaf	A	0104	Ienazh	A53477A-8	 			502	Wild	M3 V	{ 0 }	(B63-5)	[7718]	B	13	-990
1900	Ziaf	A	0104	Ienazh	A5347AD-9	 			602	Wild	M3 V	{ 1 }	(B69-1)	[781B]	B	13	-594

1105	Ziaf	A	0106	Spridlepl	B535840-9	 	Ph 		223	ZhIN	G3 V	{ 2 }	(F7B-2)	[3A14]	Be	12	-2310
1199	Ziaf	A	0106	Spridlepl	B535874-7	 	Ph 		123	Wild	G3 V	{ 0 }	(A75-1)	[9867]	Be	12	-350
1508	Ziaf	A	0106	Spridlepl	B53587A-8	 	Ph 		223	Wild	G3 V	{ 0 }	(F76+1)	[B838]	Be	12	630
1900	Ziaf	A	0106	Spridlepl	B535889-9	 	Ph 		323	Wild	G3 V	{ 1 }	(F78-1)	[797B]	Be	12	-840

1105	Ziaf	A	0107	Chtalekl	B552635-9	 	Ni Po 		304	ZhIN	K9 V M3 V	{ 0 }	(C54-2)	[4637]	B	9	-480
1199	Ziaf	A	0107	Chtalekl	B552478-8	 	Ni Po 		104	Wild	K9 V M3 V	{ -1 }	(C35-2)	[2319]	B	9	-360
1508	Ziaf	A	0107	Chtalekl	B552378-9	 	Lo Po 		904	Wild	K9 V M3 V	{ 0 }	(C20-1)	[7389]	B	9	-24
1900	Ziaf	A	0107	Chtalekl	B552300-B	 	Lo Po 		804	Wild	K9 V M3 V	{ 1 }	(C21+2)	[444C]	B	9	48

1105	Ziaf	A	0109	Jaitnab	A543475-A	 	Ni Po 		403	ZhIN	F0 V	{ 2 }	(935+1)	[2638]	B	6	135
1199	Ziaf	A	0109	Jaitnab	E543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900-1)	[0000]	B	6	-9
1508	Ziaf	A	0109	Jaitnab	E543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900+4)	[0000]	B	6	36
1900	Ziaf	A	0109	Jaitnab	E543000-A	 	Di Po 		003	Wild	F0 V	{ -1 }	(900+1)	[0000]	B	6	9

1105	Ziaf	A	0110	Tlaprezhel	B4377B6-8	 			303	ZhIN	K4 IV	{ 0 }	(C68-1)	[6747]	B	9	-576
1199	Ziaf	A	0110	Tlaprezhel	B437778-6	 			103	Wild	K4 IV	{ 0 }	(969+1)	[6754]	B	9	486
1508	Ziaf	A	0110	Tlaprezhel	B437678-7	 	Ni 		903	Wild	K4 IV	{ -1 }	(952+4)	[8535]	B	9	360
1900	Ziaf	A	0110	Tlaprezhel	B437779-8	 			103	Wild	K4 IV	{ 0 }	(C66-2)	[9776]	B	9	-864

1105	Ziaf	E	0114	Frezhietsed	C783643-5	 	Ni Ri 	A	412	ZhIN	G5 V	{ -1 }	(853-4)	[3522]	BC	15	-480
1199	Ziaf	E	0114	Frezhietsed	C783413-4	 	Ni 		212	Wild	G5 V	{ -2 }	(830-3)	[1227]	B	15	-72
1508	Ziaf	E	0114	Frezhietsed	C783476-5	 	Ni 		112	Wild	G5 V	{ -2 }	(833-2)	[7241]	B	15	-144
1900	Ziaf	E	0114	Frezhietsed	B7837CD-7	 	Ri 		812	Wild	G5 V	{ 1 }	(868+4)	[3899]	BC	15	1536

1105	Ziaf	E	0115	Nivrdiatia	B789410-8	W	Ni 	A	904	ZhIN	M3 V	{ 0 }	(A33-4)	[1413]	B	13	-360
1199	Ziaf	E	0115	Nivrdiatia	E789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00+1)	[0000]	B	13	10
1508	Ziaf	E	0115	Nivrdiatia	E789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00-4)	[0000]	B	13	-40
1900	Ziaf	E	0115	Nivrdiatia	E789000-8	T 	Di 		004	Wild	M3 V	{ -3 }	(A00+1)	[0000]	B	13	10

1105	Ziaf	E	0116	Qiejik	E774427-5	 	Ni Pa 		701	ZhIN	F8 V	{ -3 }	(631-3)	[4155]	Bc	5	-54
1199	Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600+1)	[0000]	B	5	6
1508	Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600+3)	[0000]	B	5	18
1900	Ziaf	E	0116	Qiejik	E774000-5	 	Di 		001	Wild	F8 V	{ -3 }	(600-2)	[0000]	B	5	-12

1105	Ziaf	E	0119	Dlashte	C543510-8	 	Ni Po 		802	ZhIN	F6 V M1 V	{ -2 }	(942-5)	[1313]	B	11	-360
1199	Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900-3)	[0000]	B	11	-27
1508	Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900+2)	[0000]	B	11	18
1900	Ziaf	E	0119	Dlashte	E543000-8	 	Di Po 		002	Wild	F6 V M1 V	{ -3 }	(900+1)	[0000]	B	11	9

1105	Ziaf	I	0125	Shipebr	X42369A-7	 	Na Po Ni 	R	324	ZhIN	M1 V M6 V	{ -3 }	(851-1)	[8379]	B	15	-40
1199	Ziaf	I	0125	Shipebr	X423000-7	 	Di Na Po 		024	Wild	M1 V M6 V	{ -3 }	(800-2)	[0000]	B	15	-16
1508	Ziaf	I	0125	Shipebr	X423000-7	 	Di Po 		024	Wild	M1 V M6 V	{ -3 }	(800+4)	[0000]	B	15	32
1900	Ziaf	I	0125	Shipebr	X423000-7	 	Di Po 		024	Wild	M1 V M6 V	{ -3 }	(800+2)	[0000]	B	15	16

1105	Ziaf	I	0127	Iefriaqr	B758655-7	 	Ag Ni 		604	ZhIN	G6 V	{ 0 }	(854-2)	[4635]	BC	7	-320
1199	Ziaf	I	0127	Iefriaqr	B758677-4	 	Ag Ni 		304	Wild	G6 V	{ 0 }	(855-1)	[5665]	BC	7	-200
1508	Ziaf	I	0127	Iefriaqr	B758678-5	 	Ag Ni 		404	Wild	G6 V	{ 0 }	(853+1)	[7653]	BC	7	120
